rep,traditional_res68,ml_res68,ml_minus_traditional_res68,traditional_depth_violation_rate,ml_depth_violation_rate
0,0.020454842354390247,0.026425376578087134,0.005970534223696887,0.0,0.0
1,0.019789559486926938,0.024559326834056993,0.004769767347130055,0.0,0.0
2,0.020876982857062493,0.026818735967615984,0.005941753110553491,0.0,0.0
3,0.02122769544659511,0.026913249890553444,0.005685554443958334,0.0,0.0
4,0.01956163757702705,0.024874908788181528,0.005313271211154477,0.0,0.0
5,0.021432427944187163,0.02850451410833903,0.0070720861641518674,0.0,0.0
6,0.019928511733723155,0.02417206300162396,0.004243551267900804,0.0,0.0
7,0.020433352843833467,0.02303032709004653,0.0025969742462130622,0.0,0.0
8,0.020812846812341166,0.027241889004181504,0.006429042191840338,0.0,0.0
9,0.019943448232907866,0.024557942455703967,0.004614494222796101,0.0,0.0
10,0.02151782182273456,0.025714841684102867,0.004197019861368306,0.0,0.0
11,0.021172642958112088,0.025569521198634735,0.004396878240522647,0.0,0.0
12,0.02078823623003127,0.02516948551350326,0.004381249283471989,0.0,0.0
13,0.020262318208375214,0.025036495768744428,0.004774177560369214,0.0,0.0
14,0.020169607665308963,0.02562258696739288,0.005452979302083917,0.0,0.0
15,0.020721982702821197,0.024470350279126096,0.0037483675763048986,0.0,0.0
16,0.020317142346613828,0.026178889144646035,0.005861746798032207,0.0,0.0
17,0.021153931283019085,0.025720893784702246,0.004566962501683161,0.0,0.0
18,0.019957011848720535,0.024579021883935435,0.0046220100352149,0.0,0.0
19,0.02158856557242408,0.026983137871059035,0.005394572298634954,0.0,0.0
20,0.021139003783764897,0.026230867579616027,0.00509186379585113,0.0,0.0
21,0.020735857518676258,0.025501875117756565,0.004766017599080307,0.0,0.0
22,0.02013330440492996,0.02466772892124333,0.004534424516313373,0.0,0.0
23,0.021217697325911715,0.026401866755870092,0.005184169429958377,0.0,0.0
24,0.020287776032877965,0.026711744103916447,0.006423968071038483,0.0,0.0
25,0.021666552049693786,0.026189535246837686,0.0045229831971439,0.0,0.0
26,0.02016533458530573,0.02631009785115463,0.0061447632658488995,0.0,0.0
27,0.022052608194147998,0.02912026501093987,0.007067656816791872,0.0,0.0
