method,n,pred_mean_ns,target_mean_ns
analytic_timewalk,1639,-4.014271167136497,-3.824954300069798
analytic_timewalk,1636,-3.8674698373666327,-4.057962921672519
analytic_timewalk,1638,-0.15890290505073107,-0.4109552228787343
analytic_timewalk,1637,1.8162932491913768,2.109676200447389
analytic_timewalk,1636,1.91929575664287,2.080157610007623
analytic_timewalk,1637,2.0177901285190876,2.0456733837830314
analytic_timewalk,1637,2.23805239198186,2.062081229925388
s03b_binned_timewalk,3820,-3.9242526527236055,-3.928310244346646
s03b_binned_timewalk,3820,1.4635764319613063,2.3465607251548977
s03b_binned_timewalk,3820,2.4606762207622648,1.58174951919159
ml_ridge_on_template_phase,1638,-4.149263171440046,-3.9646983181695292
ml_ridge_on_template_phase,1637,-3.9413759551841627,-3.9127987736768124
ml_ridge_on_template_phase,1637,-0.29399321177612386,-0.8821862982020566
ml_ridge_on_template_phase,1637,1.6762891167677267,1.7401055007030684
ml_ridge_on_template_phase,1637,1.8084517774960338,2.018785023021509
ml_ridge_on_template_phase,1637,1.9518404703296341,2.599725768287226
ml_ridge_on_template_phase,1637,2.261802723202733,2.4034890273693295
