method,base_method,drift_order,fold,heldout_runs,sigma68_ns,n_pair_residuals
s02c_binned_timewalk_drift0,s02b_template,0,0,58 61,3.253623595719543,3018
s02c_binned_timewalk_drift0,s02b_template,0,1,60 63,2.8549264428838295,3534
s02c_binned_timewalk_drift0,s02b_template,0,2,59 62,3.1988633746328956,4710
s02c_binned_timewalk_drift1,s02b_template,1,0,58 61,3.2469463793768676,3018
s02c_binned_timewalk_drift1,s02b_template,1,1,60 63,2.84950569514719,3534
s02c_binned_timewalk_drift1,s02b_template,1,2,59 62,3.2266858827763922,4710
s02c_binned_timewalk_drift2,s02b_template,2,0,58 61,3.318391400681847,3018
s02c_binned_timewalk_drift2,s02b_template,2,1,60 63,3.002535506850264,3534
s02c_binned_timewalk_drift2,s02b_template,2,2,59 62,3.306755344236035,4710
s02c_global_timewalk_drift0,template_phase,0,0,58 61,2.136501171234445,3018
s02c_global_timewalk_drift0,template_phase,0,1,60 63,1.5224610797242768,3534
s02c_global_timewalk_drift0,template_phase,0,2,59 62,1.5806733458795863,4710
s02c_global_timewalk_drift1,template_phase,1,0,58 61,2.1352133978566785,3018
s02c_global_timewalk_drift1,template_phase,1,1,60 63,1.5322429564337887,3534
s02c_global_timewalk_drift1,template_phase,1,2,59 62,1.6123472319744143,4710
s02c_global_timewalk_drift2,template_phase,2,0,58 61,2.164978558787803,3018
s02c_global_timewalk_drift2,template_phase,2,1,60 63,1.9928086782519672,3534
s02c_global_timewalk_drift2,template_phase,2,2,59 62,1.7808268787244423,4710
