method,base_method,drift_order,mean_cv_sigma68_ns,folds,total_pair_residuals
s02c_binned_timewalk_drift0,s02b_template,0,3.102471137745423,3,11262
s02c_binned_timewalk_drift1,s02b_template,1,3.107712652433483,3,11262
s02c_binned_timewalk_drift2,s02b_template,2,3.2092274172560487,3,11262
s02c_global_timewalk_drift0,template_phase,0,1.7465451989461027,3,11262
s02c_global_timewalk_drift1,template_phase,1,1.7599345287549604,3,11262
s02c_global_timewalk_drift2,template_phase,2,1.979538038588071,3,11262
