method,value_sigma68_ns,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,published_s02_value_ns,delta_vs_published_ns
S02 global-template traditional template_phase,2.889152765080617,198,-3.8304301157923035,2.889152765080617,2.576694889725475,0.050505050505050504,0.4426909975832632,3.2136307740985623,2.889152765080617,0.0
S02 ML ridge,1.8461136615528861,198,1.0986962153520885,1.8461136615528861,1.7098037987509727,0.0,1.8497353161451178,0.963896057032467,1.8461136615528786,7.549516567451064e-15
