feature,coefficient,method,base_method,drift_order,train_pulses,heldout_pulses
intercept,0.0,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B4_intercept,-87.88820498077908,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B4_log_amp,159.84133435441868,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B4_log_amp2,-83.79529669827325,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B4_inv_amp,-4.263450789737855,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B4_peak_sample,0.4609579692925436,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B4_area_over_amp,3.246257316254131,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B4_template_sse,0.792042629794743,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B6_intercept,42.76682206290986,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B6_log_amp,-68.66941668468428,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B6_log_amp2,21.022220334136545,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B6_inv_amp,-1.787742268140399,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B6_peak_sample,-0.7495857132097893,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B6_area_over_amp,-0.7315536114238853,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B6_template_sse,0.28179206388699823,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B8_intercept,45.12138463577629,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B8_log_amp,-64.83124767580578,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B8_log_amp2,15.845874940398703,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B8_inv_amp,-2.921930431406828,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B8_peak_sample,-0.6779812656717389,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B8_area_over_amp,-1.4403037825859277,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
B8_template_sse,0.20908632303577485,s02c_binned_timewalk_drift0,s02b_template,0,11262,198
intercept,0.0,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B4_intercept,-87.73323618676096,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B4_log_amp,159.84950407745157,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B4_log_amp2,-83.70204689000094,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B4_inv_amp,-4.253119480994143,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B4_peak_sample,0.4600008521994838,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B4_area_over_amp,3.236747442315685,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B4_template_sse,0.7899311084006485,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B6_intercept,42.9699528767861,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B6_log_amp,-68.53967608147887,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B6_log_amp2,20.957546118890157,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B6_inv_amp,-1.7874876140454083,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B6_peak_sample,-0.7500354813573207,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B6_area_over_amp,-0.7337245009908934,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B6_template_sse,0.2813372203731981,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B8_intercept,44.76328505648222,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B8_log_amp,-63.66057779427081,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B8_log_amp2,15.299814645402494,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B8_inv_amp,-2.911253613194225,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B8_peak_sample,-0.6805906180868687,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B8_area_over_amp,-1.446510569802787,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B8_template_sse,0.2080891840844065,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B4_run_z1,0.06388585706968694,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B6_run_z1,-0.008156875297178743,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
B8_run_z1,-0.02739978042158577,s02c_binned_timewalk_drift1,s02b_template,1,11262,198
intercept,0.0,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B4_intercept,-85.9346642218214,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B4_log_amp,156.16352416940032,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B4_log_amp2,-82.10998882934082,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B4_inv_amp,-4.297830174333733,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B4_peak_sample,0.474920167645107,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B4_area_over_amp,3.2079206134173766,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B4_template_sse,0.7758603327500279,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B6_intercept,42.35132460178905,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B6_log_amp,-68.31673164131587,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B6_log_amp2,20.931533833234568,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B6_inv_amp,-1.781048340616813,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B6_peak_sample,-0.7547515210406776,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B6_area_over_amp,-0.7329509998581573,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B6_template_sse,0.282460697204362,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B8_intercept,43.583341356287164,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B8_log_amp,-62.65840920882817,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B8_log_amp2,14.989703772749909,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B8_inv_amp,-2.879656126595733,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B8_peak_sample,-0.6962175780055221,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B8_area_over_amp,-1.4449936658871367,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B8_template_sse,0.20819768347193413,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B4_run_z1,0.08607120792830383,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B6_run_z1,-0.015634374362137608,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B8_run_z1,-0.06061391202362534,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B4_run_z2,-0.08154991482031747,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B6_run_z2,0.027231660035257645,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
B8_run_z2,0.11930329985544139,s02c_binned_timewalk_drift2,s02b_template,2,11262,198
intercept,0.0,s02c_global_timewalk_drift0,template_phase,0,11262,198
B4_intercept,80.09227928577263,s02c_global_timewalk_drift0,template_phase,0,11262,198
B4_log_amp,-233.31698745473264,s02c_global_timewalk_drift0,template_phase,0,11262,198
B4_log_amp2,118.5271011291462,s02c_global_timewalk_drift0,template_phase,0,11262,198
B4_inv_amp,-0.07224037754640722,s02c_global_timewalk_drift0,template_phase,0,11262,198
B4_peak_sample,0.5493810269463775,s02c_global_timewalk_drift0,template_phase,0,11262,198
B4_area_over_amp,-0.49412937589088235,s02c_global_timewalk_drift0,template_phase,0,11262,198
B4_template_sse,-0.33245239365216167,s02c_global_timewalk_drift0,template_phase,0,11262,198
B6_intercept,-29.071950099751017,s02c_global_timewalk_drift0,template_phase,0,11262,198
B6_log_amp,2.8855689480802944,s02c_global_timewalk_drift0,template_phase,0,11262,198
B6_log_amp2,-5.023565914475528,s02c_global_timewalk_drift0,template_phase,0,11262,198
B6_inv_amp,-0.8182601177413317,s02c_global_timewalk_drift0,template_phase,0,11262,198
B6_peak_sample,0.1987712541929028,s02c_global_timewalk_drift0,template_phase,0,11262,198
B6_area_over_amp,-0.06505663772373885,s02c_global_timewalk_drift0,template_phase,0,11262,198
B6_template_sse,-0.008832834953659555,s02c_global_timewalk_drift0,template_phase,0,11262,198
B8_intercept,-51.020329930157565,s02c_global_timewalk_drift0,template_phase,0,11262,198
B8_log_amp,51.726499771701334,s02c_global_timewalk_drift0,template_phase,0,11262,198
B8_log_amp2,-34.015777396178905,s02c_global_timewalk_drift0,template_phase,0,11262,198
B8_inv_amp,-1.0341780802035898,s02c_global_timewalk_drift0,template_phase,0,11262,198
B8_peak_sample,0.7250811091346451,s02c_global_timewalk_drift0,template_phase,0,11262,198
B8_area_over_amp,1.1516563964336335,s02c_global_timewalk_drift0,template_phase,0,11262,198
B8_template_sse,0.24737859971224185,s02c_global_timewalk_drift0,template_phase,0,11262,198
intercept,0.0,s02c_global_timewalk_drift1,template_phase,1,11262,198
B4_intercept,80.18834663381969,s02c_global_timewalk_drift1,template_phase,1,11262,198
B4_log_amp,-233.31701634012705,s02c_global_timewalk_drift1,template_phase,1,11262,198
B4_log_amp2,118.59691321725883,s02c_global_timewalk_drift1,template_phase,1,11262,198
B4_inv_amp,-0.06489123700865883,s02c_global_timewalk_drift1,template_phase,1,11262,198
B4_peak_sample,0.5486910597761091,s02c_global_timewalk_drift1,template_phase,1,11262,198
B4_area_over_amp,-0.5009808983890301,s02c_global_timewalk_drift1,template_phase,1,11262,198
B4_template_sse,-0.3339730713081464,s02c_global_timewalk_drift1,template_phase,1,11262,198
B6_intercept,-28.958797344794814,s02c_global_timewalk_drift1,template_phase,1,11262,198
B6_log_amp,3.036757135888952,s02c_global_timewalk_drift1,template_phase,1,11262,198
B6_log_amp2,-5.106173639928211,s02c_global_timewalk_drift1,template_phase,1,11262,198
B6_inv_amp,-0.8197556475661728,s02c_global_timewalk_drift1,template_phase,1,11262,198
B6_peak_sample,0.1977554832167296,s02c_global_timewalk_drift1,template_phase,1,11262,198
B6_area_over_amp,-0.06997581216627805,s02c_global_timewalk_drift1,template_phase,1,11262,198
B6_template_sse,-0.009864519801592683,s02c_global_timewalk_drift1,template_phase,1,11262,198
B8_intercept,-51.229550017754214,s02c_global_timewalk_drift1,template_phase,1,11262,198
B8_log_amp,52.44246472425165,s02c_global_timewalk_drift1,template_phase,1,11262,198
B8_log_amp2,-34.34970676459386,s02c_global_timewalk_drift1,template_phase,1,11262,198
B8_inv_amp,-1.027637867747029,s02c_global_timewalk_drift1,template_phase,1,11262,198
B8_peak_sample,0.7234912893591793,s02c_global_timewalk_drift1,template_phase,1,11262,198
B8_area_over_amp,1.1478726318394217,s02c_global_timewalk_drift1,template_phase,1,11262,198
B8_template_sse,0.246770618233205,s02c_global_timewalk_drift1,template_phase,1,11262,198
B4_run_z1,0.04603439062786268,s02c_global_timewalk_drift1,template_phase,1,11262,198
B6_run_z1,-0.01849127791218286,s02c_global_timewalk_drift1,template_phase,1,11262,198
B8_run_z1,-0.01668634743825387,s02c_global_timewalk_drift1,template_phase,1,11262,198
intercept,0.0,s02c_global_timewalk_drift2,template_phase,2,11262,198
B4_intercept,84.3077895976023,s02c_global_timewalk_drift2,template_phase,2,11262,198
B4_log_amp,-243.19243047703478,s02c_global_timewalk_drift2,template_phase,2,11262,198
B4_log_amp2,122.86473701638026,s02c_global_timewalk_drift2,template_phase,2,11262,198
B4_inv_amp,-0.18557052655761014,s02c_global_timewalk_drift2,template_phase,2,11262,198
B4_peak_sample,0.58774571573486,s02c_global_timewalk_drift2,template_phase,2,11262,198
B4_area_over_amp,-0.576424137360709,s02c_global_timewalk_drift2,template_phase,2,11262,198
B4_template_sse,-0.3707857363069573,s02c_global_timewalk_drift2,template_phase,2,11262,198
B6_intercept,-31.062630474948527,s02c_global_timewalk_drift2,template_phase,2,11262,198
B6_log_amp,3.2600228183394253,s02c_global_timewalk_drift2,template_phase,2,11262,198
B6_log_amp2,-5.0377901776561425,s02c_global_timewalk_drift2,template_phase,2,11262,198
B6_inv_amp,-0.8092061863003359,s02c_global_timewalk_drift2,template_phase,2,11262,198
B6_peak_sample,0.18700790528350605,s02c_global_timewalk_drift2,template_phase,2,11262,198
B6_area_over_amp,-0.06820750032305227,s02c_global_timewalk_drift2,template_phase,2,11262,198
B6_template_sse,-0.0073034986777192985,s02c_global_timewalk_drift2,template_phase,2,11262,198
B8_intercept,-53.24515993604173,s02c_global_timewalk_drift2,template_phase,2,11262,198
B8_log_amp,52.62978613325618,s02c_global_timewalk_drift2,template_phase,2,11262,198
B8_log_amp2,-34.343718103465456,s02c_global_timewalk_drift2,template_phase,2,11262,198
B8_inv_amp,-1.0134231548412789,s02c_global_timewalk_drift2,template_phase,2,11262,198
B8_peak_sample,0.7138480117399066,s02c_global_timewalk_drift2,template_phase,2,11262,198
B8_area_over_amp,1.1493767860991875,s02c_global_timewalk_drift2,template_phase,2,11262,198
B8_template_sse,0.24694356323082872,s02c_global_timewalk_drift2,template_phase,2,11262,198
B4_run_z1,0.1041260493574358,s02c_global_timewalk_drift2,template_phase,2,11262,198
B6_run_z1,-0.035544087637985826,s02c_global_timewalk_drift2,template_phase,2,11262,198
B8_run_z1,-0.03740591614657083,s02c_global_timewalk_drift2,template_phase,2,11262,198
B4_run_z2,-0.21353617801239835,s02c_global_timewalk_drift2,template_phase,2,11262,198
B6_run_z2,0.06210355855322737,s02c_global_timewalk_drift2,template_phase,2,11262,198
B8_run_z2,0.07443404412014415,s02c_global_timewalk_drift2,template_phase,2,11262,198
