heldout_run,ml_training_rows,ml_training_target_sigma68_ns,train_runs
44,17787,3.928646224396794,20
45,17442,3.9093382397184335,20
46,17811,3.926310710254901,20
47,17779,3.923487786781509,20
48,17589,3.9337037055133557,20
49,17594,3.9456035388523376,20
50,17575,3.811365041942046,20
51,17679,3.8796865567049137,20
52,17728,3.906634127081658,20
53,17579,3.8619021294047453,20
54,17615,3.8639181147251263,20
55,17640,3.869922661643459,20
56,17448,3.7764943216662274,20
57,17563,3.937987740024627,20
58,17524,4.0147374908574935,20
59,14777,3.9213745038369763,20
60,14589,4.064388760598014,20
61,14091,3.976893037790904,20
62,14596,3.969428981355953,20
63,16340,3.9803680844673304,20
65,17554,3.9678241463785833,20
