heldout_run,Index,stave,robust_single_end_var_ns2,robust_two_end_var_ns2,s05c_event_var_ns2,s05c_run_corr_floor_ns2,s05c_uncorr_event_var_ns2,s05c_two_end_var_ns2,s05c_two_end_sigma_ns
44,0,B2,13.07959987763532,6.53979993881766,164.9105190727875,5.800619637898951,159.10989943488855,85.35556935534322,9.238807788635025
44,1,B4,0.5237817895719066,0.2618908947859533,33.99480220707593,0.8284817117050354,33.16632049537089,17.41164195939048,4.17272596265205
44,2,B6,0.04,0.04,34.81549488339631,0.8375395640135049,33.97795531938281,17.826517223704908,4.222146044810022
44,3,B8,4.967613440415182,2.483806720207591,42.858186220437105,0.7768755946785196,42.08131062575858,21.81753090755781,4.670923988629853
45,0,B2,9.930591535780682,4.965295767890341,156.3445630883988,5.548501061424056,150.79606202697474,80.94653207491143,8.997029069360142
45,1,B4,0.7607533358560512,0.3803766679280256,32.60049624717817,0.8110770309248704,31.7894192162533,16.70578663905152,4.087271295014746
45,2,B6,0.04,0.04,33.3441803614881,0.8005786427439893,32.543601718744114,17.072379502116046,4.131873606745014
45,3,B8,3.998759201712198,1.999379600856099,41.46780713721608,0.7746703125053795,40.6931368247107,21.121238724860728,4.595784886704417
46,0,B2,13.591808573172173,6.795904286586087,166.52177588109956,5.797642917891489,160.72413296320806,86.15970939949553,9.282225455110188
46,1,B4,0.46484383156097575,0.23242191578048788,34.247698264865484,0.9352649479918254,33.31243331687366,17.591481606428655,4.194220023607328
46,2,B6,0.04,0.04,35.072863201938794,0.9368518746093426,34.13601132732945,18.004857538274067,4.2432131148781655
46,3,B8,5.021325395852407,2.5106626979262034,43.12206427586368,0.9194919518908248,42.20257232397285,22.020778113877252,4.6926301914680275
47,0,B2,13.246773607509983,6.6233868037549914,164.93856055315158,5.679309673010076,159.2592508801415,85.30893511308084,9.236283620216566
47,1,B4,0.5737652796715738,0.2868826398357869,33.98991638426297,0.8253699768743121,33.164546407388656,17.40764318056864,4.1722467784838235
47,2,B6,0.04,0.04,34.81776814951272,0.8268774620200836,33.99089068749264,17.8223228057664,4.221649299239149
47,3,B8,4.971179318811337,2.4855896594056683,42.89454797616017,0.8105425833190599,42.08400539284111,21.852545279739612,4.674670606549686
48,0,B2,11.965407183568024,5.982703591784012,164.1581832810096,5.5392524662890965,158.6189308147205,84.84871787364935,9.211336378270492
48,1,B4,0.7329408328325511,0.36647041641627554,33.920454253168415,0.8092534114783723,33.11120084169004,17.364853832323394,4.167115769008991
48,2,B6,0.04,0.04,34.77726826540894,0.8009361710539906,33.97633209435495,17.789102218231466,4.2177129132068085
48,3,B8,4.461961348396689,2.2309806741983444,42.9080391061172,0.7715980670510907,42.13644103906611,21.839818586584148,4.673309168735164
49,0,B2,11.807833881073334,5.903916940536667,163.80503276130318,5.4934564819166045,158.31157627938657,84.6492446216099,9.200502411369168
49,1,B4,0.7586485697028751,0.37932428485143754,33.8579105910673,0.7990676954730469,33.05884289559425,17.328489143270172,4.162750189870895
49,2,B6,0.04,0.04,34.53184929637161,0.7927130663029789,33.73913623006863,17.662281181337296,4.202651684512683
49,3,B8,4.55239138448952,2.27619569224476,42.79778121289591,0.7673448030583396,42.03043640983757,21.782563007977124,4.66717934174134
50,0,B2,8.453588346161728,4.226794173080864,157.11640649101568,4.983940566426391,152.1324659245893,81.05017352872105,9.002786986745885
50,1,B4,0.6858004004593128,0.3429002002296564,32.776827007014326,0.7116783454011018,32.06514866161322,16.74425267620771,4.091974178340781
50,2,B6,0.2627331819852712,0.1313665909926356,33.3980098375385,0.7146531114044677,32.683356726134036,17.056331474471484,4.129931170669977
50,3,B8,3.5935934318618887,1.7967967159309444,41.70104465144258,0.6857986179281218,41.01524603351446,21.19342163468535,4.60363135303918
51,0,B2,11.104678518359924,5.552339259179962,161.8213576008597,5.872977929226951,155.94837967163275,83.84716776504332,9.156809912029589
51,1,B4,0.7796103214847321,0.38980516074236604,32.75836893292746,0.8846602237660319,31.873708709161427,16.821514578346747,4.101403976487411
51,2,B6,0.04,0.04,33.998826512588714,0.8803552409353332,33.118471271653384,17.439590876762026,4.176073619653038
51,3,B8,4.200234968681524,2.100117484340762,41.89296070899051,0.984877405252923,40.908083303737584,21.438919057121716,4.63021803559203
52,0,B2,11.996211656147787,5.998105828073894,163.93867994039957,4.752713880199163,159.1859660602004,84.34569691029937,9.183991338753504
