method,method_class,n_pair_rows,n_runs,sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,projected_twoended_sigma68_ns,full_rms_ns,full_rms_ci_low_ns,full_rms_ci_high_ns,pull_width,tail_fraction_abs_gt_5ns,mean_abs_pair_cov_ns2,correlated_fraction
pair_median,traditional,104464,21,2.291582501582986,1.8994521398654687,16.147411408191665,1.6203935265177614,22.57901752265611,15.752215935369566,34.150767052745145,0.9154505615813595,0.16537754633175064,228.5346093364996,0.3664194966874409
traditional_atom_stratified_ridge,traditional,104464,21,8.233988566480427,7.706994652967541,9.173819599584315,5.822309151570809,11.058936186766138,9.865652611032361,13.666844896309936,0.9884782963890506,0.5049873640680043,56.80265162080072,0.3925720268650901
ridge,ml,104464,21,7.285259561455707,6.740670914273472,8.759109191168395,5.151456438609463,11.564242458425424,10.200587878541851,14.797852769136297,0.9829240363595877,0.4631069076428243,92.2391331822524,0.49701763593881276
gradient_boosted_trees,ml,104464,21,4.156135865828996,3.741202706441137,10.286967157886762,2.938831854260306,12.548635096665025,10.899697125758285,17.340186211757644,0.9723238794200784,0.23669398070148567,63.46463334902064,0.32569713370867376
mlp,ml,104464,21,4.9378940254143355,4.392491342718043,13.60155341013333,3.4916183501510147,19.344370282525368,15.308209278581996,26.61375103826104,0.9676583801417691,0.3212398529637004,197.60335503732438,0.4044060310680744
cnn_1d,ml,104464,21,5.636563873045986,4.450914019383039,17.265728696408683,3.985652537221927,22.052858535232684,18.110901349864925,32.36488544242196,0.9713563988464475,0.36981160974115485,230.22902742737327,0.37437746487102685
pretrigger_support_gated_cnn_new,ml,104464,21,5.355891137777771,4.4133898851112985,13.716363154807919,3.787186942819595,22.16044102282103,17.710012775754677,29.933163666540995,0.9705009397192772,0.3419072599172921,228.11454158536978,0.3734010405001579
pool_label_control,control,104464,21,6.632430102596329,4.859911515072344,15.777792787425343,4.689836301291653,20.88087437314912,15.944840025437184,29.778999997076042,0.8024931347494288,0.4407738551079798,228.5346093364996,0.36641949668744095
ml_shuffled_target_control,control,104464,21,5.7374988559958,4.775978716276446,17.07268063164663,4.057024348124688,22.814789844739217,17.25908255987317,30.658079342425715,0.968106127956414,0.3724345228978404,237.47309277036064,0.3733081724183545
