run,run_family,a_n_pairs,a_p68_width_ns,a_mad_sigma_ns,a_iqr_sigma_ns,a_trimmed_sigma_ns,a_student_t_width68_ns,a_student_t_df,a_full_rms_ns,a1_amp_median,a3_amp_median,a1_tail_median,a3_tail_median
31,sample_i_calib,272,1.5671055568212209,1.5160108248890023,1.5196645992268782,1.5511110941097523,1.4225846790188366,200.0,1.431885500409059,2536.25,1667.25,0.3245699155932199,0.347100049197931
32,sample_i_calib,327,1.5670097405046857,1.6040589972091,1.5877570444651095,1.5788381985221136,1.53160410522747,8.158124623493343,1.7114022724054432,2447.0,1744.0,0.3217408784802493,0.3515820927378475
33,sample_i_calib,7,1.3698768718297358,1.8667563832251746,1.7375096859705497,1.799080512127561,1.7752318425839613,200.0,1.7940746944996873,2309.0,1972.5,0.6799675093918164,0.7023577763357127
34,sample_i_calib,16,1.8199177777812994,1.113098956001681,1.788381407005261,1.9768047876446095,1.6222936921509403,200.0,1.7612646915174777,2534.0,2052.75,0.3097194870437813,0.35812639658714174
35,sample_i_calib,370,1.4274599359020808,1.4889776579911198,1.488152918589534,1.5093962501187859,1.4605461167259925,200.0,1.4650008697804777,2517.25,1758.0,0.3288000287103233,0.3535427852600479
36,sample_i_calib,275,1.4414806721321982,1.2911800552200758,1.2257496589856167,1.4050249304610423,1.326788937793339,3.8155331148242926,6.651500194247603,2707.5,1691.5,0.324176045826778,0.3525110486139011
37,sample_i_calib,674,1.4718385996385452,1.4958870097563233,1.491673352464337,1.485956329889251,1.4349727561134635,53.98960737413814,1.457890857162173,2622.5,1784.0,0.3286051186338208,0.35056466000509023
39,sample_i_calib,489,1.4857085360907618,1.5096102103825078,1.4929526944334741,1.4693670817554956,1.4581388059445146,200.0,1.4678864993184155,2622.0,1749.0,0.3205481707066134,0.3489128750710117
40,sample_i_calib,473,1.4739238733636724,1.5153911075917437,1.4949321732367131,1.506607314067395,1.4285550198046384,4.591519798939991,3.379124930781328,2722.5,1761.0,0.3272406754499907,0.3491672636103152
41,sample_i_calib,484,1.5192356598563221,1.579359182634378,1.5701310046014132,1.5375856747318009,1.4530507720166974,200.0,1.4591817830259284,2644.25,1725.75,0.32373593604478,0.35041552036585055
42,sample_i_calib,429,1.592922147526074,1.6295580026540626,1.6307223020897097,1.5974719420885748,1.451348730923781,8.366145399185838,1.8452478409051503,2565.5,1762.0,0.3230785458125307,0.3488095238095238
44,sample_i_analysis,69,1.5986190810812713,1.6937191906543585,1.8579951087703321,1.6893262331422576,1.5981845098138856,2.2947266755379987,13.019641331489355,2595.0,1776.5,0.325736114687956,0.3516749304631757
45,sample_i_analysis,672,1.498070052238254,1.499506482852348,1.4918927573054688,1.519578224553067,1.4440320854757156,9.646622889449846,1.7078821058317448,2573.75,1727.0,0.32595194249056203,0.3520269998263683
46,sample_i_analysis,9,1.5206258869560316,1.4133174009024019,1.5991500878205114,1.8658086796366071,1.4814040498344132,200.0,1.579871365393793,2777.5,1324.5,0.3220186242114749,0.3450403186631691
47,sample_i_analysis,103,1.5619330640514675,1.7340564954606852,1.5565640154005365,1.5783178248575267,1.527301276953589,200.0,1.549270474670261,2509.0,1934.5,0.3244529814598296,0.3555019050133917
48,sample_i_analysis,510,1.6194877202879427,1.6630768984409683,1.6719848293542123,1.6632599965108739,1.5661649909410025,15.271016376212096,1.6539484770880655,2585.75,1803.0,0.3263028834585818,0.35267951074497655
49,sample_i_analysis,489,1.5113573702689873,1.5982885482318299,1.5792068455328325,1.5458870175355413,1.4143146739160253,5.260503662940847,4.7379066371879714,2726.5,1806.5,0.3317329468248935,0.3557163846111987
50,sample_i_analysis,60,1.7068524678788255,1.6587902870550446,1.6607087316636877,1.69650430865733,1.470311664820203,200.0,1.474897166805029,2860.75,1993.0,0.3538836840231627,0.37053815203236484
51,sample_i_analysis,7,0.7441875396196884,0.8234389335834441,0.912914544840649,0.9728591281722911,0.9273719043353545,2.01,1.4843802269372866,2933.5,2321.0,0.3941095180514769,0.420320797065747
52,sample_i_analysis,6,1.2911732604167385,1.3914517782949791,1.0551160298070716,1.2497259100992255,1.7100242401582662,200.0,1.8034942476552487,1623.25,2626.75,0.43107360568085407,0.478573716254694
53,sample_i_analysis,4,0.27218586673287803,0.24213868681416834,0.20261639931405462,,,,0.3888958090195343,3277.0,2168.5,0.9901848344422595,0.9782979255219824
54,sample_i_analysis,5,1.334010379693467,1.2997113948893515,1.2210990233425612,1.2457347107313521,1.5144039116446542,200.0,1.5282493869161544,2994.0,2278.5,0.988584600186598,0.9511594500307818
55,sample_i_analysis,6,1.173191350261484,1.1491721788423834,1.2237938800116643,1.3281210571970916,1.2706811141161327,200.0,1.3449006719049135,3324.75,2108.75,0.42851797529213886,0.40384101276977374
56,sample_i_analysis,91,1.5218248271983805,1.539687042715339,1.842590424672696,1.6276626379057977,1.5466679998733384,200.0,1.5638775329277597,2802.5,2071.5,0.3480809746267289,0.3624021405212566
57,sample_i_analysis,483,1.4805454067447263,1.4749436048762068,1.4472701577222156,1.4638805821634682,1.4149780328769568,21.232814157615415,1.4635284371532757,2718.0,1746.5,0.3309306423193977,0.3553279157605585
58,sample_ii_analysis,25,1.115405982325394,1.3027706337169094,1.0995620705948512,1.1879902209797335,1.339107041577249,25.83958268605094,1.3738758516537142,2268.0,1840.5,0.3684759916492693,0.4192556634304207
59,sample_ii_analysis,11,0.47269167230124176,0.6158262445807976,0.5547772970861682,0.6111511689465328,0.5867121944533106,8.388561524812935,0.6340783978928837,2491.5,2043.0,0.5194133684309485,0.595180070403466
60,sample_ii_analysis,11,1.0047883232703798,1.211975183552426,1.2052399820396205,1.3298203725325564,1.1195859227438696,200.0,1.1716863795319878,2125.0,1748.5,0.3499929308638484,0.4212176208546444
61,sample_ii_analysis,18,1.765900934373004,1.8437013228140748,2.171552257527331,2.087687157812743,1.7725266354402331,200.0,1.8810197769336174,2456.5,1960.5,0.7781140839487577,0.8493453336405916
62,sample_ii_analysis,7,1.4182250123715976,0.605087889910528,1.2443174355740274,1.7440482990742616,1.4999745198990413,200.0,1.566434162150316,2192.0,1804.5,0.8681212589302955,0.9380838003736324
63,sample_ii_analysis,28,1.4710878013748783,1.7092778216859827,1.693715050199887,1.633988179265372,1.4877478818121108,200.0,1.4937819679705493,1846.25,1875.25,0.3809051043622671,0.4171753377092598
64,sample_ii_calib,16,0.9355437377974003,1.293174169357807,1.0970774132467105,1.0865356586271215,1.2046402718970417,200.0,1.2554614622171796,1919.75,1921.75,0.3664656980685192,0.43286857129202816
65,sample_ii_analysis,27,1.655605721649565,1.9627254133164835,1.9410106103119131,1.7829155997459458,1.589029767727159,200.0,1.593914078193162,1746.0,1917.0,0.3868382710053424,0.4353613492229423
