heldout_run,train_runs,heldout_rows
44,20,178
45,20,3134
46,20,14
47,20,158
48,20,1478
49,20,1650
50,20,2758
51,20,817
52,20,352
53,20,2190
54,20,1928
55,20,1030
56,20,3830
57,20,1661
58,20,1695
59,20,19185
60,20,15877
61,20,18441
62,20,17038
63,20,8920
65,20,2130
