method,baseline,delta_sigma68_ns,delta_projected_twoended_sigma68_ns,delta_pull_width,delta_conditioned_cov_ns2
ridge,pair_median,4.993677059872721,3.5310629120917016,0.06747347477822818,-84.47559312833958
ridge,traditional_atom_stratified_ridge,-0.9487290050247204,-0.670852712961346,-0.00555426002946291,-6.61476189557181
gradient_boosted_trees,pair_median,1.8645533642460101,1.3184383277425447,0.05687331783871885,-51.21524046864009
gradient_boosted_trees,traditional_atom_stratified_ridge,-4.077852700651431,-2.883477297310503,-0.01615441696897224,26.645590764127686
mlp,pair_median,2.6463115238313497,1.8712248236332534,0.05220781856040957,-12.842917384732473
mlp,traditional_atom_stratified_ridge,-3.2960945410660916,-2.3306908014197942,-0.020819916247281522,65.0179138480353
cnn_1d,pair_median,3.3449813714630006,2.3652590107041656,0.05590583726508802,1.7638926018769183
cnn_1d,traditional_atom_stratified_ridge,-2.5974246934344407,-1.836656614348882,-0.01712189754260307,79.6247238346447
pretrigger_support_gated_cnn_new,pair_median,3.0643086361947853,2.1667934163018336,0.05505037813791769,-4.295143603644419
pretrigger_support_gated_cnn_new,traditional_atom_stratified_ridge,-2.878097428702656,-2.035122208751214,-0.017977356669773403,73.56568762912336
