method,run,sample_epoch,heldout_rows,run_class_recall,positive_rate,mean_score
traditional hand-shape,42,sample_i,3635,0.518019257221458,0.48198074277854197,0.4817313686499775
traditional hand-shape,57,sample_i,3559,0.43832537229558866,0.5616746277044113,0.49750604156439676
traditional hand-shape,64,sample_ii,5223,0.7133831131533601,0.7133831131533601,0.5231212578746762
traditional hand-shape,65,sample_ii,3770,0.7411140583554376,0.7411140583554376,0.5266063543775578
traditional PCA-4,42,sample_i,3635,0.6242090784044017,0.37579092159559835,0.44111478212311156
traditional PCA-4,57,sample_i,3559,0.5942680528238269,0.40573194717617306,0.460540442969117
traditional PCA-4,64,sample_ii,5223,0.6869615163699023,0.6869615163699023,0.5877849939342069
traditional PCA-4,65,sample_ii,3770,0.6912466843501326,0.6912466843501326,0.574050804108193
ML masked-denoising AE-4,42,sample_i,3635,0.6115543328748281,0.3884456671251719,0.44320364715348404
ML masked-denoising AE-4,57,sample_i,3559,0.555212138241079,0.44478786175892104,0.4711210099737798
ML masked-denoising AE-4,64,sample_ii,5223,0.6852383687535899,0.6852383687535899,0.5903366154582419
ML masked-denoising AE-4,65,sample_ii,3770,0.6809018567639258,0.6809018567639258,0.5822736767067149
proxy: amplitude+multiplicity,42,sample_i,3635,0.6954607977991747,0.3045392022008253,0.3952430343214353
proxy: amplitude+multiplicity,57,sample_i,3559,0.681090193874684,0.3189098061253161,0.41307616714642414
proxy: amplitude+multiplicity,64,sample_ii,5223,0.5717020869232242,0.5717020869232242,0.5550397181969134
proxy: amplitude+multiplicity,65,sample_ii,3770,0.3859416445623342,0.3859416445623342,0.4702549715701797
leakage check: topology/stave composition,42,sample_i,3635,0.6907840440165062,0.30921595598349383,0.3888446650835179
leakage check: topology/stave composition,57,sample_i,3559,0.6706940151728014,0.32930598482719864,0.4122757338443001
leakage check: topology/stave composition,64,sample_ii,5223,0.5739996170783075,0.5739996170783075,0.5549368371426117
leakage check: topology/stave composition,65,sample_ii,3770,0.4103448275862069,0.4103448275862069,0.47412032134110743
