epoch,training_loss
1,0.4204255208886903
2,0.2531209983702364
3,0.165654512828794
4,0.13109391645110888
5,0.09326761087466931
6,0.0812731079500297
7,0.06994858846582215
8,0.06005690606503651
9,0.05387884275666598
10,0.04862494496949788
11,0.04451565508698595
12,0.04203181623898704
13,0.04012670984555935
14,0.0390523290582772
15,0.037156016662203036
16,0.03658168339009943
17,0.03601793379619204
18,0.035547976349962165
19,0.034954897673993277
20,0.03463881841764368
21,0.03309393577791493
22,0.03333748318254948
23,0.03297631404009359
24,0.032112488651583934
25,0.032176207622577405
