method,run,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns,calibration_slope,q_template_mse,failure_rate_abs_gt_5ns
1d_cnn,42,597,1.91084892102187,5.790092857242524,7.3638855656553455,0.39028475711892796,0.11390284757118928,1.0271987290412388,0.19830155525986995,0.39028475711892796
1d_cnn,50,620,-0.3517382233067421,8.322546008094172,8.532237268938273,0.48870967741935484,0.23548387096774193,1.014654556175958,0.18798983454328133,0.48870967741935484
1d_cnn,57,610,1.8094918394062365,5.742916407066986,6.843142104492434,0.45737704918032784,0.10655737704918032,1.0309841068608778,0.22497870414244814,0.45737704918032784
1d_cnn,58,594,-2.4451764987581157,5.8069341953927385,6.1757265842855675,0.37037037037037035,0.10437710437710437,1.0224498644884379,0.19568392655072592,0.37037037037037035
1d_cnn,60,640,1.3982212884627039,4.927608604586656,6.901520520581094,0.3484375,0.0765625,0.9794803322954794,0.1741609680570083,0.3484375
1d_cnn,62,640,0.7838918115284468,5.012050205690056,6.942284167823121,0.3234375,0.0625,0.9968182064993777,0.16981177456802454,0.3234375
1d_cnn,64,640,-0.19637940371339369,4.678036930654882,6.278325113150103,0.2828125,0.0546875,1.028074004559301,0.15652790780479997,0.2828125
1d_cnn,65,585,0.5422443779370312,4.729429067541444,6.11500368016974,0.29572649572649573,0.07008547008547009,1.050109044528777,0.14660548990702346,0.29572649572649573
compact_waveform_transformer,42,597,2.1725377149395015,5.8072196639931795,7.329782896051187,0.4321608040201005,0.1407035175879397,1.0477699592682022,0.19830155525986995,0.4321608040201005
compact_waveform_transformer,50,620,0.02369577647310095,7.840170234905731,7.927970517795962,0.47580645161290325,0.20161290322580644,1.0282003853492956,0.18798983454328133,0.47580645161290325
compact_waveform_transformer,57,610,2.4193217585237017,5.947705797497226,6.080055791135083,0.42950819672131146,0.13442622950819672,1.0457113566033798,0.22497870414244814,0.42950819672131146
compact_waveform_transformer,58,594,-1.050280421155115,5.910798014206552,6.11783856836237,0.4107744107744108,0.09764309764309764,1.0295087604300353,0.19568392655072592,0.4107744107744108
compact_waveform_transformer,60,640,2.5881353391783106,6.479233815191959,7.079603941095989,0.4828125,0.10625,1.0298900983684782,0.1741609680570083,0.4828125
compact_waveform_transformer,62,640,1.4164171534361225,6.04240586218746,8.040035263360354,0.4375,0.0875,1.040038727341881,0.16981177456802454,0.4375
compact_waveform_transformer,64,640,1.2874222626286276,5.709316751993411,5.8509755217174515,0.390625,0.059375,1.0624916490446858,0.15652790780479997,0.390625
compact_waveform_transformer,65,585,1.3154167023747387,5.594319227415134,6.617752805852274,0.4256410256410256,0.08034188034188035,1.0485934438904005,0.14660548990702346,0.4256410256410256
gradient_boosted_trees,42,597,1.199933927225592,2.716443721607867,3.927787221625952,0.11055276381909548,0.010050251256281407,1.0170338755703487,0.19830155525986995,0.11055276381909548
gradient_boosted_trees,50,620,0.7259026602410619,6.924077884107405,6.597809526223531,0.31129032258064515,0.1774193548387097,1.0021823267829018,0.18798983454328133,0.31129032258064515
gradient_boosted_trees,57,610,0.45043818519504875,1.9976480133794448,2.650153341606609,0.08852459016393442,0.006557377049180328,1.029772748606853,0.22497870414244814,0.08852459016393442
gradient_boosted_trees,58,594,-2.930641245446118,2.4623366466754053,3.037099928280686,0.22895622895622897,0.005050505050505051,1.0280048301539562,0.19568392655072592,0.22895622895622897
gradient_boosted_trees,60,640,-0.28071758339482944,3.577558710125208,3.3113780315312584,0.1203125,0.003125,1.0062223435870263,0.1741609680570083,0.1203125
gradient_boosted_trees,62,640,-0.5740281883687928,2.7339756622393487,3.079722868021754,0.0703125,0.0078125,0.9995251119810343,0.16981177456802454,0.0703125
gradient_boosted_trees,64,640,-1.292426077267779,3.0834004809213518,3.309122942249792,0.084375,0.0109375,1.0223092066039448,0.15652790780479997,0.084375
gradient_boosted_trees,65,585,-1.684251397613398,3.6715878224897236,3.6458264460327254,0.14871794871794872,0.006837606837606838,1.017364495657619,0.14660548990702346,0.14871794871794872
mlp,42,597,1.1503282422754388,3.0964509347829994,3.339026975869268,0.1440536013400335,0.006700167504187605,1.0116641354326814,0.19830155525986995,0.1440536013400335
mlp,50,620,0.3950032580009233,6.850263489661537,6.5424631575007774,0.3548387096774194,0.17096774193548386,0.9978309169050678,0.18798983454328133,0.3548387096774194
mlp,57,610,0.6557372139371704,2.8085430360539974,3.313502047783862,0.09508196721311475,0.014754098360655738,1.0162869084314503,0.22497870414244814,0.09508196721311475
mlp,58,594,-2.412538386911528,3.4067396305330373,3.4335773398119596,0.26430976430976433,0.02356902356902357,1.0183500528118903,0.19568392655072592,0.26430976430976433
mlp,60,640,-0.34666578367994516,4.123060146902447,3.902615098482995,0.2078125,0.0046875,0.9953113818853881,0.1741609680570083,0.2078125
mlp,62,640,-0.5565399562151767,3.49545778507367,4.201347397115466,0.128125,0.009375,1.0085097711755784,0.16981177456802454,0.128125
mlp,64,640,-1.5248721849218376,3.6536765466561727,3.580400972170796,0.13125,0.0046875,1.0101726515970804,0.15652790780479997,0.13125
mlp,65,585,-1.7808543719266205,4.378996406981812,4.154925327707014,0.2222222222222222,0.003418803418803419,1.001440747250426,0.14660548990702346,0.2222222222222222
