method,base_method,drift_order,n,pred_mean_ns,target_mean_ns,heldout_run,selector,stratum_train_runs,heldout_stratum
s02e_binned_timewalk_drift0,s02b_template,0,37,-5.112693165042003,-6.6043852813704245,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift0,s02b_template,0,36,-2.7118021823836225,-3.0708106163432256,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift0,s02b_template,0,37,0.8451730575563768,1.0152501149542175,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift0,s02b_template,0,36,2.021972283301365,2.321293076340909,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift0,s02b_template,0,36,2.5801976497162733,3.1383051068274708,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift0,s02b_template,0,37,3.3834998841121386,3.2649094257214646,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift1,s02b_template,1,37,-8.388205243868644,-6.6043852813704245,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift1,s02b_template,1,36,-5.989051540537657,-3.0708106163432256,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift1,s02b_template,1,37,4.287161244069926,0.9240204255745066,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift1,s02b_template,1,36,5.785392456147531,2.952568489464997,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift1,s02b_template,1,36,6.4697979349295025,2.604180258204796,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift1,s02b_template,1,37,7.451580270835932,3.2616142415322313,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift2,s02b_template,2,37,-280889.5642391161,-6.6043852813704245,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift2,s02b_template,2,36,-280887.1651460034,-3.0708106163432256,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift2,s02b_template,2,37,-94217.39366072061,2.614348113070585,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift2,s02b_template,2,36,-94216.20801276338,3.1573279744422202,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift2,s02b_template,2,36,375309.919158085,0.9213121605279101,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift2,s02b_template,2,37,375311.7266022574,3.0094462853115007,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift0,template_phase,0,37,-4.560963758271163,-4.983493281999357,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift0,template_phase,0,36,-3.674880038415443,-4.166676465182539,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift0,template_phase,0,37,1.414645035310545,1.5480338835336818,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift0,template_phase,0,36,2.32214634439925,2.584169731175378,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift0,template_phase,0,36,2.6025677865648875,2.905558161376959,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift0,template_phase,0,37,3.1810346754456584,2.1481661177815297,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift1,template_phase,1,37,-4.172645479922265,-4.983493281999357,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift1,template_phase,1,36,-3.300325821016818,-4.0363750163132925,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift1,template_phase,1,37,-0.4010933792238781,1.4792277378531857,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift1,template_phase,1,36,1.1388926910009607,2.2394534718881265,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift1,template_phase,1,36,6.833835171760926,2.6980563266277398,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift1,template_phase,1,37,7.275346247677962,2.6274857560571645,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift2,template_phase,2,37,-172156.4312446249,2.695053323624736,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift2,template_phase,2,36,-172155.98843390535,2.6286118821832907,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift2,template_phase,2,37,-140920.29507810558,1.6060075259421824,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift2,template_phase,2,36,-140918.73289063975,2.2394534718881265,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift2,template_phase,2,36,313157.86103250505,-5.000009798515873,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift2,template_phase,2,37,313158.75151563715,-4.172682471188546,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift0,s02b_template,0,382,-9.873168728046814,-10.307545105466444,59,median_first4,60 61 62,mid_rate
