feature,coefficient,method,base_method,drift_order,train_pulses,heldout_pulses,heldout_run,selector,stratum_train_runs,heldout_stratum
intercept,0.0,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B4_intercept,-14.383929391866593,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B4_log_amp,-17.063466014077804,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B4_log_amp2,9.887463986265729,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B4_inv_amp,-0.9507104961009073,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B4_peak_sample,1.0631014743758143,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B4_area_over_amp,1.3256211197295718,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B4_template_sse,0.1986576138252538,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B6_intercept,-4.845277387036562,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B6_log_amp,4.080202340250219,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B6_log_amp2,-13.174515314621333,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B6_inv_amp,-2.0702282630405513,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B6_peak_sample,-0.3314170780800475,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B6_area_over_amp,-0.5553105791793,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B6_template_sse,0.017078270601738738,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B8_intercept,19.22920673244235,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B8_log_amp,-42.96515305994861,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B8_log_amp2,7.926435788005426,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B8_inv_amp,-2.026755203370585,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B8_peak_sample,-0.1304847793062678,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B8_area_over_amp,0.40469723678871883,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
B8_template_sse,0.2969584945521407,s02e_binned_timewalk_drift0,s02b_template,0,3597,219,58,median_first4,59 63 65,low_rate
intercept,0.0,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B4_intercept,-14.225906108695883,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B4_log_amp,-17.132951546131707,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B4_log_amp2,9.91548773996394,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B4_inv_amp,-0.954337138440953,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B4_peak_sample,1.061165796297463,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B4_area_over_amp,1.3220758275495064,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B4_template_sse,0.19764866257719094,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B6_intercept,-4.841393950350281,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B6_log_amp,4.015434925388992,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B6_log_amp2,-13.057319026867274,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B6_inv_amp,-2.0497648009306704,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B6_peak_sample,-0.3230673169724484,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B6_area_over_amp,-0.5600051505801958,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B6_template_sse,0.016882654241109924,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B8_intercept,19.067300013119613,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B8_log_amp,-42.68221497579076,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B8_log_amp2,7.828357977246293,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
