alpha,fold,sigma68_ns,n_pair_residuals,heldout_run,selector,stratum_train_runs,heldout_stratum
100.0,0,1.8891461432027878,2424,61,median_first4,59 60 62,high_rate
100.0,1,1.958115016415941,2421,61,median_first4,59 60 62,high_rate
100.0,2,2.0301114574201455,2289,61,median_first4,59 60 62,high_rate
100.0,-1,1.9591242056796248,0,61,median_first4,59 60 62,high_rate
0.01,0,2.6205869465859095,2799,62,median_first4,59 60 61,mid_rate
0.01,1,1.7750359270692349,2424,62,median_first4,59 60 61,mid_rate
0.01,2,1.9314991435514537,2289,62,median_first4,59 60 61,mid_rate
0.01,-1,2.1090406724021995,0,62,median_first4,59 60 61,mid_rate
0.1,0,2.6196229263080957,2799,62,median_first4,59 60 61,mid_rate
0.1,1,1.773851831494214,2424,62,median_first4,59 60 61,mid_rate
0.1,2,1.9300419073602246,2289,62,median_first4,59 60 61,mid_rate
0.1,-1,2.107838888387511,0,62,median_first4,59 60 61,mid_rate
1.0,0,2.601392998437211,2799,62,median_first4,59 60 61,mid_rate
1.0,1,1.7754033135572689,2424,62,median_first4,59 60 61,mid_rate
1.0,2,1.9313498404697773,2289,62,median_first4,59 60 61,mid_rate
1.0,-1,2.1027153841547523,0,62,median_first4,59 60 61,mid_rate
10.0,0,2.4845681978823704,2799,62,median_first4,59 60 61,mid_rate
10.0,1,1.7720260282795344,2424,62,median_first4,59 60 61,mid_rate
10.0,2,1.918945581768274,2289,62,median_first4,59 60 61,mid_rate
10.0,-1,2.0585132693100596,0,62,median_first4,59 60 61,mid_rate
100.0,0,2.2857473718654897,2799,62,median_first4,59 60 61,mid_rate
100.0,1,1.7090624749378003,2424,62,median_first4,59 60 61,mid_rate
100.0,2,1.8627725669837831,2289,62,median_first4,59 60 61,mid_rate
100.0,-1,1.9525274712623577,0,62,median_first4,59 60 61,mid_rate
0.01,0,2.0220656723490187,2289,63,median_first4,58 59 65,low_rate
0.01,1,1.910998443920132,219,63,median_first4,58 59 65,low_rate
0.01,2,1.8556000515485194,198,63,median_first4,58 59 65,low_rate
0.01,-1,1.92955472260589,0,63,median_first4,58 59 65,low_rate
0.1,0,2.018942174101864,2289,63,median_first4,58 59 65,low_rate
0.1,1,1.9029548409600845,219,63,median_first4,58 59 65,low_rate
0.1,2,1.8562970845005982,198,63,median_first4,58 59 65,low_rate
0.1,-1,1.9260646998541822,0,63,median_first4,58 59 65,low_rate
1.0,0,1.944832552728148,2289,63,median_first4,58 59 65,low_rate
1.0,1,1.9409686178525032,219,63,median_first4,58 59 65,low_rate
1.0,2,1.8636347115982737,198,63,median_first4,58 59 65,low_rate
1.0,-1,1.9164786273929748,0,63,median_first4,58 59 65,low_rate
10.0,0,1.8572254997690023,2289,63,median_first4,58 59 65,low_rate
10.0,1,1.8861376338616722,219,63,median_first4,58 59 65,low_rate
10.0,2,1.862563299666383,198,63,median_first4,58 59 65,low_rate
10.0,-1,1.8686421444323524,0,63,median_first4,58 59 65,low_rate
100.0,0,1.6925178558154017,2289,63,median_first4,58 59 65,low_rate
100.0,1,1.7480287727893713,219,63,median_first4,58 59 65,low_rate
100.0,2,1.7853220450768386,198,63,median_first4,58 59 65,low_rate
100.0,-1,1.7419562245605373,0,63,median_first4,58 59 65,low_rate
0.01,0,2.2406963048140875,2289,65,median_first4,58 59 63,low_rate
0.01,1,1.8460201703257642,1110,65,median_first4,58 59 63,low_rate
0.01,2,2.11196344931279,219,65,median_first4,58 59 63,low_rate
0.01,-1,2.066226641484214,0,65,median_first4,58 59 63,low_rate
