method,base_method,drift_order,fold,heldout_runs,sigma68_ns,n_pair_residuals,heldout_run,selector,stratum_train_runs,heldout_stratum
s02e_binned_timewalk_drift0,s02b_template,0,0,59,2.3141408715504017,2289,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift0,s02b_template,0,1,63,2.1563072717614302,1110,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift0,s02b_template,0,2,65,2.228722108088623,198,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift1,s02b_template,1,0,59,48.77980492492507,2289,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift1,s02b_template,1,1,63,54.43183819625882,1110,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift1,s02b_template,1,2,65,53.51856774786883,198,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift2,s02b_template,2,0,59,24.142816998575483,2289,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift2,s02b_template,2,1,63,5.948205889987365,1110,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift2,s02b_template,2,2,65,10.262122575107822,198,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift0,template_phase,0,0,59,1.6505244477706986,2289,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift0,template_phase,0,1,63,1.6713294865320052,1110,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift0,template_phase,0,2,65,1.7454228751204284,198,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift1,template_phase,1,0,59,21.407836310639798,2289,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift1,template_phase,1,1,63,55.07347162008132,1110,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift1,template_phase,1,2,65,49.353344307623175,198,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift2,template_phase,2,0,59,10.149294816326307,2289,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift2,template_phase,2,1,63,6.778336435544496,1110,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift2,template_phase,2,2,65,10.14164442017309,198,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift0,s02b_template,0,0,61,3.818190841435732,2799,59,median_first4,60 61 62,mid_rate
s02e_binned_timewalk_drift0,s02b_template,0,1,60,3.133997721688149,2424,59,median_first4,60 61 62,mid_rate
s02e_binned_timewalk_drift0,s02b_template,0,2,62,3.6729733169830867,2421,59,median_first4,60 61 62,mid_rate
s02e_binned_timewalk_drift1,s02b_template,1,0,61,283.746388650839,2799,59,median_first4,60 61 62,mid_rate
s02e_binned_timewalk_drift1,s02b_template,1,1,60,235.3615960463025,2424,59,median_first4,60 61 62,mid_rate
s02e_binned_timewalk_drift1,s02b_template,1,2,62,63.265788174625136,2421,59,median_first4,60 61 62,mid_rate
s02e_binned_timewalk_drift2,s02b_template,2,0,61,26.283214167866127,2799,59,median_first4,60 61 62,mid_rate
s02e_binned_timewalk_drift2,s02b_template,2,1,60,89.3287222957885,2424,59,median_first4,60 61 62,mid_rate
s02e_binned_timewalk_drift2,s02b_template,2,2,62,83.63186907159763,2421,59,median_first4,60 61 62,mid_rate
s02e_global_timewalk_drift0,template_phase,0,0,61,2.181908069185144,2799,59,median_first4,60 61 62,mid_rate
s02e_global_timewalk_drift0,template_phase,0,1,60,1.513387209909265,2424,59,median_first4,60 61 62,mid_rate
s02e_global_timewalk_drift0,template_phase,0,2,62,1.5673431118271743,2421,59,median_first4,60 61 62,mid_rate
s02e_global_timewalk_drift1,template_phase,1,0,61,156.91978459546277,2799,59,median_first4,60 61 62,mid_rate
s02e_global_timewalk_drift1,template_phase,1,1,60,81.08435684730898,2424,59,median_first4,60 61 62,mid_rate
s02e_global_timewalk_drift1,template_phase,1,2,62,16.952387852054553,2421,59,median_first4,60 61 62,mid_rate
s02e_global_timewalk_drift2,template_phase,2,0,61,16.88998439576835,2799,59,median_first4,60 61 62,mid_rate
s02e_global_timewalk_drift2,template_phase,2,1,60,31.53406586180901,2424,59,median_first4,60 61 62,mid_rate
s02e_global_timewalk_drift2,template_phase,2,2,62,21.756317800622366,2421,59,median_first4,60 61 62,mid_rate
s02e_binned_timewalk_drift0,s02b_template,0,0,61,2.8989940029351846,2799,60,median_first4,59 61 62,high_rate
s02e_binned_timewalk_drift0,s02b_template,0,1,62,2.7965971125169604,2421,60,median_first4,59 61 62,high_rate
s02e_binned_timewalk_drift0,s02b_template,0,2,59,2.9664429125479277,2289,60,median_first4,59 61 62,high_rate
s02e_binned_timewalk_drift1,s02b_template,1,0,61,43.52027319906783,2799,60,median_first4,59 61 62,high_rate
s02e_binned_timewalk_drift1,s02b_template,1,1,62,5.16416738519447,2421,60,median_first4,59 61 62,high_rate
s02e_binned_timewalk_drift1,s02b_template,1,2,59,6.770659438810059,2289,60,median_first4,59 61 62,high_rate
s02e_binned_timewalk_drift2,s02b_template,2,0,61,4.808296541191566,2799,60,median_first4,59 61 62,high_rate
s02e_binned_timewalk_drift2,s02b_template,2,1,62,26.70222455087276,2421,60,median_first4,59 61 62,high_rate
s02e_binned_timewalk_drift2,s02b_template,2,2,59,7.038173154281763,2289,60,median_first4,59 61 62,high_rate
s02e_global_timewalk_drift0,template_phase,0,0,61,2.154845256294146,2799,60,median_first4,59 61 62,high_rate
s02e_global_timewalk_drift0,template_phase,0,1,62,1.5470670477850028,2421,60,median_first4,59 61 62,high_rate
s02e_global_timewalk_drift0,template_phase,0,2,59,1.4988274239910906,2289,60,median_first4,59 61 62,high_rate
s02e_global_timewalk_drift1,template_phase,1,0,61,242.00473724996277,2799,60,median_first4,59 61 62,high_rate
s02e_global_timewalk_drift1,template_phase,1,1,62,6.359388499578701,2421,60,median_first4,59 61 62,high_rate
s02e_global_timewalk_drift1,template_phase,1,2,59,19.139142698084395,2289,60,median_first4,59 61 62,high_rate
s02e_global_timewalk_drift2,template_phase,2,0,61,23.310677565962663,2799,60,median_first4,59 61 62,high_rate
s02e_global_timewalk_drift2,template_phase,2,1,62,25.915907898568175,2421,60,median_first4,59 61 62,high_rate
s02e_global_timewalk_drift2,template_phase,2,2,59,9.261810267394896,2289,60,median_first4,59 61 62,high_rate
s02e_binned_timewalk_drift0,s02b_template,0,0,60,2.645837071301472,2424,61,median_first4,59 60 62,high_rate
s02e_binned_timewalk_drift0,s02b_template,0,1,62,3.141358061146765,2421,61,median_first4,59 60 62,high_rate
s02e_binned_timewalk_drift0,s02b_template,0,2,59,3.192883332434127,2289,61,median_first4,59 60 62,high_rate
s02e_binned_timewalk_drift1,s02b_template,1,0,60,89.0051050928212,2424,61,median_first4,59 60 62,high_rate
s02e_binned_timewalk_drift1,s02b_template,1,1,62,8.771505323305503,2421,61,median_first4,59 60 62,high_rate
s02e_binned_timewalk_drift1,s02b_template,1,2,59,7.329183591501401,2289,61,median_first4,59 60 62,high_rate
s02e_binned_timewalk_drift2,s02b_template,2,0,60,3.784430730359092,2424,61,median_first4,59 60 62,high_rate
s02e_binned_timewalk_drift2,s02b_template,2,1,62,19.651294363034943,2421,61,median_first4,59 60 62,high_rate
s02e_binned_timewalk_drift2,s02b_template,2,2,59,4.67720159494052,2289,61,median_first4,59 60 62,high_rate
s02e_global_timewalk_drift0,template_phase,0,0,60,1.6640093071248092,2424,61,median_first4,59 60 62,high_rate
s02e_global_timewalk_drift0,template_phase,0,1,62,1.7688736984338016,2421,61,median_first4,59 60 62,high_rate
s02e_global_timewalk_drift0,template_phase,0,2,59,1.6979712333211778,2289,61,median_first4,59 60 62,high_rate
s02e_global_timewalk_drift1,template_phase,1,0,60,155.5437730326492,2424,61,median_first4,59 60 62,high_rate
s02e_global_timewalk_drift1,template_phase,1,1,62,9.03613367763504,2421,61,median_first4,59 60 62,high_rate
s02e_global_timewalk_drift1,template_phase,1,2,59,62.27353572383345,2289,61,median_first4,59 60 62,high_rate
s02e_global_timewalk_drift2,template_phase,2,0,60,8.635264301540637,2424,61,median_first4,59 60 62,high_rate
s02e_global_timewalk_drift2,template_phase,2,1,62,17.200119796355846,2421,61,median_first4,59 60 62,high_rate
s02e_global_timewalk_drift2,template_phase,2,2,59,26.505941125616186,2289,61,median_first4,59 60 62,high_rate
s02e_binned_timewalk_drift0,s02b_template,0,0,61,3.2202697346337157,2799,62,median_first4,59 60 61,mid_rate
s02e_binned_timewalk_drift0,s02b_template,0,1,60,2.7033347963732917,2424,62,median_first4,59 60 61,mid_rate
s02e_binned_timewalk_drift0,s02b_template,0,2,59,3.175007244779148,2289,62,median_first4,59 60 61,mid_rate
s02e_binned_timewalk_drift1,s02b_template,1,0,61,85.22235567424214,2799,62,median_first4,59 60 61,mid_rate
s02e_binned_timewalk_drift1,s02b_template,1,1,60,107.74389976971045,2424,62,median_first4,59 60 61,mid_rate
s02e_binned_timewalk_drift1,s02b_template,1,2,59,38.971086584444976,2289,62,median_first4,59 60 61,mid_rate
s02e_binned_timewalk_drift2,s02b_template,2,0,61,6.4823996396342505,2799,62,median_first4,59 60 61,mid_rate
s02e_binned_timewalk_drift2,s02b_template,2,1,60,66.8023432819427,2424,62,median_first4,59 60 61,mid_rate
s02e_binned_timewalk_drift2,s02b_template,2,2,59,29.436760142846243,2289,62,median_first4,59 60 61,mid_rate
s02e_global_timewalk_drift0,template_phase,0,0,61,2.167338002242541,2799,62,median_first4,59 60 61,mid_rate
s02e_global_timewalk_drift0,template_phase,0,1,60,1.4527211286847637,2424,62,median_first4,59 60 61,mid_rate
s02e_global_timewalk_drift0,template_phase,0,2,59,1.5309840130347379,2289,62,median_first4,59 60 61,mid_rate
s02e_global_timewalk_drift1,template_phase,1,0,61,76.07413400447336,2799,62,median_first4,59 60 61,mid_rate
s02e_global_timewalk_drift1,template_phase,1,1,60,54.95337027941755,2424,62,median_first4,59 60 61,mid_rate
