selector,method,n_runs,mean_sigma68_ns,ci_low,ci_high,min_run_sigma68_ns,max_run_sigma68_ns
dynamic_range,S02 ML ridge,7,2.2954058635410144,2.2204264423012097,2.4107031935232692,2.1927244507763715,2.6067829471764536
median_first4,S02 ML ridge,7,1.868270519178765,1.7936923983641289,1.9876959762386734,1.7704554183103534,2.205928482351121
dynamic_range,S02 train-best global template (template_phase),7,2.6663276729828067,2.4959577749832986,2.8219133217490278,2.2077295582421925,2.98807179852178
median_first4,S02 train-best global template (template_phase),7,2.7531173571170515,2.644039851113319,2.8747492216881856,2.54985108601365,3.02074431141304
dynamic_range,S02b binned timewalk no covariate,7,4.806556011966139,4.547053262761992,5.044758107665871,4.225533593451575,5.241346931463504
median_first4,S02b binned timewalk no covariate,7,2.74767674765056,2.343409278815249,3.220838922616229,2.1840449238620416,3.904284257164395
dynamic_range,S02b global timewalk no covariate,7,1.8160405565993014,1.6867438076686663,1.9881719351967342,1.6343793555617763,2.2527489420568907
median_first4,S02b global timewalk no covariate,7,1.6859757441267862,1.5432625776953643,1.8716207510141654,1.4700876084210042,2.1882829964081854
dynamic_range,S02e binned current/rate selected,7,4.806556011966139,4.555310580294702,5.055243896416417,4.225533593451575,5.241346931463504
median_first4,S02e binned current/rate selected,7,2.74767674765056,2.341353065859685,3.22792416112778,2.1840449238620416,3.904284257164395
dynamic_range,S02e global current/rate selected,7,1.8160405565993014,1.6865110763600168,1.9818766846652094,1.6343793555617763,2.2527489420568907
median_first4,S02e global current/rate selected,7,1.6859757441267862,1.537800069594081,1.8714281056079762,1.4700876084210042,2.1882829964081854
