heldout_run,stave,forbidden_heldout_target_median_ns,n_heldout_pulses,selector,stratum_train_runs,heldout_stratum
58,B4,-3.791384249105704,73,median_first4,59 63 65,low_rate
58,B6,2.3604977520309376,73,median_first4,59 63 65,low_rate
58,B8,1.2207273041308326,73,median_first4,59 63 65,low_rate
59,B4,-5.29024736394237,763,median_first4,60 61 62,mid_rate
59,B6,3.408123034246735,763,median_first4,60 61 62,mid_rate
59,B8,2.1996707531487445,763,median_first4,60 61 62,mid_rate
60,B4,-3.6013064330860907,808,median_first4,59 61 62,high_rate
60,B6,2.4018297041462375,808,median_first4,59 61 62,high_rate
60,B8,1.1979667753823051,808,median_first4,59 61 62,high_rate
61,B4,-3.017191245131208,933,median_first4,59 60 62,high_rate
61,B6,2.1933673456362754,933,median_first4,59 60 62,high_rate
61,B8,1.1375761509533362,933,median_first4,59 60 62,high_rate
62,B4,-4.240062867837558,807,median_first4,59 60 61,mid_rate
62,B6,2.73423509983013,807,median_first4,59 60 61,mid_rate
62,B8,1.5442458761189357,807,median_first4,59 60 61,mid_rate
63,B4,-3.576650283693933,370,median_first4,58 59 65,low_rate
63,B6,2.491932591164712,370,median_first4,58 59 65,low_rate
63,B8,1.2067279682532224,370,median_first4,58 59 65,low_rate
65,B4,-4.1697810115911125,66,median_first4,58 59 63,low_rate
65,B6,2.4304509426593377,66,median_first4,58 59 63,low_rate
65,B8,1.4225108589281668,66,median_first4,58 59 63,low_rate
58,B4,-2.841578819795167,90,dynamic_range,59 63 65,low_rate
58,B6,2.2663632304618417,90,dynamic_range,59 63 65,low_rate
58,B8,0.42919131326317483,90,dynamic_range,59 63 65,low_rate
59,B4,-3.1683492867292706,900,dynamic_range,60 61 62,mid_rate
59,B6,1.9472331031029526,900,dynamic_range,60 61 62,mid_rate
59,B8,1.3443197937321045,900,dynamic_range,60 61 62,mid_rate
60,B4,-2.746665127548418,955,dynamic_range,59 61 62,high_rate
60,B6,2.153831956973306,955,dynamic_range,59 61 62,high_rate
60,B8,0.5760522014784186,955,dynamic_range,59 61 62,high_rate
61,B4,-2.592729048409808,1075,dynamic_range,59 60 62,high_rate
61,B6,1.9718029736614255,1075,dynamic_range,59 60 62,high_rate
61,B8,0.7473708635885998,1075,dynamic_range,59 60 62,high_rate
62,B4,-3.646423715624131,941,dynamic_range,59 60 61,mid_rate
62,B6,2.4008628884769507,941,dynamic_range,59 60 61,mid_rate
62,B8,0.9940260004326831,941,dynamic_range,59 60 61,mid_rate
63,B4,-2.9211741537688667,441,dynamic_range,58 59 65,low_rate
63,B6,2.468906750464974,441,dynamic_range,58 59 65,low_rate
63,B8,0.6961285949330005,441,dynamic_range,58 59 65,low_rate
65,B4,-2.152781390934706,90,dynamic_range,58 59 63,low_rate
65,B6,2.1588553740804013,90,dynamic_range,58 59 63,low_rate
65,B8,0.15118713594755917,90,dynamic_range,58 59 63,low_rate
