n,pred_mean_ns,target_mean_ns,heldout_run,selector,stratum_train_runs,heldout_stratum
32,-4.937661113646513,-4.039460414944878,58,median_first4,59 63 65,low_rate
31,-3.744248549909386,-4.527490736831653,58,median_first4,59 63 65,low_rate
31,-0.24925839179862025,-0.3164858125984832,58,median_first4,59 63 65,low_rate
31,1.7587489436251262,1.9565427870662793,58,median_first4,59 63 65,low_rate
31,2.4443972036313117,2.9050382747219143,58,median_first4,59 63 65,low_rate
31,3.111665650100618,3.4420600668573553,58,median_first4,59 63 65,low_rate
32,4.5496614400323265,0.6879103538299489,58,median_first4,59 63 65,low_rate
327,-4.690268200122401,-4.799582588100735,59,median_first4,60 61 62,mid_rate
327,-3.946967111179012,-4.380147581308201,59,median_first4,60 61 62,mid_rate
327,-0.5003996111803661,-0.6732559516635376,59,median_first4,60 61 62,mid_rate
327,1.682809070003399,1.758170087228847,59,median_first4,60 61 62,mid_rate
327,2.4753277201941963,2.527228426532609,59,median_first4,60 61 62,mid_rate
327,2.874116825791943,2.7348093455941602,59,median_first4,60 61 62,mid_rate
327,3.6966588356991448,2.832778261716851,59,median_first4,60 61 62,mid_rate
347,-4.99362331090263,-5.558648923441421,60,median_first4,59 61 62,high_rate
346,-4.228224221592872,-4.283625979142502,60,median_first4,59 61 62,high_rate
346,-0.5506148046681116,-0.8827497598257334,60,median_first4,59 61 62,high_rate
346,1.342382245577935,1.3664938821736996,60,median_first4,59 61 62,high_rate
346,1.8113351790828578,2.018218096619861,60,median_first4,59 61 62,high_rate
346,2.290565195373317,2.742768835625521,60,median_first4,59 61 62,high_rate
347,3.3498722702361126,4.6003136032512435,60,median_first4,59 61 62,high_rate
400,-5.206552147759208,-4.304280128512684,61,median_first4,59 60 62,high_rate
400,-4.4951364616577205,-3.93645273286179,61,median_first4,59 60 62,high_rate
400,-0.7435772060285539,-1.2383887318088649,61,median_first4,59 60 62,high_rate
399,1.2961169860160984,1.163216748659879,61,median_first4,59 60 62,high_rate
400,2.0855273702828607,1.9841765286593323,61,median_first4,59 60 62,high_rate
400,2.6284384071659765,2.491777608236779,61,median_first4,59 60 62,high_rate
400,3.57307324417774,3.842858749498999,61,median_first4,59 60 62,high_rate
346,-4.811536295374661,-4.31985090196689,62,median_first4,59 60 61,mid_rate
346,-3.9945622765064948,-4.352234042961291,62,median_first4,59 60 61,mid_rate
346,-0.47867201735308995,-0.6733342585665131,62,median_first4,59 60 61,mid_rate
