method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,heldout_run,selector,stratum_train_runs,heldout_stratum
of_2_10,2.0,heldout,219,-2.7929689010421086,4.200868937575196,4.128574133741311,0.2237442922374429,2.029437473345434,1.4283511874589507,58,median_first4,59 63 65,low_rate
of_3_11,2.0,train,3597,-3.798774241774254,3.392921298486537,3.8440464482795385,0.1609674728940784,1.2025792587637512,7.758416227617854,58,median_first4,59 63 65,low_rate
of_3_11,2.0,heldout,219,-3.6400374609949395,3.535407509915794,4.074755496394943,0.1552511415525114,1.2212879897001878,0.99412605454434,58,median_first4,59 63 65,low_rate
of_4_12,2.0,train,3597,-3.8148089681368305,3.382022161956069,3.94782530324706,0.16569363358354183,153.3429489880831,6.828075477901916,58,median_first4,59 63 65,low_rate
of_4_12,2.0,heldout,219,-3.4912053871545154,3.375284115699002,4.3097567258192475,0.1598173515981735,3.444610938773727,0.9707059130525251,58,median_first4,59 63 65,low_rate
le500,2.0,train,7644,-1.3395001765084782,4.009599776338385,6.91865790194709,0.19727891156462585,294.1443751382252,1.5779929577038594,59,median_first4,60 61 62,mid_rate
le500,2.0,heldout,2289,-1.2976968803733726,4.421646861182247,6.885219094216158,0.23809523809523808,204.83077655582528,0.7389646865981887,59,median_first4,60 61 62,mid_rate
cfd10,2.0,train,7644,-2.661132802744703,3.1937652730275365,6.534828349713841,0.04356357927786499,245.01375552769542,15.40075628973759,59,median_first4,60 61 62,mid_rate
cfd10,2.0,heldout,2289,-2.7999330183968993,3.3194022537290495,6.679111642333952,0.048055919615552646,221.7735736546127,5.10269585500395,59,median_first4,60 61 62,mid_rate
cfd20,2.0,train,7644,-2.6996429624093317,3.0980673937415797,6.361939924561323,0.054290947148090005,327.8276030507055,10.738291141995196,59,median_first4,60 61 62,mid_rate
cfd20,2.0,heldout,2289,-3.037298141121923,3.1903942554003875,5.795444490088401,0.07077326343381389,273.53146208229157,5.9841453726004925,59,median_first4,60 61 62,mid_rate
cfd30,2.0,train,7644,-2.5990977388619463,3.2034260751195744,6.477080068204071,0.08608058608058608,244.37303799260908,10.148578089825744,59,median_first4,60 61 62,mid_rate
cfd30,2.0,heldout,2289,-2.885697461898566,3.2901011589583096,5.784476638313081,0.1000436871996505,278.81138432656616,5.2987719114725245,59,median_first4,60 61 62,mid_rate
cfd40,2.0,train,7644,-2.34570500887021,3.3530653808504463,6.526382510752407,0.11263736263736264,213.51286494285497,7.214539564501678,59,median_first4,60 61 62,mid_rate
cfd40,2.0,heldout,2289,-2.7572700495254807,3.4761891541563767,5.985010920877463,0.12538226299694188,227.1553113124355,3.550473793600686,59,median_first4,60 61 62,mid_rate
cfd50,2.0,train,7644,-2.0272106249701167,3.548481951105336,6.795272926480044,0.14167974882260598,187.0409908146355,5.708448311280864,59,median_first4,60 61 62,mid_rate
cfd50,2.0,heldout,2289,-2.4530877111147973,3.709660513235132,7.143729783930568,0.1511577107907383,1.3082159000971068,2.697500205344446,59,median_first4,60 61 62,mid_rate
template_phase,2.0,train,7644,-3.733699319628407,2.7707443114130363,3.3047865544246493,0.09275248560962847,1.3849554160380844,88.37553387387268,59,median_first4,60 61 62,mid_rate
template_phase,2.0,heldout,2289,-3.733699319628414,3.02074431141304,3.347826180148955,0.08475316732197466,1.1773168856639855,27.33912974829945,59,median_first4,60 61 62,mid_rate
of_1_9,2.0,train,7644,-3.20108994078727,3.373375331308113,3.818781211456374,0.15763997906855048,122.4871220394342,8.857560459195835,59,median_first4,60 61 62,mid_rate
of_1_9,2.0,heldout,2289,-3.449756352891306,3.4701626595482287,3.839324500155347,0.15683704674530363,1.177899959558769,5.79319838081495,59,median_first4,60 61 62,mid_rate
of_2_10,2.0,train,7644,-3.3486629782645743,3.432292966935584,3.8702293554822678,0.16444270015698587,104.96581485522398,9.015650224293148,59,median_first4,60 61 62,mid_rate
of_2_10,2.0,heldout,2289,-3.636363496409828,3.480176810816179,3.8673552814895356,0.16382699868938402,1.082051953949976,5.445585598978052,59,median_first4,60 61 62,mid_rate
of_3_11,2.0,train,7644,-3.4655146130678105,3.427667922480869,3.8944285652876434,0.1662742019884877,1.8503172403616588,7.771613279993725,59,median_first4,60 61 62,mid_rate
of_3_11,2.0,heldout,2289,-3.7583097767146114,3.422443795782677,3.8217484814856975,0.1620795107033639,201.21102858173484,5.08198889349892,59,median_first4,60 61 62,mid_rate
