method,base_method,drift_order,mean_cv_sigma68_ns,folds,total_pair_residuals,heldout_run,selector,stratum_train_runs,heldout_stratum
s02e_binned_timewalk_drift0,s02b_template,0,2.2330567504668184,3,3597,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift2,s02b_template,2,13.451048487890224,3,3597,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift1,s02b_template,1,52.24340362301757,3,3597,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift0,template_phase,0,1.6890922698077109,3,3597,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift2,template_phase,2,9.023091890681298,3,3597,58,median_first4,59 63 65,low_rate
s02e_global_timewalk_drift1,template_phase,1,41.944884079448094,3,3597,58,median_first4,59 63 65,low_rate
s02e_binned_timewalk_drift0,s02b_template,0,3.541720626702323,3,7644,59,median_first4,60 61 62,mid_rate
s02e_binned_timewalk_drift2,s02b_template,2,66.41460184508408,3,7644,59,median_first4,60 61 62,mid_rate
s02e_binned_timewalk_drift1,s02b_template,1,194.12459095725555,3,7644,59,median_first4,60 61 62,mid_rate
s02e_global_timewalk_drift0,template_phase,0,1.754212796973861,3,7644,59,median_first4,60 61 62,mid_rate
s02e_global_timewalk_drift2,template_phase,2,23.39345601939991,3,7644,59,median_first4,60 61 62,mid_rate
s02e_global_timewalk_drift1,template_phase,1,84.98550976494211,3,7644,59,median_first4,60 61 62,mid_rate
s02e_binned_timewalk_drift0,s02b_template,0,2.887344676000024,3,7509,60,median_first4,59 61 62,high_rate
s02e_binned_timewalk_drift2,s02b_template,2,12.84956474878203,3,7509,60,median_first4,59 61 62,high_rate
s02e_binned_timewalk_drift1,s02b_template,1,18.48503334102412,3,7509,60,median_first4,59 61 62,high_rate
s02e_global_timewalk_drift0,template_phase,0,1.7335799093567463,3,7509,60,median_first4,59 61 62,high_rate
s02e_global_timewalk_drift2,template_phase,2,19.49613191064191,3,7509,60,median_first4,59 61 62,high_rate
s02e_global_timewalk_drift1,template_phase,1,89.16775614920863,3,7509,60,median_first4,59 61 62,high_rate
s02e_binned_timewalk_drift0,s02b_template,0,2.9933594882941215,3,7134,61,median_first4,59 60 62,high_rate
s02e_binned_timewalk_drift2,s02b_template,2,9.370975562778185,3,7134,61,median_first4,59 60 62,high_rate
s02e_binned_timewalk_drift1,s02b_template,1,35.03526466920937,3,7134,61,median_first4,59 60 62,high_rate
s02e_global_timewalk_drift0,template_phase,0,1.7102847462932627,3,7134,61,median_first4,59 60 62,high_rate
s02e_global_timewalk_drift2,template_phase,2,17.447108407837558,3,7134,61,median_first4,59 60 62,high_rate
s02e_global_timewalk_drift1,template_phase,1,75.61781414470589,3,7134,61,median_first4,59 60 62,high_rate
s02e_binned_timewalk_drift0,s02b_template,0,3.0328705919287184,3,7512,62,median_first4,59 60 61,mid_rate
s02e_binned_timewalk_drift2,s02b_template,2,34.240501021474394,3,7512,62,median_first4,59 60 61,mid_rate
s02e_binned_timewalk_drift1,s02b_template,1,77.31244734279919,3,7512,62,median_first4,59 60 61,mid_rate
s02e_global_timewalk_drift0,template_phase,0,1.7170143813206806,3,7512,62,median_first4,59 60 61,mid_rate
s02e_global_timewalk_drift2,template_phase,2,22.690623966899704,3,7512,62,median_first4,59 60 61,mid_rate
s02e_global_timewalk_drift1,template_phase,1,54.772005141965586,3,7512,62,median_first4,59 60 61,mid_rate
s02e_binned_timewalk_drift0,s02b_template,0,2.1805815760982927,3,2706,63,median_first4,58 59 65,low_rate
s02e_binned_timewalk_drift2,s02b_template,2,9.513584789400154,3,2706,63,median_first4,58 59 65,low_rate
s02e_binned_timewalk_drift1,s02b_template,1,44.70167123711885,3,2706,63,median_first4,58 59 65,low_rate
s02e_global_timewalk_drift0,template_phase,0,1.6105738242451082,3,2706,63,median_first4,58 59 65,low_rate
s02e_global_timewalk_drift2,template_phase,2,7.153810131963738,3,2706,63,median_first4,58 59 65,low_rate
s02e_global_timewalk_drift1,template_phase,1,33.40001149462666,3,2706,63,median_first4,58 59 65,low_rate
s02e_binned_timewalk_drift0,s02b_template,0,2.283446660996782,3,3618,65,median_first4,58 59 63,low_rate
s02e_binned_timewalk_drift2,s02b_template,2,5.240409704568795,3,3618,65,median_first4,58 59 63,low_rate
s02e_binned_timewalk_drift1,s02b_template,1,34.02022056651122,3,3618,65,median_first4,58 59 63,low_rate
s02e_global_timewalk_drift0,template_phase,0,1.7140347811791727,3,3618,65,median_first4,58 59 63,low_rate
s02e_global_timewalk_drift2,template_phase,2,4.719687109245097,3,3618,65,median_first4,58 59 63,low_rate
s02e_global_timewalk_drift1,template_phase,1,26.981215753383236,3,3618,65,median_first4,58 59 63,low_rate
s02e_binned_timewalk_drift0,s02b_template,0,5.44759307065441,3,4293,58,dynamic_range,59 63 65,low_rate
s02e_binned_timewalk_drift2,s02b_template,2,53.42668703985917,3,4293,58,dynamic_range,59 63 65,low_rate
s02e_binned_timewalk_drift1,s02b_template,1,288.23684268586544,3,4293,58,dynamic_range,59 63 65,low_rate
s02e_global_timewalk_drift0,template_phase,0,1.7672928095927254,3,4293,58,dynamic_range,59 63 65,low_rate
s02e_global_timewalk_drift2,template_phase,2,18.143872580740243,3,4293,58,dynamic_range,59 63 65,low_rate
s02e_global_timewalk_drift1,template_phase,1,91.49868015246994,3,4293,58,dynamic_range,59 63 65,low_rate
s02e_binned_timewalk_drift0,s02b_template,0,4.482071123198,3,8913,59,dynamic_range,60 61 62,mid_rate
s02e_binned_timewalk_drift2,s02b_template,2,48.207691059013484,3,8913,59,dynamic_range,60 61 62,mid_rate
s02e_binned_timewalk_drift1,s02b_template,1,257.6915175312915,3,8913,59,dynamic_range,60 61 62,mid_rate
s02e_global_timewalk_drift0,template_phase,0,1.9514312459462608,3,8913,59,dynamic_range,60 61 62,mid_rate
s02e_global_timewalk_drift2,template_phase,2,40.04012032659157,3,8913,59,dynamic_range,60 61 62,mid_rate
s02e_global_timewalk_drift1,template_phase,1,108.19506544352642,3,8913,59,dynamic_range,60 61 62,mid_rate
s02e_binned_timewalk_drift0,s02b_template,0,4.780575443769028,3,8748,60,dynamic_range,59 61 62,high_rate
s02e_binned_timewalk_drift2,s02b_template,2,42.71029297945325,3,8748,60,dynamic_range,59 61 62,high_rate
