stratum,subset,definition,method,n,bias_frac,res68_frac,mae_mev,res68_ci95,bias_ci95,mae_mev_ci95
adc_saturation_onset,in_stratum,any_saturated,old_power_law,106217,-0.4326497466132472,0.4514886826499652,10.7480905510244,"[0.4451255658828485, 0.45644538369537985]","[-0.4365452460225675, -0.4264668180787415]","[10.575517545566637, 10.944288525908181]"
adc_saturation_onset,in_stratum,any_saturated,geant4_birks_lookup,106217,-0.0404028613830016,0.0484975857724767,1.2845669095942986,"[0.04744534451871076, 0.05114720164608243]","[-0.042046848781654364, -0.039596318937576036]","[1.1642117590664762, 1.6333128758166835]"
adc_saturation_onset,in_stratum,any_saturated,ridge,106217,-0.0256779618643125,0.0549548576044372,1.2860227236731443,"[0.052796272830628765, 0.05926999972738509]","[-0.030184295718935, -0.01555284991348752]","[1.1575727171093482, 1.5372783036044677]"
adc_saturation_onset,in_stratum,any_saturated,gradient_boosted_trees,106217,-0.0379177478664259,0.0562142558279182,1.4280185907193397,"[0.0517199705719396, 0.06268440375730644]","[-0.04095827129249905, -0.035404802267653884]","[1.3072495956342736, 1.72058806691296]"
adc_saturation_onset,in_stratum,any_saturated,mlp,106217,-0.556395911850019,0.5733302281479044,13.592896937403474,"[0.570494263691369, 0.5755893637596577]","[-0.5593084577289482, -0.5524854957141794]","[13.548963364875968, 13.655182482595702]"
adc_saturation_onset,in_stratum,any_saturated,1d_cnn,106217,-0.1604770128474776,0.1897611439072851,4.26721181621629,"[0.1809644808514061, 0.19880711123036537]","[-0.16590123489801376, -0.1509249750826521]","[4.056866828003156, 4.490239750367727]"
adc_saturation_onset,in_stratum,any_saturated,transformer,106217,0.0754463333341552,0.0960039123982892,2.225959455071917,"[0.09198734107417024, 0.10442983802208876]","[0.07202147002129088, 0.08003581529205576]","[2.0920303765532906, 2.5183268810486954]"
adc_saturation_onset,in_stratum,any_saturated,physics_residual_mlp,106217,-0.0127566558068103,0.0387697764284218,0.9503209139821616,"[0.03588506844063465, 0.04471386133503352]","[-0.017291124016397773, -0.006481693188012452]","[0.8484226821784263, 1.168845045655789]"
adc_saturation_onset,complement,any_saturated,old_power_law,226635,-0.0699208109291017,0.5675353665438484,6.5105513179755015,"[0.39167566585529323, 0.7708137573178871]","[-0.18840582678354922, 0.09448383212256573]","[6.117643467961269, 7.079892031100225]"
adc_saturation_onset,complement,any_saturated,geant4_birks_lookup,226635,-0.0166973271290986,0.0335214647813082,0.9877032705175862,"[0.032764224604618385, 0.03476465449711962]","[-0.019245732487226448, -0.014612728852085533]","[0.8256329388673945, 1.2002371559383533]"
adc_saturation_onset,complement,any_saturated,ridge,226635,-0.0217505347430438,0.1177033375770436,1.4701871088606444,"[0.10408288148109993, 0.13828825990810498]","[-0.04707951510239393, 0.0037097187664226787]","[1.3461074282494032, 1.6092114473235055]"
adc_saturation_onset,complement,any_saturated,gradient_boosted_trees,226635,-1.4804733736631304e-05,0.05711933952133,0.8036488077057778,"[0.04439839521328849, 0.07294968971461126]","[-0.00462421499910339, 0.006754750833092381]","[0.6307163604778158, 0.9923681219923465]"
adc_saturation_onset,complement,any_saturated,mlp,226635,-0.6604617006293959,0.7189106432382536,9.221186414485636,"[0.710227838885926, 0.7243913266390217]","[-0.6835488230084338, -0.5972208919000122]","[8.295360899992911, 10.126415811980095]"
adc_saturation_onset,complement,any_saturated,1d_cnn,226635,-0.1979357021824797,0.2965985213787258,3.6722568207813473,"[0.2831725629371853, 0.3267713560828257]","[-0.21665339896161653, -0.14973836311634128]","[3.363495941644337, 4.023120780078611]"
adc_saturation_onset,complement,any_saturated,transformer,226635,-0.0684688362897634,0.1410130148218208,1.7899664025505468,"[0.13441547111225227, 0.15897941050335268]","[-0.09745159627910746, -0.025924886354923845]","[1.5894991204125535, 1.963713391165392]"
adc_saturation_onset,complement,any_saturated,physics_residual_mlp,226635,-0.0157902422848944,0.0776530337732153,1.0989322664948975,"[0.0652490567219371, 0.09427756533741141]","[-0.024684925703604827, -0.0009568624013861532]","[0.920633510292297, 1.3323466163778055]"
