heldout_run,n_train,n_test,traditional_fallback_counts
31,3826,229,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 229}"
32,3848,207,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 206, ""depth_idx+b2_bin"": 1}"
33,4047,8,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 8}"
34,4039,16,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 16}"
35,3834,221,"{""a_topology+depth_idx+b2_bin"": 1, ""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 220}"
36,3760,295,"{""a_topology+depth_idx+b2_bin"": 2, ""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 293}"
37,3763,292,"{""a_topology+depth_idx+b2_bin"": 1, ""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 291}"
39,3731,324,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 324}"
40,3790,265,"{""a_topology+depth_idx+b2_bin"": 1, ""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 264}"
41,3760,295,"{""a_topology+depth_idx+b2_bin"": 1, ""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 294}"
42,3776,279,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 277, ""depth_idx+b2_bin"": 2}"
44,4025,30,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 30}"
45,3753,302,"{""a_topology+depth_idx+b2_bin"": 1, ""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 301}"
47,3963,92,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 92}"
48,3795,260,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 259, ""depth_idx+b2_bin"": 1}"
49,3767,288,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 288}"
50,3994,61,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 61}"
51,4030,25,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 25}"
52,4049,6,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 6}"
53,4038,17,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 17}"
54,4037,18,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 18}"
55,4028,27,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 26, ""depth_idx+b2_bin"": 1}"
56,3987,68,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 68}"
57,3779,276,"{""a_topology+depth_idx+b2_bin"": 1, ""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 273, ""depth_idx+b2_bin"": 2}"
58,4021,34,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 34}"
59,4046,9,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 9}"
60,4045,10,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 10}"
61,4049,6,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 6}"
62,4047,8,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 7, ""depth_idx+b2_bin"": 1}"
63,4016,39,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 39}"
64,4020,35,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 35}"
65,4042,13,"{""a_topology+depth_idx+b_mult+b_downstream_mult+b2_bin+bdown_bin"": 13}"
