event_id,pair,method,residual_ns,heldout_run
58:391631:10103:2692,B4-B6,cfd20_unweighted,-3.916585084693601,58
58:391631:10103:2692,B4-B8,cfd20_unweighted,-3.439525131378531,58
58:391631:10103:2692,B6-B8,cfd20_unweighted,0.4770599533150701,58
58:391841:10300:2900,B4-B6,cfd20_unweighted,-4.77227106404527,58
58:391841:10300:2900,B4-B8,cfd20_unweighted,-3.3236909143832776,58
58:391841:10300:2900,B6-B8,cfd20_unweighted,1.4485801496619928,58
58:392066:10514:3123,B4-B6,cfd20_unweighted,-3.7273956732449705,58
58:392066:10514:3123,B4-B8,cfd20_unweighted,-1.0409795062342084,58
58:392066:10514:3123,B6-B8,cfd20_unweighted,2.686416167010762,58
58:392204:10642:3261,B4-B6,cfd20_unweighted,-4.880936657211464,58
58:392204:10642:3261,B4-B8,cfd20_unweighted,-4.601066565221856,58
58:392204:10642:3261,B6-B8,cfd20_unweighted,0.27987009198960777,58
58:392294:10722:3348,B4-B6,cfd20_unweighted,-4.811859348087488,58
58:392294:10722:3348,B4-B8,cfd20_unweighted,-3.2785285106547803,58
58:392294:10722:3348,B6-B8,cfd20_unweighted,1.5333308374327075,58
58:392636:11042:3687,B4-B6,cfd20_unweighted,-6.8808267365773546,58
58:392636:11042:3687,B4-B8,cfd20_unweighted,-5.629836406550531,58
58:392636:11042:3687,B6-B8,cfd20_unweighted,1.2509903300268235,58
58:393248:11615:4294,B4-B6,cfd20_unweighted,-3.97219735623473,58
58:393248:11615:4294,B4-B8,cfd20_unweighted,-3.69045598092238,58
58:393248:11615:4294,B6-B8,cfd20_unweighted,0.28174137531235033,58
58:394656:12923:5698,B4-B6,cfd20_unweighted,-6.140833758638443,58
58:394656:12923:5698,B4-B8,cfd20_unweighted,-6.087708618517901,58
58:394656:12923:5698,B6-B8,cfd20_unweighted,0.05312514012054237,58
58:394684:12945:5726,B4-B6,cfd20_unweighted,-2.8776287649517194,58
58:394684:12945:5726,B4-B8,cfd20_unweighted,-1.2643629003610144,58
58:394684:12945:5726,B6-B8,cfd20_unweighted,1.613265864590705,58
58:394786:13037:5828,B4-B6,cfd20_unweighted,-4.073411573683188,58
58:394786:13037:5828,B4-B8,cfd20_unweighted,-2.9902372083066098,58
58:394786:13037:5828,B6-B8,cfd20_unweighted,1.0831743653765784,58
58:394965:13201:6007,B4-B6,cfd20_unweighted,-6.945461301109518,58
58:394965:13201:6007,B4-B8,cfd20_unweighted,-3.502722770328745,58
58:394965:13201:6007,B6-B8,cfd20_unweighted,3.4427385307807725,58
58:395467:13673:6509,B4-B6,cfd20_unweighted,-5.505513372472279,58
58:395467:13673:6509,B4-B8,cfd20_unweighted,-3.627774499220344,58
58:395467:13673:6509,B6-B8,cfd20_unweighted,1.8777388732519356,58
58:396978:15063:8018,B4-B6,cfd20_unweighted,-6.1565493042188635,58
58:396978:15063:8018,B4-B8,cfd20_unweighted,-5.890542549418136,58
58:396978:15063:8018,B6-B8,cfd20_unweighted,0.26600675480072766,58
58:398418:42:9453,B4-B6,cfd20_unweighted,-2.7705218134850327,58
58:398418:42:9453,B4-B8,cfd20_unweighted,-1.6699827025946092,58
58:398418:42:9453,B6-B8,cfd20_unweighted,1.1005391108904234,58
58:398580:196:9615,B4-B6,cfd20_unweighted,-5.403270190861306,58
58:398580:196:9615,B4-B8,cfd20_unweighted,-4.622115872612071,58
58:398580:196:9615,B6-B8,cfd20_unweighted,0.7811543182492358,58
58:399270:859:10304,B4-B6,cfd20_unweighted,-6.033241751077867,58
58:399270:859:10304,B4-B8,cfd20_unweighted,-8.18269541978573,58
58:399270:859:10304,B6-B8,cfd20_unweighted,-2.1494536687078636,58
58:399602:1163:10635,B4-B6,cfd20_unweighted,-3.844461397716884,58
58:399602:1163:10635,B4-B8,cfd20_unweighted,-4.863653647791779,58
58:399602:1163:10635,B6-B8,cfd20_unweighted,-1.0191922500748944,58
58:399989:1517:11021,B4-B6,cfd20_unweighted,-5.296259001605392,58
58:399989:1517:11021,B4-B8,cfd20_unweighted,-3.9284623691348344,58
58:399989:1517:11021,B6-B8,cfd20_unweighted,1.367796632470558,58
58:400792:2281:11821,B4-B6,cfd20_unweighted,-44.15371114590253,58
58:400792:2281:11821,B4-B8,cfd20_unweighted,-45.91310665653673,58
58:400792:2281:11821,B6-B8,cfd20_unweighted,-1.7593955106342065,58
58:401022:2495:12051,B4-B6,cfd20_unweighted,-3.6883209039314906,58
58:401022:2495:12051,B4-B8,cfd20_unweighted,-3.1311613121739477,58
58:401022:2495:12051,B6-B8,cfd20_unweighted,0.5571595917575429,58
58:401083:2548:12110,B4-B6,cfd20_unweighted,-5.42386029722001,58
58:401083:2548:12110,B4-B8,cfd20_unweighted,-6.551433614880885,58
58:401083:2548:12110,B6-B8,cfd20_unweighted,-1.1275733176608753,58
58:401283:2737:12310,B4-B6,cfd20_unweighted,-4.224782311314058,58
58:401283:2737:12310,B4-B8,cfd20_unweighted,-5.869472238009337,58
58:401283:2737:12310,B6-B8,cfd20_unweighted,-1.6446899266952784,58
58:401498:2943:12525,B4-B6,cfd20_unweighted,-6.19890372272144,58
58:401498:2943:12525,B4-B8,cfd20_unweighted,-5.556894202291339,58
58:401498:2943:12525,B6-B8,cfd20_unweighted,0.6420095204301006,58
58:401532:2974:12559,B4-B6,cfd20_unweighted,-4.4922884349888506,58
58:401532:2974:12559,B4-B8,cfd20_unweighted,-3.2272342149502435,58
58:401532:2974:12559,B6-B8,cfd20_unweighted,1.265054220038607,58
