feature,coefficient_ns_per_raw_unit,standardized_coefficient_ns,heldout_run
stave_B4,-4.2190059226054615,-1.9888584651603254,58
stave_B6,2.4309784083477277,1.14597421164049,58
log_amp,-2.5746586533136875,-0.8449228881837207,58
stave_B8,1.7880275142601756,0.8428842535209862,58
inv_amp_1000,-4.634330634470754,-0.642728749154338,58
inv_sqrt_amp_1000,-0.606075447556517,-0.06325029483360833,58
stave_B4,-4.106963471311558,-1.936041147099769,59
stave_B6,2.44753029944447,1.1537768479310744,59
log_amp,-2.418673654316402,-0.7885954056832682,59
stave_B8,1.6594331718670463,0.7822642991686749,59
inv_amp_1000,-4.604614139438964,-0.6292847313812585,59
inv_sqrt_amp_1000,-0.4453471429772422,-0.045962102027625844,59
stave_B4,-3.985721945030783,-1.878887343503412,60
stave_B6,2.333411291437544,1.099980631648426,60
log_amp,-2.521937698787792,-0.8321018767945807,60
stave_B8,1.6523106535928271,0.778906711854792,60
inv_amp_1000,-4.808632931510304,-0.6815415901637447,60
inv_sqrt_amp_1000,-0.34044702491147116,-0.03602810563237946,60
stave_B4,-4.3189750771321345,-2.035984376543754,61
stave_B6,2.5063919946325273,1.1815245171441497,61
stave_B8,1.8125830824980356,0.8544598593988634,61
log_amp,-2.3872857076861704,-0.7899326495469761,61
inv_amp_1000,-4.610869347645873,-0.6485348156725981,61
inv_sqrt_amp_1000,-0.2595296442544151,-0.02738999824757562,61
stave_B4,-4.174236915219068,-1.9677541526869502,62
stave_B6,2.4201121917170285,1.1408518279968245,62
log_amp,-2.673847439037725,-0.8808049615467196,62
stave_B8,1.7541247235035522,0.8269023246908388,62
inv_amp_1000,-4.7642647982352635,-0.6623773765181313,62
inv_sqrt_amp_1000,-0.48849006337731715,-0.05114038335434439,62
stave_B4,-4.122839885501529,-1.943525360522934,63
stave_B6,2.3869859922546364,1.1252359878136635,63
log_amp,-2.8153968379966168,-0.9186684180416438,63
stave_B8,1.7358538932468985,0.8182893727092728,63
inv_amp_1000,-5.390192198185007,-0.7397472269207667,63
inv_sqrt_amp_1000,-0.367515051634704,-0.038036048728263425,63
stave_B4,-4.222265920078846,-1.9903952427070473,65
stave_B6,2.4322058055318028,1.1465528122218696,65
log_amp,-2.6936814234877944,-0.8827035204578143,65
stave_B8,1.790060114547558,0.8438424304854197,65
inv_amp_1000,-4.99899047685335,-0.6906545750780206,65
inv_sqrt_amp_1000,-0.537107396550516,-0.055906852911550425,65
