run,sampled_events,sampled_quiet_fraction,ml_mean_quiet_probability,ml_p95_quiet_probability
12,1000,0.102,0.37935750327483375,0.5273404403314739
13,2618,0.10695187165775401,0.3760532881088704,0.5262630843356099
14,1000,0.097,0.39268129753011666,0.5530561551132457
15,5000,0.1012,0.38163103517442976,0.5386225120294019
16,1000,0.105,0.38456430366431615,0.5430547363543288
17,1000,0.09,0.4373300289370917,0.5956550300630917
18,3023,0.10982467747270923,0.4398234047109169,0.5952910193169193
19,3000,0.10433333333333333,0.2994821117816562,0.5620260110704578
20,3000,0.13266666666666665,0.2158332050069836,0.5267860395851443
23,1000,0.389,0.29621844875333164,0.5667529848713939
24,1000,0.375,0.29419643312032123,0.5459355386061198
25,1000,0.468,0.4905008786345035,0.7753874170348256
26,3000,0.37833333333333335,0.48783724788462707,0.7850020590148113
27,2000,0.3465,0.48716908404758563,0.786508034765377
28,1000,0.318,0.33365993727469445,0.5948402345734607
29,1667,0.4355128974205159,0.34330806959893645,0.5847790953082626
30,1000,0.342,0.3153436767162195,0.5769182038644675
31,2000,0.271,0.3145528531437977,0.5790757774005678
32,2000,0.291,0.3249717875056344,0.5900597966238446
33,3000,0.13266666666666665,0.39430456319052615,0.6146877727788833
34,2000,0.1385,0.38459789463658556,0.6097072226456168
35,2000,0.4935,0.4024777607340825,0.6386860057133026
36,1000,0.467,0.3875505620783807,0.6233288066859781
37,2426,0.4917559769167354,0.39102683705411817,0.6318777834971019
39,2000,0.4765,0.3933303662224473,0.6296724256407222
40,2000,0.493,0.402624410001202,0.6424432250163126
41,2000,0.47,0.4016907127061371,0.6404151019470343
42,2000,0.4185,0.3931881136518285,0.6395435946684628
43,11,0.5454545454545454,0.4967266281446619,0.6738732649122898
44,1000,0.494,0.4078125744942341,0.6454452236714979
45,2000,0.4365,0.39278092777028556,0.6406312281975902
46,1000,0.471,0.3926115355356204,0.6300221549290324
47,1000,0.472,0.3979920874020454,0.6292246273055545
48,2000,0.516,0.4028751839351616,0.6392201977908641
49,2000,0.4855,0.39575209701708786,0.6350632430454026
50,2000,0.178,0.3287964701749635,0.6090745141145126
51,1000,0.247,0.3522471724791485,0.6200344847942686
52,1000,0.241,0.3364550848119495,0.6113978125729583
53,2000,0.1665,0.3552675544296028,0.6186106516246535
54,2000,0.156,0.35071638529782584,0.6132101141223305
55,1000,0.247,0.3460685276315585,0.6178421263515651
56,3000,0.19333333333333333,0.3186954759511425,0.6029578673872917
57,2000,0.4865,0.39290278165430353,0.6284883393028352
58,2000,0.454,0.46005391511511784,0.6340343166258218
59,2000,0.6125,0.4005428149111704,0.624376565734276
60,2000,0.672,0.4255732504375957,0.6154698753293323
61,2000,0.6405,0.43153022363442695,0.6279312451112038
62,2000,0.6115,0.41615344618437683,0.6249059408559753
63,2000,0.557,0.40501091187998195,0.6165055397942307
64,2000,0.63,0.44195684861069456,0.6295937501130834
65,2000,0.624,0.44124177497828587,0.6293026848608002
