# Kuraray Y-11 wavelength-shifting fibre: absorption (WLS uptake) spectrum
# units_x: nm
# units_y: mm   (WLSABSLENGTH: shorter length = stronger absorption)
# source: Kuraray Y-11 product information (absorption peak ~430 nm), representative shape
# status: MANUFACTURER_REPRESENTATIVE  (digitize exact datasheet curve for production)
# note: WLSABSLENGTH is the absorption length; ~0.5 mm at the 430 nm peak, long in the tails.
# wavelength_nm, wls_abs_length_mm
340, 100.0
360, 40.0
380, 12.0
400, 3.0
420, 0.8
430, 0.5
440, 0.7
460, 3.0
480, 30.0
500, 200.0
520, 2000.0
