# Extruded polystyrene plastic scintillator: emission spectrum (SCINTILLATIONCOMPONENT1)
# units_x: nm
# units_y: rel
# source: polystyrene-based plastic scintillator (e.g. Saint-Gobain BC-408 class), emission peak ~420 nm
# status: MANUFACTURER_REPRESENTATIVE  (identify exact formulation; blue emission overlaps Y-11 absorption)
# wavelength_nm, rel_intensity
360, 0.02
380, 0.20
400, 0.70
420, 1.00
440, 0.75
460, 0.40
480, 0.18
500, 0.08
520, 0.03
