method,family,risk_coverage_auc,risk_coverage_auc_ci_low,risk_coverage_auc_ci_high,ml_minus_traditional_risk_coverage_auc
amplitude_binned_asymmetric_template_fit,traditional,0.40379396706555215,0.36507349997513067,0.44156452168979343,0.0
ridge_logistic_plus_ridge_regression,ml,0.6321319126186898,0.600261721180009,0.6632166869644031,0.2283379455531377
hist_gradient_boosted_trees,ml,0.7784086899289473,0.7698999721496802,0.7877645969402018,0.37461472286339514
compact_mlp_classifier_regressor,ml,0.6476098334500108,0.647168078273386,0.6483738722362121,0.24381586638445862
one_dimensional_cnn,nn,0.33302373965691673,0.33254449867615127,0.33430203936491765,-0.07077022740863542
attention_waveform_encoder,new_architecture,0.3706196852778845,0.36463905294223214,0.3801256569491895,-0.033174281787667625
