source_run,method,family,detection_ap,detection_auc,time_rms_ns,time_sigma68_ns,charge_fractional_bias,charge_fractional_res68,failure_rate,n_events,n_positive
63,amplitude_binned_asymmetric_template_fit,traditional,0.709794975995745,0.6845111111111111,17.30787638633881,12.067385223400914,-0.004271073591533359,0.11700042379586109,0.02666666666666667,600,300
63,ridge_logistic_plus_ridge_regression,ml,0.8163109380145357,0.8098111111111113,8.615891144939201,6.4170215277990135,-0.014414806145041571,0.07401445874894776,0.30666666666666664,600,300
63,hist_gradient_boosted_trees,ml,0.8872375528484167,0.8728,6.861415740966915,3.974928550905115,-0.01672997881114255,0.06707629379061425,0.2833333333333333,600,300
63,compact_mlp_classifier_regressor,ml,0.8242628123454849,0.8175,9.050883256578778,7.220230275405722,0.0012274122416756842,0.07652348167815543,0.31333333333333335,600,300
63,one_dimensional_cnn,nn,0.7768650523953357,0.7806333333333333,11.013847951526886,9.59439284504833,-0.04858331164124553,0.08267330085516604,0.4066666666666667,600,300
63,attention_waveform_encoder,new_architecture,0.7953016186094221,0.8008555555555555,11.329611931730014,9.5359154239671,-0.05050012291269976,0.08986046574028156,0.29,600,300
65,amplitude_binned_asymmetric_template_fit,traditional,0.69520278216563,0.6966555555555557,17.735997185182935,12.894867166119035,0.0010162307812544556,0.1138823815098089,0.013333333333333334,600,300
65,ridge_logistic_plus_ridge_regression,ml,0.8537220472412678,0.8371333333333333,8.484195044324027,6.5083969083876045,-0.020901398102075867,0.06870402490582686,0.31,600,300
65,hist_gradient_boosted_trees,ml,0.8819625251339386,0.8667888888888889,7.641297402813334,4.341527704473281,-0.0019569357070497078,0.05482060596966927,0.2633333333333333,600,300
65,compact_mlp_classifier_regressor,ml,0.8625667008537916,0.8446777777777777,9.152266779100605,6.653478803531989,-0.009453075442058282,0.06684006427586431,0.33,600,300
65,one_dimensional_cnn,nn,0.7964724521868778,0.7878666666666667,10.693890312831314,8.935128206643654,-0.04068265991911966,0.07428214051372725,0.43,600,300
65,attention_waveform_encoder,new_architecture,0.8215071625193493,0.8092666666666668,11.346762839053062,8.954401645126566,-0.04159869137004691,0.08330532539079658,0.2966666666666667,600,300
