method,n,roc_auc,roc_auc_ci95,average_precision,balanced_accuracy,balanced_accuracy_ci95,tn,fp,fn,tp
gradient_boosted_trees,248783,0.999855296713909,"[0.9998046776374163, 0.9999000167351869]",0.9996931991875109,0.9982078540224131,"[0.9975523197738093, 0.9985093432750554]",130736,315,139,117593
range_gated_residual_mlp_new,248783,0.9998512948722559,"[0.9997770868455829, 0.9999085572185918]",0.9996191664006789,0.9982508936206909,"[0.997741400364508, 0.9985621078455582]",130715,336,110,117622
mlp,248783,0.9992987690261708,"[0.9991447332575443, 0.9994302954453386]",0.999068336914498,0.9973433982821578,"[0.9969118071529061, 0.9976373390480313]",130643,408,259,117473
ridge,248783,0.9992461954666272,"[0.9990918342291757, 0.9994000600457866]",0.9978502189054923,0.9967174861759256,"[0.9962181952452386, 0.9971886515115705]",130263,788,65,117667
attention_transformer_new,248783,0.9982999686474269,"[0.9978960643017568, 0.9985013924795505]",0.9979782880630979,0.987783286928368,"[0.9856517336041586, 0.9888118290351645]",128843,2208,893,116839
traditional_dedx_likelihood,248783,0.9968660277793356,"[0.9962177920574048, 0.9975178262358323]",0.993440023616448,0.9924338993867057,"[0.991144105943927, 0.9935384473675453]",129669,1382,540,117192
1d_cnn,248783,0.9944464943793622,"[0.9922053480909617, 0.9953470811064846]",0.9927393977524069,0.9851487988466965,"[0.9818334573233116, 0.9872584310609267]",128492,2559,1198,116534
