method,coverage,n_kept,positive_purity,positive_efficiency,balanced_accuracy
traditional_dedx_likelihood,1.0,248783,0.9883448310759526,0.9954133115890327,0.9924338993867057
traditional_dedx_likelihood,0.9000012058701761,223905,0.9931896533491255,0.7977270410763428,0.996621499423771
traditional_dedx_likelihood,0.800002411740352,199027,0.9935932349147198,0.5888203716916386,0.997202489475587
traditional_dedx_likelihood,0.7000036176105281,174149,0.9932590268971501,0.37921720517786156,0.9973550112062479
traditional_dedx_likelihood,0.6000008039134507,149270,0.9939285358813577,0.1696395202663677,0.9963436745204841
traditional_dedx_likelihood,0.5000020097836267,124392,0.0,0.0,0.5
ridge,1.0,248783,0.993347684774809,0.9994478986171984,0.9967174861759256
ridge,0.9000012058701761,223905,0.9983136063684928,0.8095420106682975,0.9993740085228157
ridge,0.800002411740352,199027,0.9986363509865583,0.6095878775524072,0.9996149584705207
ridge,0.7000036176105281,174149,0.9987419308268196,0.41132402405463253,0.9997574031800068
ridge,0.6000008039134507,149270,0.9984766220069529,0.21712023918730677,0.9998423707440101
ridge,0.5000020097836267,124392,0.9964998249912496,0.04836408113342167,0.9999157525821833
gradient_boosted_trees,1.0,248783,0.9973284255521254,0.9988193524275473,0.9982078540224131
gradient_boosted_trees,0.9000012058701761,223905,0.9996676602241217,0.817577209254918,0.9998746572659616
gradient_boosted_trees,0.800002411740352,199027,0.9996359002366648,0.6063177385927361,0.9998981542414842
gradient_boosted_trees,0.7000036176105281,174149,0.9995486879714599,0.3950497740631264,0.999917736741905
gradient_boosted_trees,0.6000008039134507,149270,0.9996305191206355,0.1838412666055108,0.9999686584238321
gradient_boosted_trees,0.5000020097836267,124392,0.0,0.0,0.5
mlp,1.0,248783,0.9965388824322834,0.9978000883362212,0.9973433982821578
mlp,0.9000012058701761,223905,0.999335181188696,0.8299018108925356,0.9989655241374796
mlp,0.800002411740352,199027,0.9993817823084512,0.6453470594230966,0.9988957351493344
mlp,0.7000036176105281,174149,0.999528763548048,0.4684198009037475,0.9987869722311374
mlp,0.6000008039134507,149270,0.9994081550010903,0.2725172425508783,0.9982104632594073
mlp,0.5000020097836267,124392,0.9993892508143323,0.08339279040532735,0.9947827835180574
1d_cnn,1.0,248783,0.9785125910003106,0.9898243468215948,0.9851487988466965
1d_cnn,0.9000012058701761,223905,0.9915727191279677,0.9024649203275236,0.9909192857727993
1d_cnn,0.800002411740352,199027,0.9927382008079614,0.8557826249447898,0.9912929673106259
1d_cnn,0.7000036176105281,174149,0.9947455696961222,0.8458193184520776,0.9952342915963224
1d_cnn,0.6000008039134507,149270,0.9956769453745814,0.6768762953147828,0.9960664684150625
1d_cnn,0.5000020097836267,124392,0.9966799239149231,0.4895695307987633,0.9967767808221351
attention_transformer_new,1.0,248783,0.9814527035540584,0.9924149763870486,0.987783286928368
attention_transformer_new,0.9000012058701761,223905,0.9932304413041763,0.854907756599735,0.9959776109628253
attention_transformer_new,0.800002411740352,199027,0.996907346629639,0.8049638161247579,0.9984948305295966
attention_transformer_new,0.7000036176105281,174149,0.9993161828857082,0.7199402031733089,0.999657868005507
attention_transformer_new,0.6000008039134507,149270,0.9996988541400027,0.5639333401284273,0.9998567431715424
attention_transformer_new,0.5000020097836267,124392,0.9999574268806676,0.39900791628444265,0.9999551531131659
range_gated_residual_mlp_new,1.0,248783,0.9971515285101477,0.9990656745829511,0.9982508936206909
range_gated_residual_mlp_new,0.9000012058701761,223905,0.9996642730579129,0.9104916250467163,0.9998457728920154
range_gated_residual_mlp_new,0.800002411740352,199027,0.9997243164846756,0.7084395066761798,0.9999005370996619
range_gated_residual_mlp_new,0.7000036176105281,174149,0.999764962645849,0.5058182991879863,0.9999389169095447
range_gated_residual_mlp_new,0.6000008039134507,149270,0.9997815699658703,0.31101994360072027,0.9999644927343257
range_gated_residual_mlp_new,0.5000020097836267,124392,0.9996696617336153,0.12852070804878876,0.9999771190086124
