stave,stave_idx,center_cm,residual_energy_mev,dedx_mev_cm,expected_edep_mev
B2,0,2.0,180.19172013828867,4.9892671371159905,4.966688925573976
B4,1,6.0,159.41081184246895,5.419429315170005,5.434257291291544
B6,2,10.0,136.53921721356824,6.040426578559254,6.085493026980004
B8,3,14.0,110.64413953192192,7.0253139747330575,7.021139651248447
