run_class,residual_bin_low_ns,residual_bin_high_ns,count,fraction_within_class
run63,-5.0,-4.5,0,0.0
run63,-4.5,-4.0,0,0.0
run63,-4.0,-3.5,0,0.0
run63,-3.5,-3.0,0,0.0
run63,-3.0,-2.5,2,0.07142857142857142
run63,-2.5,-2.0,2,0.07142857142857142
run63,-2.0,-1.5,1,0.03571428571428571
run63,-1.5,-1.0,4,0.14285714285714285
run63,-1.0,-0.5,1,0.03571428571428571
run63,-0.5,0.0,1,0.03571428571428571
run63,0.0,0.5,6,0.21428571428571427
run63,0.5,1.0,4,0.14285714285714285
run63,1.0,1.5,1,0.03571428571428571
run63,1.5,2.0,1,0.03571428571428571
run63,2.0,2.5,3,0.10714285714285714
run63,2.5,3.0,2,0.07142857142857142
run63,3.0,3.5,0,0.0
run63,3.5,4.0,0,0.0
run63,4.0,4.5,0,0.0
run63,4.5,5.0,0,0.0
non_run63,-5.0,-4.5,1,0.010101010101010102
non_run63,-4.5,-4.0,1,0.010101010101010102
non_run63,-4.0,-3.5,0,0.0
non_run63,-3.5,-3.0,2,0.020202020202020204
non_run63,-3.0,-2.5,4,0.04040404040404041
non_run63,-2.5,-2.0,8,0.08080808080808081
non_run63,-2.0,-1.5,4,0.04040404040404041
non_run63,-1.5,-1.0,11,0.1111111111111111
non_run63,-1.0,-0.5,10,0.10101010101010101
non_run63,-0.5,0.0,11,0.1111111111111111
non_run63,0.0,0.5,10,0.10101010101010101
non_run63,0.5,1.0,9,0.09090909090909091
non_run63,1.0,1.5,13,0.13131313131313133
non_run63,1.5,2.0,3,0.030303030303030304
non_run63,2.0,2.5,4,0.04040404040404041
non_run63,2.5,3.0,5,0.050505050505050504
non_run63,3.0,3.5,0,0.0
non_run63,3.5,4.0,2,0.020202020202020204
non_run63,4.0,4.5,0,0.0
non_run63,4.5,5.0,1,0.010101010101010102
