pool,run,n_pairs,traditional_sigma68_ns,ridge_sigma68_ns,gradient_boosted_trees_sigma68_ns,mlp_sigma68_ns,cnn_1d_sigma68_ns,composition_gated_cnn_sigma68_ns
run64_only,58,25,1.1794444569445703,1.3539888380847285,1.3539888380847285,1.3539888380847285,1.3539888380847285,1.3539888380847285
run64_only,59,11,2.2422312446484285,1.316339687311149,1.316339687311149,1.316339687311149,1.316339687311149,1.316339687311149
run64_only,60,11,1.1044027464664716,1.1881969106931447,1.1881969106931447,1.1881969106931447,1.1881969106931447,1.1881969106931447
run64_only,61,18,1.8566704442327469,1.8448744022734322,1.8448744022734322,1.8448744022734322,1.8448744022734322,1.8448744022734322
run64_only,62,7,0.825696988710227,2.1457655400953177,2.1457655400953177,2.1457655400953177,2.1457655400953177,2.1457655400953177
run64_only,63,28,1.8243369124501525,1.5361600330053156,1.5361600330053156,1.5361600330053156,1.5361600330053156,1.5361600330053156
run64_only,65,27,1.9330927938960922,1.3479026525387505,1.3479026525387505,1.3479026525387505,1.3479026525387505,1.3479026525387505
sample_iii_early,58,25,1.1611814752612162,1.2554271064787157,1.080407600183329,1.2672730964554408,0.9047897967837006,1.3215539762572095
sample_iii_early,59,11,0.9555307057402467,0.8551267236844298,0.5271407087187135,1.1790923907392852,1.7894250437880397,1.4833715807677947
sample_iii_early,60,11,0.9788191347468043,1.020045624994676,0.676204718121088,0.9184262501631351,1.376516504173762,0.5891522247705211
sample_iii_early,61,18,1.4954316598627697,1.5970931665700105,1.748364030526233,1.893531142164377,1.8555994475763793,1.9910840068478366
sample_iii_early,62,7,1.1028633207504355,1.3700954391371627,1.691202278763107,2.0010049675474875,6.964149327699053,6.255775973274711
sample_iii_early,63,28,1.3093568484157132,1.4413386791668428,1.3816821309830076,1.369316386682629,1.6342717159690991,1.3711106955318022
sample_iii_early,65,27,1.69348919899419,1.4617926083593207,1.6376077548489576,1.551282198521561,1.2556791903067706,1.7456106125415731
sample_iii_late,58,25,1.1064161548303832,1.7369117634655622,1.0984843717837838,1.198579320018113,1.308319917981413,1.4530573222242156
sample_iii_late,59,11,0.95840912178938,2.053978080111718,0.6137985960641922,3.581738268128106,1.2521275793008912,2.711850965787984
sample_iii_late,60,11,1.0081695446024619,1.3405037917679237,0.8212113955332657,0.8234480122078627,0.9815983540653374,1.0138717990413841
sample_iii_late,61,18,1.5707670190220435,2.4377077695724902,1.6190086855836583,3.369042638878095,1.9135674902995738,3.0310306687242976
sample_iii_late,62,7,1.0489121970544644,3.179545826251136,2.7558635644630254,4.257516774816393,2.5888919749383166,3.6083853815519946
sample_iii_late,63,28,1.294005005350913,1.7390841421287435,1.3262378268700914,1.486318283326092,1.703003582332282,1.3609214723092418
sample_iii_late,65,27,1.6456515243389593,1.95480281105481,1.512586896136738,2.881288235544421,1.5078974599284534,2.3791165630967934
sample_iii_mixed,58,25,1.1468178784417298,1.6824181120119417,1.0789315433679776,1.5809440676666542,0.9693831433452466,0.7248789517927379
sample_iii_mixed,59,11,0.9538411450525133,1.2910059268651812,0.7272127156532138,2.8012756597752624,2.0364918410059083,1.4332425081085531
sample_iii_mixed,60,11,1.0192507666452122,1.2556847744405832,0.7983620182910989,1.066752900082037,1.1030570561297786,0.5089276486091698
sample_iii_mixed,61,18,1.5188085799395754,2.0684042488886654,1.4900985110372773,3.0402700241646823,1.5688961939646737,1.2685327316161203
sample_iii_mixed,62,7,1.0484438694927916,2.358394240614416,1.4312125638198978,3.5062939381436182,0.8946897908572277,0.8460520521237633
sample_iii_mixed,63,28,1.2891743799108255,1.6785605603058547,1.2344641269547612,1.489532175729015,1.2197779020053683,1.2004388288147458
sample_iii_mixed,65,27,1.6390559224862116,1.4661907196334811,1.430756474958287,2.272356378603809,1.1982647130649289,1.1515729785921802
