method,n_pairs,median_ns,robust_width_ns,full_rms_ns,tail_fraction_abs_gt_5ns,within_abs_2ns,core_sigma_ns,core_sigma_err_ns,core_mean_ns,chi2_ndf,fit_window_ns,pool,sigma68_ci_low_ns,sigma68_ci_high_ns
traditional,127,-0.5260384564236205,1.7936260637771233,1.7370391554518416,0.0,0.7086614173228346,1.9921764037756304,0.5288116611505606,-0.08294302013644377,1.5356428333968881,2.5,run64_only,1.3663100235441585,2.0732866789433757
ridge,127,0.05585501996958531,1.6623775253029547,1.5801504011084586,0.0,0.7716535433070866,1.5836290746145294,0.2537313579415588,-0.12067955284332224,0.6682248028663659,2.5,run64_only,1.4135609876469346,1.957902278333974
gradient_boosted_trees,127,0.05585501996958531,1.6623775253029547,1.5801504011084586,0.0,0.7716535433070866,1.5836290746145294,0.2537313579415588,-0.12067955284332224,0.6682248028663659,2.5,run64_only,1.404274525185182,1.9685399175228266
mlp,127,0.05585501996958531,1.6623775253029547,1.5801504011084586,0.0,0.7716535433070866,1.5836290746145294,0.2537313579415588,-0.12067955284332224,0.6682248028663659,2.5,run64_only,1.4135742958249893,1.9318215711078357
cnn_1d,127,0.05585501996958531,1.6623775253029547,1.5801504011084586,0.0,0.7716535433070866,1.5836290746145294,0.2537313579415588,-0.12067955284332224,0.6682248028663659,2.5,run64_only,1.411278992846311,1.9412585392725208
composition_gated_cnn,127,0.05585501996958531,1.6623775253029547,1.5801504011084586,0.0,0.7716535433070866,1.5836290746145294,0.2537313579415588,-0.12067955284332224,0.6682248028663659,2.5,run64_only,1.3989876456293753,1.9609997903366307
traditional,127,0.06296879264721156,1.5577453031744022,1.490313100691901,0.0,0.84251968503937,1.7820620691151132,0.38482828270366,-0.27351654854649227,1.028143535874907,2.5,sample_iii_early,1.2364838768981663,1.6825819207874126
ridge,127,0.26470164711849353,1.4651454487542614,1.4626346079537056,0.0,0.84251968503937,1.776279846294197,0.3526410096680453,-0.1690740189369698,0.7929073681535399,2.5,sample_iii_early,1.283484470046134,1.6354631840030889
gradient_boosted_trees,127,-0.546223549999751,1.5277508462320253,1.5945973268504208,0.007874015748031496,0.8188976377952756,1.9558567886279425,0.5769446706500148,0.12653803902168245,1.781550479054841,2.5,sample_iii_early,1.2566667484300127,1.7225954873013762
mlp,127,0.06424227152755702,1.5119909942240626,1.5872721892750805,0.007874015748031496,0.8031496062992126,2.5514708620834754,1.042967242576519,0.09142603371619737,2.0052204732515446,2.5,sample_iii_early,1.3822567326820527,1.8271802150783105
cnn_1d,127,-0.8622724213160637,1.6561836226848832,2.695814852733261,0.07086614173228346,0.7480314960629921,1.824338163768732,0.4672263326034888,-0.15929401019394548,1.2500748020918406,2.5,sample_iii_early,1.2414343965230572,1.9697907028378576
composition_gated_cnn,127,-0.18095873844534083,1.6430493202657739,3.040711655554976,0.03937007874015748,0.7795275590551181,1.666691254307836,0.3060507542305516,0.01792736395198882,1.244074432145336,2.5,sample_iii_early,1.3661136145413082,2.235149393361548
traditional,127,-0.03243820851864854,1.456624277722887,1.4720366872656505,0.0,0.84251968503937,2.037470731479423,0.6010953778214176,-0.18659652258183215,1.8483466555955372,2.5,sample_iii_late,1.273813381018061,1.6522297311537382
ridge,127,1.0198986420993368,2.2745612277470055,2.212018905734372,0.023622047244094488,0.6062992125984252,6.358039584068288,16.01269063667692,-1.124410535614599,0.7884550053355803,2.5,sample_iii_late,1.9082784208170793,2.839242180097731
gradient_boosted_trees,127,-0.44763321776094855,1.4509884170343739,6.8526559869748285,0.015748031496062992,0.8267716535433071,1.4283341563529401,0.20793990509274138,0.12398742465465609,1.0949169092634263,2.5,sample_iii_late,1.1844650379402797,1.655169024886101
mlp,127,0.2566935686284548,2.695562034269199,3.169576749028203,0.13385826771653545,0.6692913385826772,1.9630573415585144,0.5078644061899936,-0.41221427492820245,1.3957810512556192,2.5,sample_iii_late,1.5524042191009144,3.7654701650384874
cnn_1d,127,0.29101962935688164,1.7660100622542068,1.7681991325954904,0.007874015748031496,0.7322834645669292,2.1039084235983885,0.6496536855019857,-0.13611474378638236,1.2335486349429103,2.5,sample_iii_late,1.5418838296600488,2.0463702856921175
composition_gated_cnn,127,0.11980919326491346,2.6864588187801592,2.7135709298714974,0.09448818897637795,0.6614173228346457,2.2995065757509567,0.8854193810460741,-0.6817248744245094,0.8775604302497638,2.5,sample_iii_late,1.605062968386886,3.2176117052033946
traditional,127,0.035379553577293166,1.4921094019259467,1.476962066204108,0.0,0.8503937007874016,1.6829194724736605,0.33717264679829667,0.14586604642198495,1.0460414540403227,2.5,sample_iii_mixed,1.2368662217362165,1.6589635878011602
ridge,127,0.686097948421919,1.8636634425445946,1.780947420385955,0.0,0.7165354330708661,2.4178805011087494,0.9314021967783825,-0.10817303369212518,1.8653377214252906,2.5,sample_iii_mixed,1.5840953790096985,2.2646833037861525
gradient_boosted_trees,127,-0.4535712447873528,1.3702898462484696,1.3866585467156292,0.0,0.8582677165354331,1.4754758526115639,0.2220596181135372,-0.016201663784215857,0.7595823002613455,2.5,sample_iii_mixed,1.1634784941236667,1.5645118669287739
mlp,127,0.8019439813185327,2.723083643414894,2.6732576986885013,0.07086614173228346,0.6220472440944882,2.8940433240563124,1.583990144053128,-0.7186009812424687,0.8229246488689537,2.5,sample_iii_mixed,1.7300274222103513,3.3552177188475483
cnn_1d,127,-1.874482034387043,1.3281340160546207,1.6962926680460786,0.031496062992125984,0.8110236220472441,1.3562702190135216,0.2066500255148857,0.21649841993389302,1.2473793937479785,2.5,sample_iii_mixed,1.1758659217198961,1.868549405688098
composition_gated_cnn,127,0.48920788588347364,1.1456665711016367,1.5572787790099862,0.015748031496062992,0.889763779527559,1.0520125756389291,0.1276020794322955,-0.07811225330154702,1.388235108476698,2.5,sample_iii_mixed,0.8789521484311358,1.4220074827698057
