axis,axis_label,level,method,n,bias_ns,sigma68_ns,shape_residual_proxy_median,tail_fraction_abs_gt_5ns
energy_bin,energy transfer,q1_low,traditional_cfd_template_derivative,1408,-0.09627444890085174,1.042894724287807,0.21994150482275426,0.0
energy_bin,energy transfer,q1_low,gradient_boosted_trees,1408,-0.887789315747741,3.5260604769273973,0.21994150482275426,0.16974431818181818
energy_bin,energy transfer,q1_low,ridge,1408,-0.01490622919015825,3.9521693568582172,0.21994150482275426,0.21235795454545456
energy_bin,energy transfer,q1_low,mlp,1408,-1.502390500762933,4.0490864993094835,0.21994150482275426,0.24076704545454544
energy_bin,energy transfer,q1_low,derivative_gate_transformer_new,1408,-1.5972919639246221,4.723731010281269,0.21994150482275426,0.35014204545454547
energy_bin,energy transfer,q1_low,compact_waveform_transformer,1408,-0.18636758231205336,5.6796866844076845,0.21994150482275426,0.38423295454545453
energy_bin,energy transfer,q1_low,1d_cnn,1408,-0.43324476634865755,7.0329778134437575,0.21994150482275426,0.43394886363636365
energy_bin,energy transfer,q2,traditional_cfd_template_derivative,1508,0.25593242980436204,0.833952400519914,0.14923033171297462,0.0
energy_bin,energy transfer,q2,gradient_boosted_trees,1508,-0.6890889888046559,3.493991438332248,0.14923033171297462,0.14257294429708223
energy_bin,energy transfer,q2,ridge,1508,-0.4304708194120849,3.8587246716651817,0.14923033171297462,0.21087533156498675
energy_bin,energy transfer,q2,derivative_gate_transformer_new,1508,-0.9545373775881121,4.232836921087053,0.14923033171297462,0.25596816976127323
energy_bin,energy transfer,q2,mlp,1508,-1.3730003829194168,4.3594490899557545,0.14923033171297462,0.2460212201591512
energy_bin,energy transfer,q2,1d_cnn,1508,0.24614928847382875,4.540295500177832,0.14923033171297462,0.28713527851458887
energy_bin,energy transfer,q2,compact_waveform_transformer,1508,1.1718377334832164,5.536457177200935,0.14923033171297462,0.39721485411140584
energy_bin,energy transfer,q3,traditional_cfd_template_derivative,1472,0.2927624751763662,0.9223929283803883,0.08236743622141823,0.0
energy_bin,energy transfer,q3,gradient_boosted_trees,1472,-0.5548477745533047,3.597596902776448,0.08236743622141823,0.16576086956521738
energy_bin,energy transfer,q3,ridge,1472,-0.8141995850671044,4.0922020576126,0.08236743622141823,0.24320652173913043
energy_bin,energy transfer,q3,mlp,1472,-0.9286749378291344,4.299107848525921,0.08236743622141823,0.24456521739130435
