method,covariate,pearson_corr_with_error
compact_waveform_transformer,pedestal_memory_index,-0.19482238184260736
mlp,pedestal_memory_index,-0.13381327518022298
derivative_gate_transformer_new,pedestal_memory_index,-0.09639348188587928
ridge,pedestal_memory_index,-0.045821435149826194
traditional_cfd_template_derivative,pedestal_memory_index,-0.039990932147887064
gradient_boosted_trees,pedestal_memory_index,-0.038443964839798644
1d_cnn,pedestal_memory_index,0.07330921355816171
mlp,shape_residual_proxy,-0.053243498919880845
compact_waveform_transformer,shape_residual_proxy,-0.050051524480376204
gradient_boosted_trees,shape_residual_proxy,-0.022286928821525703
1d_cnn,shape_residual_proxy,-0.016688192349941122
derivative_gate_transformer_new,shape_residual_proxy,-0.003093102759031971
ridge,shape_residual_proxy,0.02192654753405689
traditional_cfd_template_derivative,shape_residual_proxy,0.028494860212948444
traditional_cfd_template_derivative,slew_hysteresis_index,-0.12457776455327853
derivative_gate_transformer_new,slew_hysteresis_index,0.018404842894653994
mlp,slew_hysteresis_index,0.0382328746778723
ridge,slew_hysteresis_index,0.04185221127450614
1d_cnn,slew_hysteresis_index,0.04741315333106361
gradient_boosted_trees,slew_hysteresis_index,0.0529132642750657
compact_waveform_transformer,slew_hysteresis_index,0.10623267332112696
