method,run_family,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns
traditional_cfd_template_derivative,sample_i_analysis,1350,-0.12123338550246715,0.9142274842309606,0.9109201328359047,0.0,0.0
gradient_boosted_trees,sample_i_analysis,1350,1.090031393542949,3.0124628935234945,8.157554605081744,0.24666666666666667,0.1437037037037037
mlp,sample_i_analysis,1350,0.5650229088587579,4.504472516627009,8.372381891819014,0.29333333333333333,0.15555555555555556
ridge,sample_i_analysis,1350,0.9765474865860053,4.87413480979368,8.42973581989219,0.3111111111111111,0.1385185185185185
derivative_gate_transformer_new,sample_i_analysis,1350,0.3511700142643095,5.868340701265095,9.223777316240373,0.36518518518518517,0.16148148148148148
1d_cnn,sample_i_analysis,1350,0.6680637222233763,6.7530972257584,9.651565701721214,0.4311111111111111,0.21037037037037037
compact_waveform_transformer,sample_i_analysis,1350,0.25180815777312215,7.678593531189299,9.359460330859243,0.4451851851851852,0.2051851851851852
traditional_cfd_template_derivative,sample_i_calib,657,0.1552075145684508,1.1972735304766968,1.0753210437909122,0.0,0.0
gradient_boosted_trees,sample_i_calib,657,1.5589872742270847,4.3005698738776506,4.299705365637211,0.2191780821917808,0.0273972602739726
mlp,sample_i_calib,657,1.231461986573848,5.074067405729975,4.991799266804065,0.350076103500761,0.0350076103500761
ridge,sample_i_calib,657,1.5682285819136157,5.261627655882345,4.951458306967082,0.3911719939117199,0.0197869101978691
derivative_gate_transformer_new,sample_i_calib,657,1.1822581881395775,5.974400573886739,7.358531214597249,0.4079147640791476,0.0624048706240487
compact_waveform_transformer,sample_i_calib,657,0.4944591412441959,6.326361648894926,7.273716578563743,0.4398782343987823,0.1491628614916286
1d_cnn,sample_i_calib,657,1.628341242724261,6.74051198468532,8.440436824902413,0.4794520547945205,0.1567732115677321
traditional_cfd_template_derivative,sample_ii_analysis,2739,0.2608428452975255,0.8361522800853144,0.7901606300796759,0.0,0.0
gradient_boosted_trees,sample_ii_analysis,2739,-1.621463027725715,3.231854533081748,3.350067022209868,0.14457831325301204,0.004016064257028112
ridge,sample_ii_analysis,2739,-0.965327521146218,3.491717719002239,3.5649760881833688,0.16100766703176342,0.014603870025556773
mlp,sample_ii_analysis,2739,-2.0987763575187253,3.821378595841168,3.879695713516401,0.2227090178897408,0.014968966776195691
derivative_gate_transformer_new,sample_ii_analysis,2739,-1.919116847229887,4.252090574120208,4.877957002949809,0.280759401241329,0.045637093829864916
1d_cnn,sample_ii_analysis,2739,0.1777026506891648,4.777322026879876,6.28579304962809,0.294267981014969,0.08214676889375684
compact_waveform_transformer,sample_ii_analysis,2739,-0.82704260654112,6.087516368210723,6.143484005077673,0.41767068273092367,0.0832420591456736
traditional_cfd_template_derivative,sample_ii_calib,720,0.8967214628119753,0.9016012982966013,0.9198783346737874,0.0,0.0
gradient_boosted_trees,sample_ii_calib,720,-1.777234564402626,2.013735531741416,2.2307592279798785,0.04861111111111111,0.0
ridge,sample_ii_calib,720,-1.8462701001251904,3.02430505794751,3.0371400251880187,0.12916666666666668,0.004166666666666667
mlp,sample_ii_calib,720,-2.047448347122314,3.070023446757115,3.1133814962531288,0.14305555555555555,0.002777777777777778
derivative_gate_transformer_new,sample_ii_calib,720,-2.492067505034038,3.816385387858586,5.028876131018304,0.27361111111111114,0.02638888888888889
1d_cnn,sample_ii_calib,720,-0.5589433001708075,4.257971383249094,5.373431620793876,0.2513888888888889,0.06944444444444445
compact_waveform_transformer,sample_ii_calib,720,-0.6832319478603308,5.495791837367738,6.298696056489738,0.36527777777777776,0.06388888888888888
