stave,n_train_pulses,template_cfd20_sample,template_peak_sample,template_area
B2,880,2.6771875144270005,5,9.10803164022767
B4,854,3.0090004898418896,6,10.817921971238787
B6,821,3.762027867458375,8,9.825404862688329
B8,485,4.243224975808163,8,9.250838692438856
