comparison,pool,method,ci_low_ns,ci_high_ns,p_value
ml_minus_traditional,run64_only,ml_minus_traditional,-0.5501697131307232,0.22512785968125978,0.33
ml_minus_traditional,sample_iii_only,ml_minus_traditional,0.06332569636311484,0.8497794745610493,0.01
ml_minus_traditional,mixed_period,ml_minus_traditional,0.04212199649248837,0.8060944152302353,0.02
ml_minus_traditional,sample_iv_leave_one,ml_minus_traditional,-0.4427872948693543,-0.13252301414857204,0.006
sample_iii_only_minus_run64_only,sample_iii_only,traditional,-0.5605195823206557,0.08847362410142166,0.128
sample_iii_only_minus_run64_only,sample_iii_only,ml,0.046295223310963855,0.6921878949106206,0.016
mixed_period_minus_run64_only,mixed_period,traditional,-0.5425324285625522,0.08815093474292979,0.12
mixed_period_minus_run64_only,mixed_period,ml,0.020163840456765225,0.6502165431622675,0.032
sample_iv_leave_one_minus_run64_only,sample_iv_leave_one,traditional,-0.46678431055965247,0.1909231171082654,0.318
sample_iv_leave_one_minus_run64_only,sample_iv_leave_one,ml,-0.4807294623307612,-0.04951998862541651,0.018
