run,events_in_positive_support,target_pair_efficiency,threshold_adc,selected_pairs,achieved_efficiency
31,39968,0.006091497940569924,1149.5411018092418,244,0.0061048839071257
32,41879,0.006091497940569924,1259.0,257,0.006136727237995176
33,57129,0.006091497940569924,68.5,362,0.006336536610127956
34,39664,0.006091497940569924,69.5,243,0.006126462283178701
35,27740,0.006091497940569924,1625.5139693132642,169,0.0060922855082912765
36,21739,0.006091497940569924,1604.6641421431268,133,0.006118036708220249
37,50479,0.006091497940569924,1702.0267339118145,308,0.00610154717803443
39,30308,0.006091497940569924,1738.1924859575738,185,0.006103998944173156
40,32615,0.006091497940569924,1721.9956584987558,199,0.006101487045837805
41,33988,0.006091497940569924,1676.9682594938495,208,0.006119806990702601
42,33943,0.006091497940569924,1668.242376901173,207,0.006098459181569101
44,4296,0.006091497940569924,1738.914359595541,27,0.006284916201117319
45,48168,0.006091497940569924,1661.295409348284,294,0.006103637269556552
46,1444,0.006091497940569924,889.2986183044648,9,0.006232686980609419
47,10976,0.006091497940569924,1519.2393858690857,67,0.006104227405247813
48,31650,0.006091497940569924,1808.0,194,0.00612954186413902
49,32301,0.006091497940569924,1738.4676991175438,197,0.006098882387542181
50,44787,0.006091497940569924,75.59308661681644,273,0.006095518788934289
51,20543,0.006091497940569924,73.0,127,0.006182154505184247
52,10002,0.006091497940569924,73.53946454818015,61,0.00609878024395121
53,39594,0.006091497940569924,73.5,249,0.006288831641157751
54,37362,0.006091497940569924,75.0,237,0.00634334350409507
55,24384,0.006091497940569924,76.5,151,0.00619258530183727
56,51787,0.006091497940569924,83.0,329,0.006352945719968332
57,31256,0.006091497940569924,1734.3051159337429,191,0.006110826721269516
58,34157,0.006091497940569924,78.0,214,0.0062651872237023155
59,42280,0.006091497940569924,76.5,262,0.00619678334910123
60,36061,0.006091497940569924,76.5,222,0.00615623526801808
61,36528,0.006091497940569924,76.0,225,0.006159658344283837
62,37567,0.006091497940569924,75.5,232,0.006175632869273565
63,37006,0.006091497940569924,79.0,234,0.00632329892449873
65,38401,0.006091497940569924,76.5,238,0.006197755266789927
