method,run,n_pairs,sigma68_ns,rms_ns,bias_ns,tail_abs_gt_0p5_ns,tail_abs_gt_1p0_ns
compact_pair_transformer,58,353,1.3195307259923084,8.471484196369738,0.36206016908082667,0.6487252124645893,0.4192634560906516
compact_pair_transformer,59,3753,1.0530849637787996,3.9495988219494187,-0.5303655672121594,0.636290967226219,0.37196909139355183
compact_pair_transformer,60,3700,1.066549775524722,4.817794601933986,-0.3719716291691285,0.6389189189189189,0.3464864864864865
compact_pair_transformer,61,4245,1.109976133674611,5.6425391447573,-0.45450868672812245,0.6487632508833923,0.3693757361601885
compact_pair_transformer,62,3833,1.143877606932056,4.062812209380183,-0.11589509685170055,0.6673623793373337,0.3947299765196974
compact_pair_transformer,63,1816,1.1293902110192804,5.278469493445686,-0.12520447344319882,0.6530837004405287,0.3733480176211454
compact_pair_transformer,65,398,1.129419269079511,1.4801704300807816,0.20323453713847797,0.6557788944723618,0.39949748743718594
gradient_boosted_trees,58,353,0.8612821559918125,8.450186272107096,0.857807278772078,0.5410764872521246,0.2776203966005666
gradient_boosted_trees,59,3753,0.6461363032625852,2.3957566967420645,-0.06910016708094995,0.4281907807087663,0.17132960298427924
gradient_boosted_trees,60,3700,0.6971826636584063,3.3144097100006102,0.07194840461043892,0.4375675675675676,0.2
gradient_boosted_trees,61,4245,0.7118910702227871,4.161639889688022,-0.06270044741636963,0.45606595995288574,0.20235571260306243
gradient_boosted_trees,62,3833,0.7371042660113163,2.3742102904714653,-0.028910162947868343,0.4782154969997391,0.21106183146360552
gradient_boosted_trees,63,1816,0.6990716668648587,2.3586126862148267,-0.07667466687653368,0.4658590308370044,0.20594713656387664
gradient_boosted_trees,65,398,0.7337177130040464,1.059671861486217,-0.1048564784853237,0.4949748743718593,0.2185929648241206
mlp,58,353,0.8289546666125802,6.8002766159495165,0.4674654378165646,0.5070821529745042,0.2577903682719547
mlp,59,3753,0.47061142401565526,1.8419953647771319,0.016606842606920323,0.2917665867306155,0.09192645883293366
mlp,60,3700,0.5970116816343028,1.9362400275734992,0.026913240553303325,0.3916216216216216,0.1483783783783784
mlp,61,4245,0.5098353557358201,2.5385722828214945,-0.02257202655721608,0.32555948174322735,0.12061248527679623
mlp,62,3833,0.725839609437744,1.6701476330457259,-0.03705598564490378,0.48552048004174275,0.2006261414036003
mlp,63,1816,0.8548533696860829,1.874237100384633,0.09620938776486995,0.5357929515418502,0.2593612334801762
mlp,65,398,0.8735897714171166,1.2304643838892562,-0.31264346008642735,0.5226130653266332,0.2864321608040201
one_dimensional_cnn,58,353,1.2870978581686872,8.513416041536477,0.4951255396756402,0.6912181303116147,0.40793201133144474
one_dimensional_cnn,59,3753,1.0849021634338767,4.659657903152713,-0.23323650172294316,0.6565414335198508,0.3613109512390088
one_dimensional_cnn,60,3700,1.1365949639131046,5.31800535424863,-0.25434247747042316,0.6567567567567567,0.37594594594594594
one_dimensional_cnn,61,4245,1.1201048807403358,6.36480452200685,-0.48738530166830285,0.6391048292108362,0.37196702002355714
one_dimensional_cnn,62,3833,1.0512589638478755,3.8200198034927557,-0.17081768494157956,0.6324028176363162,0.34463866423167233
one_dimensional_cnn,63,1816,1.124585826386538,5.6436532250545035,-0.3326348263636764,0.6508810572687225,0.3915198237885463
one_dimensional_cnn,65,398,1.2487483415584788,1.5043609218226244,-0.019472533159453277,0.678391959798995,0.4221105527638191
ridge,58,353,3.053066347306444,6.961028138146354,1.3561311067840158,0.8583569405099151,0.7082152974504249
ridge,59,3753,2.515385380521478,4.311093468776788,-0.05473273548297881,0.8430588862243539,0.6951771915800693
ridge,60,3700,2.509508005984079,5.132989593780726,0.2369325805110752,0.8389189189189189,0.6927027027027027
ridge,61,4245,2.402237957355414,5.613351656445725,-0.24294938456172058,0.8329799764428739,0.6704358068315666
ridge,62,3833,2.513248856306131,4.166483905026041,0.07492749883269802,0.8492042786329246,0.7028437255413514
ridge,63,1816,2.490558278863251,5.1332490165750295,-0.47300025289327935,0.8639867841409692,0.6993392070484582
ridge,65,398,2.47766083253546,2.9811079790553996,0.36347785624068,0.8743718592964824,0.7110552763819096
rise_tail_gated_cnn_new,58,353,1.3807265034951803,8.46053564194638,0.3601796445643833,0.6685552407932012,0.4475920679886686
rise_tail_gated_cnn_new,59,3753,1.1446848505869989,4.646318951866867,-0.2989853739856575,0.6637356781241673,0.3863575806021849
rise_tail_gated_cnn_new,60,3700,1.0945785235650578,5.444849732632676,-0.2662478348892567,0.6421621621621622,0.3659459459459459
rise_tail_gated_cnn_new,61,4245,1.1502379712838082,6.2908418082254824,-0.41103498518929066,0.6537102473498233,0.3872791519434629
rise_tail_gated_cnn_new,62,3833,1.161259561585625,4.267742111978099,-0.14039479469617824,0.6608400730498304,0.3923819462561962
rise_tail_gated_cnn_new,63,1816,1.1266264792850644,5.647133551172488,-0.3961621229850452,0.6580396475770925,0.3727973568281938
rise_tail_gated_cnn_new,65,398,1.2754780982993288,1.480133368016528,-0.0854191190279245,0.7185929648241206,0.45226130653266333
traditional_matched_filter_template,58,353,1.3465203574943951,9.371503215995657,0.117073149751681,0.7308781869688386,0.48441926345609065
traditional_matched_filter_template,59,3753,1.245736571465398,6.110487614277965,-0.406612181552085,0.6869171329602984,0.41779909405808685
traditional_matched_filter_template,60,3700,1.268416598008098,7.163915388107919,-0.5187666307124892,0.6935135135135135,0.42324324324324325
traditional_matched_filter_template,61,4245,1.2924041469796053,7.963416148363133,-0.3009506323844695,0.7031802120141343,0.45394581861012956
traditional_matched_filter_template,62,3833,1.2613457279422642,5.633631921260749,-0.356822676600498,0.6931907122358466,0.4302113227237151
traditional_matched_filter_template,63,1816,1.3222226189030963,7.358819172652436,-0.5808099144993062,0.698237885462555,0.4592511013215859
traditional_matched_filter_template,65,398,1.4811067855360796,1.686695144257711,-0.22556399605586536,0.7537688442211056,0.5402010050251256
uncorrected_cfd20,58,353,2.864202903475898,10.0326299057022,-2.8518437254246605,0.9235127478753541,0.8640226628895185
uncorrected_cfd20,59,3753,2.9570388804836014,7.055974343067872,-3.4727906462821534,0.9283240074606981,0.8590460964561684
uncorrected_cfd20,60,3700,2.96349057255378,8.023626816765645,-3.5130825803930184,0.917027027027027,0.8443243243243244
uncorrected_cfd20,61,4245,2.7525971855741864,8.44487279823446,-3.2693514599140054,0.912603062426384,0.8343934040047114
uncorrected_cfd20,62,3833,3.0085882251095954,6.7224911059547265,-3.321873486145581,0.9266892773284633,0.8528567701539265
uncorrected_cfd20,63,1816,3.185280197078103,8.543922403734667,-3.717688839181635,0.9322687224669604,0.8601321585903083
