stratum,value,method,n_pairs,sigma68_ns,rms_ns,bias_ns,tail_abs_gt_0p5_ns,tail_abs_gt_1p0_ns
pid_proxy,high_charge,compact_pair_transformer,9049,1.1628405987035135,4.829394214655267,-0.3042809241022869,0.6625041441043209,0.39186650458614214
pid_proxy,high_charge,gradient_boosted_trees,9049,0.6929386104659185,3.0621605424602096,-0.00598051216483342,0.44712122886506794,0.19781191291855454
pid_proxy,high_charge,mlp,9049,0.6179231066623151,2.0061742043460926,0.015295490179969116,0.397944524256824,0.15780749254061222
pid_proxy,high_charge,one_dimensional_cnn,9049,1.1429825085705845,5.462939773069262,-0.30011401294569756,0.6588573323019118,0.38855122112940654
pid_proxy,high_charge,ridge,9049,2.4599544007636833,4.941108593378141,-0.006625678872031752,0.8463918665045861,0.6973146204000442
pid_proxy,high_charge,rise_tail_gated_cnn_new,9049,1.1800691373719068,5.50004413007895,-0.27240639319485926,0.6668140125980772,0.40214388330202233
pid_proxy,high_charge,traditional_matched_filter_template,9049,1.2619118521053438,7.430859259188472,-0.27712255892513643,0.6903525251408995,0.4250193391534976
pid_proxy,high_charge,uncorrected_cfd20,9049,3.013103899064231,7.880243031067451,-3.3693784549739925,0.9386672560503924,0.8761189081666483
pid_proxy,low_charge,compact_pair_transformer,9049,1.0635023577198905,4.801290021092847,-0.33214840746724134,0.634876781964858,0.3534092164880097
pid_proxy,low_charge,gradient_boosted_trees,9049,0.7123379048921465,3.4581885742584966,-0.021455446276568958,0.46226102331749364,0.20112719637529008
pid_proxy,low_charge,mlp,9049,0.5964878975520334,2.386537218243544,0.00010400979290620907,0.39186650458614214,0.15725494529782297
pid_proxy,low_charge,one_dimensional_cnn,9049,1.066917056635404,5.022870298057497,-0.24990633703089538,0.6370869709360151,0.34854680075146427
pid_proxy,low_charge,ridge,9049,2.50473426888776,4.875534446296314,-0.027463660788821474,0.84208199801083,0.6857111283014697
pid_proxy,low_charge,rise_tail_gated_cnn_new,9049,1.1086313488875332,5.137468734419597,-0.2819609035274461,0.6473643496518953,0.3677754448005304
pid_proxy,low_charge,traditional_matched_filter_template,9049,1.3334064975988795,6.234116023598963,-0.5178699549638676,0.703392640070726,0.4513205879102663
pid_proxy,low_charge,uncorrected_cfd20,9049,2.9245205689088594,7.538305587164808,-3.4553679442985072,0.9066195159686153,0.8232953917559951
near_threshold_energy,above_threshold,compact_pair_transformer,16111,1.1111828217607727,4.251743732479703,-0.2994125519833029,0.6497424120166346,0.37080255725901556
near_threshold_energy,above_threshold,gradient_boosted_trees,16111,0.680382159049814,2.788900354124695,-0.022346061059234167,0.44466513562162496,0.18825647073428092
near_threshold_energy,above_threshold,mlp,16111,0.5931563074462143,1.9679784557110904,0.0038595494234769908,0.384395754453479,0.1487182670225312
near_threshold_energy,above_threshold,one_dimensional_cnn,16111,1.0955394169414074,4.734725534145452,-0.25337208521642934,0.6485010241449941,0.3650921730494693
near_threshold_energy,above_threshold,ridge,16111,2.385802001355729,4.476145467439302,-0.02239268027344197,0.8394264788033021,0.6810253863819751
near_threshold_energy,above_threshold,rise_tail_gated_cnn_new,16111,1.139080615531904,4.776873689099181,-0.24922422223384658,0.6564459065234932,0.38197504810378
near_threshold_energy,above_threshold,traditional_matched_filter_template,16111,1.284391989019729,6.264337016648411,-0.320676729108567,0.6933771957047979,0.43256160387313014
near_threshold_energy,above_threshold,uncorrected_cfd20,16111,2.9121645000804355,7.139903792093877,-3.4472370501358447,0.9334616100800696,0.8691577183290919
near_threshold_energy,near_threshold,compact_pair_transformer,1987,1.190181351088703,8.038894069582991,-0.4706660273626914,0.6401610468042275,0.3875188726723704
near_threshold_energy,near_threshold,gradient_boosted_trees,1987,0.9207758198473959,5.83956449907818,0.0562402626014452,0.5359838953195772,0.2903875188726724
near_threshold_energy,near_threshold,mlp,1987,0.7611466823668006,3.5867300338628323,0.03883687694660844,0.48012078510317063,0.22898842476094616
near_threshold_energy,near_threshold,one_dimensional_cnn,1987,1.1988221115218733,8.309096532284533,-0.45045620634941985,0.6436839456467036,0.3965777554101661
near_threshold_energy,near_threshold,ridge,1987,3.6579154935916787,7.5489198767512224,0.026318086207530202,0.883241066935078,0.7765475591343735
near_threshold_energy,near_threshold,rise_tail_gated_cnn_new,1987,1.216706665358564,8.54082182146815,-0.5038843601563356,0.6623049823855058,0.40915953699043783
near_threshold_energy,near_threshold,traditional_matched_filter_template,1987,1.4848910308507095,10.501283598712702,-1.0203646077068316,0.7252138902868647,0.4836436839456467
near_threshold_energy,near_threshold,uncorrected_cfd20,1987,3.034698915986529,11.324815430800578,-3.1296900112120043,0.8349270256668344,0.6919979869149472
