sigma68_ns,ci_low,ci_high,delta_vs_cfd20_ns,delta_ci_low,delta_ci_high,full_rms_ns,tail_abs_gt_2ns,tail_abs_gt_5ns,n_events,n_pair_residuals,heldout_run,method,timing_train_rows,timing_eval_rows
3.304723900556563,3.032000933334229,3.533328421004112,0.0,0.0,0.0,3.9307744540837968,0.6666666666666666,0.28431372549019607,68,204,42,CFD20,15666,204
1.726553862152101,1.5218176037818185,1.946942336529661,-1.5781700384044621,-1.9290210832056935,-1.2387132473521782,2.63170743448512,0.46568627450980393,0.058823529411764705,68,204,42,traditional_hand_shape_ridge,15666,204
1.6214276034831963,1.4394163049342672,1.9627959627166365,-1.683296297073367,-2.0263014956635783,-1.2145680920525792,2.4482199239362754,0.4068627450980392,0.058823529411764705,68,204,42,ridge_raw_waveform,15666,204
1.9501886480009558,1.5844293088146453,2.29875471510972,-1.3545352525556074,-1.8137735549592326,-0.932983992763665,2.9308072864030073,0.44607843137254904,0.07352941176470588,68,204,42,gradient_boosted_trees,15666,204
1.9452182412794221,1.6323642905727005,2.1888451241073597,-1.359505659277141,-1.7969200015962072,-0.9230621325694621,2.7922996695408635,0.46568627450980393,0.06862745098039216,68,204,42,mlp_waveform,15666,204
2.019709702672958,1.6987465510822382,2.2535538414592944,-1.2850141978836054,-1.6967230080512767,-0.9426122437654715,2.699758103125322,0.4950980392156863,0.04411764705882353,68,204,42,cnn_1d_waveform,15666,204
2.1169571728086516,1.832142010593518,2.466690314118628,-1.1877667277479116,-1.588606427658746,-0.778912516648707,2.9789404721132575,0.5,0.08823529411764706,68,204,42,atom_gated_cnn,15666,204
3.2647569361400595,2.8138846024789204,3.632493263804495,0.0,0.0,0.0,4.01342665699288,0.6979166666666666,0.234375,64,192,57,CFD20,15678,192
1.9646008136796997,1.7370815206502064,2.2227399812303514,-1.3001561224603597,-1.7996578677125576,-0.5791101550557292,2.651523527340993,0.5,0.057291666666666664,64,192,57,traditional_hand_shape_ridge,15678,192
1.9123606973886509,1.675413584887989,2.1364311015892796,-1.3523962387514086,-1.8550395060522893,-0.7993477781001315,2.5309657291917884,0.4739583333333333,0.036458333333333336,64,192,57,ridge_raw_waveform,15678,192
2.0435142742877392,1.8400686436477867,2.3419381624876032,-1.2212426618523202,-1.6645329603616146,-0.5711206213732097,2.740329651597415,0.46875,0.0625,64,192,57,gradient_boosted_trees,15678,192
1.9913885980844497,1.7563953380225883,2.3792845814228087,-1.2733683380556098,-1.7717732868111193,-0.5353451820639572,2.782282648919617,0.4635416666666667,0.06770833333333333,64,192,57,mlp_waveform,15678,192
1.910796354554593,1.7242895370863072,2.118616661668011,-1.3539605815854665,-1.8235772000071424,-0.8037409103136927,2.6056301463249487,0.46875,0.046875,64,192,57,cnn_1d_waveform,15678,192
2.211882914595307,1.7850598840978096,2.5273972611255022,-1.0528740215447523,-1.6698805178456653,-0.4459817074565442,2.8687593313347586,0.5208333333333334,0.07291666666666667,64,192,57,atom_gated_cnn,15678,192
3.1468037098479296,2.9682954251136717,3.3275042225232,0.0,0.0,0.0,6.883883817243844,0.6460317460317461,0.2492063492063492,210,630,64,CFD20,15240,630
1.9964438432455058,1.8206156697973614,2.1210634503787476,-1.1503598666024237,-1.4286649719266007,-0.922174092865364,5.706734362426283,0.4253968253968254,0.06031746031746032,210,630,64,traditional_hand_shape_ridge,15240,630
1.9711207415199297,1.8584770274740474,2.0850588902218745,-1.175682968328,-1.4137055513132497,-0.9312941864630294,5.798334140808961,0.41904761904761906,0.04126984126984127,210,630,64,ridge_raw_waveform,15240,630
1.743531151827929,1.5752269148760434,1.8817104616480587,-1.4032725580200005,-1.6902604464477717,-1.1835097874328795,5.0794377848462755,0.3412698412698413,0.03968253968253968,210,630,64,gradient_boosted_trees,15240,630
1.8997036898136133,1.7583758617924454,2.029118903039575,-1.2471000200343163,-1.4937426816778174,-0.9941092684903108,5.188364062247214,0.38412698412698415,0.05555555555555555,210,630,64,mlp_waveform,15240,630
1.9606344412100332,1.8335212804575562,2.0591927431084223,-1.1861692686378964,-1.4347714830607183,-0.9480790752686552,5.222248612583582,0.4507936507936508,0.03650793650793651,210,630,64,cnn_1d_waveform,15240,630
1.8892099134492895,1.7536485976664422,2.0218970157802105,-1.25759379639864,-1.5091334488444896,-1.0120110580376434,4.227622888718068,0.42698412698412697,0.044444444444444446,210,630,64,atom_gated_cnn,15240,630
2.9933860619640313,2.7041143591957675,3.4056250256376845,0.0,0.0,0.0,4.11882377956662,0.696969696969697,0.2878787878787879,66,198,65,CFD20,15672,198
1.9800318135619153,1.7431475305065505,2.157217011268307,-1.013354248402116,-1.5434419256751524,-0.6416006532905105,2.2642029333053175,0.3838383838383838,0.020202020202020204,66,198,65,traditional_hand_shape_ridge,15672,198
1.8769013314247125,1.576810831252217,2.085943983870746,-1.1164847305393188,-1.715130597080775,-0.7258051539316752,2.195810631131638,0.37373737373737376,0.010101010101010102,66,198,65,ridge_raw_waveform,15672,198
1.9890417392034698,1.677254700053469,2.246588571719849,-1.0043443227605615,-1.6242279889852083,-0.5848030985341325,2.4199583496514707,0.3888888888888889,0.03535353535353535,66,198,65,gradient_boosted_trees,15672,198
2.210332351922989,1.8245071403931994,2.466786137338727,-0.7830537100410422,-1.4852679286184285,-0.30472598170857473,2.8967561862714994,0.5050505050505051,0.07575757575757576,66,198,65,mlp_waveform,15672,198
1.9823051043701172,1.6657266602143639,2.212570799224436,-1.0110809575939141,-1.490089328473954,-0.6199241986000201,2.3166500499617095,0.3939393939393939,0.020202020202020204,66,198,65,cnn_1d_waveform,15672,198
2.1782563610947143,1.8829520259403627,2.48395007629618,-0.815129700869317,-1.4208939149903643,-0.29433338169589296,2.6736324384280357,0.4595959595959596,0.045454545454545456,66,198,65,atom_gated_cnn,15672,198
