event_id,pair,run,residual_ns,method,heldout_run
42:10191,B4-B6,42,-5.847747731447214,CFD20,42
42:1026,B4-B6,42,-6.105923909187311,CFD20,42
42:10657,B4-B6,42,-6.239844221115106,CFD20,42
42:10890,B4-B6,42,-5.145618427038194,CFD20,42
42:11263,B4-B6,42,-6.988074738025659,CFD20,42
42:1170,B4-B6,42,-6.820074278354646,CFD20,42
42:12097,B4-B6,42,-3.610932785511018,CFD20,42
42:12319,B4-B6,42,-6.2276514949798525,CFD20,42
42:12816,B4-B6,42,-5.701193022966386,CFD20,42
42:13119,B4-B6,42,-2.4008491220474255,CFD20,42
42:13761,B4-B6,42,-3.597063976764673,CFD20,42
42:14001,B4-B6,42,-5.6768601717948854,CFD20,42
42:14021,B4-B6,42,-2.012676406145097,CFD20,42
42:14905,B4-B6,42,-6.605734485626215,CFD20,42
42:1500,B4-B6,42,-6.562525569885963,CFD20,42
42:15033,B4-B6,42,-4.191916841506959,CFD20,42
42:15076,B4-B6,42,-4.127512383699418,CFD20,42
42:16086,B4-B6,42,-5.076389271259302,CFD20,42
42:16123,B4-B6,42,-4.634002703666681,CFD20,42
42:16305,B4-B6,42,-3.9017962994575512,CFD20,42
42:1719,B4-B6,42,-7.238155114889146,CFD20,42
42:17856,B4-B6,42,-3.1631224932670605,CFD20,42
42:1792,B4-B6,42,-4.698303896427156,CFD20,42
42:18142,B4-B6,42,-4.5533483805656445,CFD20,42
42:1927,B4-B6,42,-4.256683187983931,CFD20,42
42:19411,B4-B6,42,-5.954052876174451,CFD20,42
42:20372,B4-B6,42,-5.5337689402103365,CFD20,42
42:20511,B4-B6,42,-5.203695404767991,CFD20,42
42:20658,B4-B6,42,-3.85815914297104,CFD20,42
42:20903,B4-B6,42,-6.645520287990564,CFD20,42
42:21012,B4-B6,42,-3.9578872504234326,CFD20,42
42:21199,B4-B6,42,-4.636851209640504,CFD20,42
42:22230,B4-B6,42,-3.324276465415956,CFD20,42
42:22307,B4-B6,42,-2.3334481379305885,CFD20,42
42:22649,B4-B6,42,-5.83070929670334,CFD20,42
42:22925,B4-B6,42,-6.473128605127329,CFD20,42
42:2429,B4-B6,42,-4.089954118669027,CFD20,42
42:24344,B4-B6,42,-5.2798603060245455,CFD20,42
42:26038,B4-B6,42,-3.297176170587541,CFD20,42
42:26794,B4-B6,42,-1.3396551790237439,CFD20,42
42:26929,B4-B6,42,-1.6630649151802004,CFD20,42
42:27290,B4-B6,42,-3.9319403054714144,CFD20,42
42:28405,B4-B6,42,-5.859812158584589,CFD20,42
42:28810,B4-B6,42,-4.558151620864862,CFD20,42
42:28878,B4-B6,42,-6.301526320591563,CFD20,42
42:29338,B4-B6,42,-6.184634524822229,CFD20,42
42:29582,B4-B6,42,-2.3771830978393496,CFD20,42
42:29588,B4-B6,42,-1.5191217842102063,CFD20,42
42:30318,B4-B6,42,-2.90374341928959,CFD20,42
42:31268,B4-B6,42,-5.048156339168543,CFD20,42
42:31748,B4-B6,42,-4.342931169509889,CFD20,42
42:31887,B4-B6,42,-5.460565346717836,CFD20,42
42:32112,B4-B6,42,-3.7856858553886354,CFD20,42
42:32704,B4-B6,42,-5.482057440519327,CFD20,42
42:32936,B4-B6,42,-4.640254187822336,CFD20,42
42:33796,B4-B6,42,-6.175318467855455,CFD20,42
42:4436,B4-B6,42,-5.145932692527765,CFD20,42
42:4846,B4-B6,42,-5.227141562342638,CFD20,42
42:5183,B4-B6,42,-2.6133113684654248,CFD20,42
42:557,B4-B6,42,-5.8200287404060305,CFD20,42
42:5667,B4-B6,42,-3.9951280089616787,CFD20,42
42:6401,B4-B6,42,-6.193410414695741,CFD20,42
42:6851,B4-B6,42,-7.173470515251161,CFD20,42
42:7002,B4-B6,42,-2.81224157238006,CFD20,42
42:873,B4-B6,42,-6.427570390939707,CFD20,42
42:9021,B4-B6,42,-5.002105418086053,CFD20,42
42:9921,B4-B6,42,-1.1448177280426037,CFD20,42
42:9983,B4-B6,42,-3.774150866508478,CFD20,42
42:10191,B4-B8,42,-5.381807825446131,CFD20,42
42:1026,B4-B8,42,-6.897055721759784,CFD20,42
42:10657,B4-B8,42,-5.615794948220255,CFD20,42
42:10890,B4-B8,42,-5.958479410886767,CFD20,42
42:11263,B4-B8,42,-5.230502123862493,CFD20,42
42:1170,B4-B8,42,-5.31291446733475,CFD20,42
42:12097,B4-B8,42,-3.020573473453524,CFD20,42
42:12319,B4-B8,42,-4.109666115522373,CFD20,42
42:12816,B4-B8,42,-5.305148950695994,CFD20,42
42:13119,B4-B8,42,-2.0451082949638355,CFD20,42
42:13761,B4-B8,42,-2.5172483091354394,CFD20,42
42:14001,B4-B8,42,-5.806668615818026,CFD20,42
42:14021,B4-B8,42,-1.078879303216933,CFD20,42
42:14905,B4-B8,42,-4.874472088098528,CFD20,42
42:1500,B4-B8,42,-6.20671561072767,CFD20,42
42:15033,B4-B8,42,-3.4189870123863244,CFD20,42
42:15076,B4-B8,42,-6.656364864587786,CFD20,42
42:16086,B4-B8,42,-3.663961506366732,CFD20,42
42:16123,B4-B8,42,-4.098755634307864,CFD20,42
42:16305,B4-B8,42,-3.122897363185885,CFD20,42
42:1719,B4-B8,42,-4.33829299259186,CFD20,42
42:17856,B4-B8,42,-5.362058496952059,CFD20,42
42:1792,B4-B8,42,-2.885494447231295,CFD20,42
42:18142,B4-B8,42,-2.862801617860793,CFD20,42
42:1927,B4-B8,42,-3.4211575155258167,CFD20,42
42:19411,B4-B8,42,-7.177747554063799,CFD20,42
42:20372,B4-B8,42,-3.2458162968158746,CFD20,42
42:20511,B4-B8,42,-7.469339287757876,CFD20,42
42:20658,B4-B8,42,-3.404259300708773,CFD20,42
42:20903,B4-B8,42,-6.524592555046084,CFD20,42
42:21012,B4-B8,42,-2.1998041038513207,CFD20,42
42:21199,B4-B8,42,-3.6483658020496392,CFD20,42
42:22230,B4-B8,42,-2.535827076911925,CFD20,42
42:22307,B4-B8,42,-0.9841944419657835,CFD20,42
42:22649,B4-B8,42,-7.40453473377228,CFD20,42
42:22925,B4-B8,42,-3.5393906300067925,CFD20,42
42:2429,B4-B8,42,-3.9422376741766954,CFD20,42
42:24344,B4-B8,42,-5.69226256656647,CFD20,42
42:26038,B4-B8,42,-1.9104406152963627,CFD20,42
42:26794,B4-B8,42,-0.8607935075759876,CFD20,42
42:26929,B4-B8,42,-0.17137638378142128,CFD20,42
42:27290,B4-B8,42,-1.482734448194492,CFD20,42
42:28405,B4-B8,42,-3.890244244515884,CFD20,42
42:28810,B4-B8,42,-4.281574404716494,CFD20,42
