heldout_run,choices_json
42,"{""atom_gated_cnn"": {""channels"": 8, ""cv_mae_ns"": 1.5306399022534147}, ""cnn_1d_waveform"": {""channels"": 16, ""cv_mae_ns"": 1.5997063165748802}, ""gradient_boosted_trees"": {""cv_mae_ns"": 1.4969766790508319, ""l2_regularization"": 0.0, ""learning_rate"": 0.04, ""max_iter"": 90, ""max_leaf_nodes"": 15}, ""mlp_waveform"": {""alpha"": 0.0003, ""cv_mae_ns"": 1.5405579955007884, ""hidden_layer_sizes"": [64, 32]}, ""ridge_raw_waveform"": {""alpha"": 100.0, ""cv_mae_ns"": 1.5632512920345167}, ""traditional_hand_shape_ridge"": {""alpha"": 100.0, ""cv_mae_ns"": 1.660351631942685}}"
57,"{""atom_gated_cnn"": {""channels"": 16, ""cv_mae_ns"": 1.5535103746832302}, ""cnn_1d_waveform"": {""channels"": 8, ""cv_mae_ns"": 1.592399045154725}, ""gradient_boosted_trees"": {""cv_mae_ns"": 1.5105431775210716, ""l2_regularization"": 0.0, ""learning_rate"": 0.04, ""max_iter"": 90, ""max_leaf_nodes"": 15}, ""mlp_waveform"": {""alpha"": 0.0003, ""cv_mae_ns"": 1.585340517778982, ""hidden_layer_sizes"": [64, 32]}, ""ridge_raw_waveform"": {""alpha"": 100.0, ""cv_mae_ns"": 1.5623460450143278}, ""traditional_hand_shape_ridge"": {""alpha"": 100.0, ""cv_mae_ns"": 1.6586585517638917}}"
64,"{""atom_gated_cnn"": {""channels"": 8, ""cv_mae_ns"": 1.5459300260231696}, ""cnn_1d_waveform"": {""channels"": 8, ""cv_mae_ns"": 1.593575249287972}, ""gradient_boosted_trees"": {""cv_mae_ns"": 1.472795567162495, ""l2_regularization"": 0.0, ""learning_rate"": 0.04, ""max_iter"": 90, ""max_leaf_nodes"": 15}, ""mlp_waveform"": {""alpha"": 0.0003, ""cv_mae_ns"": 1.4911207202307546, ""hidden_layer_sizes"": [64, 32]}, ""ridge_raw_waveform"": {""alpha"": 100.0, ""cv_mae_ns"": 1.5533298872518608}, ""traditional_hand_shape_ridge"": {""alpha"": 100.0, ""cv_mae_ns"": 1.660765065255258}}"
65,"{""atom_gated_cnn"": {""channels"": 16, ""cv_mae_ns"": 1.5322998701649544}, ""cnn_1d_waveform"": {""channels"": 8, ""cv_mae_ns"": 1.5969807813213128}, ""gradient_boosted_trees"": {""cv_mae_ns"": 1.475804370828491, ""l2_regularization"": 0.0, ""learning_rate"": 0.04, ""max_iter"": 90, ""max_leaf_nodes"": 15}, ""mlp_waveform"": {""alpha"": 0.0001, ""cv_mae_ns"": 1.5512372605834512, ""hidden_layer_sizes"": [32]}, ""ridge_raw_waveform"": {""alpha"": 100.0, ""cv_mae_ns"": 1.5641674321067927}, ""traditional_hand_shape_ridge"": {""alpha"": 100.0, ""cv_mae_ns"": 1.6594400217589271}}"
