atom,folds,pooled_weighted_sigma68_ns,control_gain_ns,control_gain_fraction_of_nominal,median_fold_sigma68_ns,max_fold_control_gain_fraction
stave+topology,4,2.036251399139464,1.1521988048157095,0.8693118741103516,2.0129908869230766,0.954040442574608
run_family+stave,4,2.036251583212632,1.1521986207425416,0.8693117352306811,2.0129908869230766,0.954040442574608
stave,4,2.03625158940684,1.1521986145483338,0.8693117305572702,2.0129908535444754,0.954040389188616
stave+amplitude,4,2.0367856883317734,1.1516645156234002,0.8689087631739907,2.011226747104602,0.9247555011324753
peak_phase,4,3.1492051103794756,0.03924509357569805,0.02960966953214552,3.20311209523011,0.10373669585822348
event_block+topology,4,3.166808647814954,0.021641556140219453,0.016328138554116692,3.205780322993994,9.83978150966643e-16
event_block,4,3.1668086478149546,0.02164155614021901,0.01632813855411636,3.2057803229939945,0.0
topology,4,3.1668086478149546,0.02164155614021901,0.01632813855411636,3.2057803229939945,0.0
run_family,4,3.1668086478149546,0.02164155614021901,0.01632813855411636,3.205780322993994,9.83978150966643e-16
anomaly,4,3.1684096453150055,0.020040558640168182,0.015120216682128495,3.2124154139260916,0.024814441581995594
dropout,4,3.2135954229839663,-0.02514521902879263,-0.01897158492742169,3.2288777632331107,0.018674562133730574
baseline,4,3.2371793750090165,-0.04872917105384289,-0.03676522387942899,3.26645016689241,-0.023437692717522038
q_template,4,3.313239847450781,-0.12478964349560728,-0.09415138984984474,3.368148277630806,-0.0846286696354302
q_template+anomaly,4,3.3443354397696665,-0.15588523581449287,-0.11761241716763086,3.3989684833896163,-0.07100794105406684
amplitude+peak_phase,4,3.513673508611977,-0.32522330465680316,-0.2453747385381012,3.5494802909755676,-0.1445720207441076
saturation,4,3.5448864987572084,-0.35643629480203476,-0.2689243402616329,3.6208774741338177,-0.23290938137879494
amplitude,4,3.5818361208221985,-0.39338591686702484,-0.29680212061579964,3.6153063504892566,-0.23357072704823165
