event_id,pair,run,residual_ns,method,heldout_run
42:10191,B4-B6,42,-5.847747731447214,atom_run_family,42
42:1026,B4-B6,42,-6.105923909187311,atom_run_family,42
42:10657,B4-B6,42,-6.239844221115106,atom_run_family,42
42:10890,B4-B6,42,-5.145618427038194,atom_run_family,42
42:11263,B4-B6,42,-6.988074738025659,atom_run_family,42
42:1170,B4-B6,42,-6.820074278354646,atom_run_family,42
42:12097,B4-B6,42,-3.610932785511018,atom_run_family,42
42:12319,B4-B6,42,-6.2276514949798525,atom_run_family,42
42:12816,B4-B6,42,-5.701193022966386,atom_run_family,42
42:13119,B4-B6,42,-2.4008491220474255,atom_run_family,42
42:13761,B4-B6,42,-3.597063976764673,atom_run_family,42
42:14001,B4-B6,42,-5.6768601717948854,atom_run_family,42
42:14021,B4-B6,42,-2.012676406145097,atom_run_family,42
42:14905,B4-B6,42,-6.605734485626215,atom_run_family,42
42:1500,B4-B6,42,-6.562525569885963,atom_run_family,42
42:15033,B4-B6,42,-4.191916841506959,atom_run_family,42
42:15076,B4-B6,42,-4.127512383699418,atom_run_family,42
42:16086,B4-B6,42,-5.076389271259302,atom_run_family,42
42:16123,B4-B6,42,-4.634002703666681,atom_run_family,42
42:16305,B4-B6,42,-3.9017962994575512,atom_run_family,42
42:1719,B4-B6,42,-7.238155114889146,atom_run_family,42
42:17856,B4-B6,42,-3.1631224932670605,atom_run_family,42
42:1792,B4-B6,42,-4.698303896427156,atom_run_family,42
42:18142,B4-B6,42,-4.553348380565648,atom_run_family,42
42:1927,B4-B6,42,-4.256683187983931,atom_run_family,42
42:19411,B4-B6,42,-5.954052876174451,atom_run_family,42
42:20372,B4-B6,42,-5.5337689402103365,atom_run_family,42
42:20511,B4-B6,42,-5.203695404767991,atom_run_family,42
42:20658,B4-B6,42,-3.85815914297104,atom_run_family,42
42:20903,B4-B6,42,-6.645520287990564,atom_run_family,42
42:21012,B4-B6,42,-3.9578872504234326,atom_run_family,42
42:21199,B4-B6,42,-4.636851209640504,atom_run_family,42
42:22230,B4-B6,42,-3.324276465415956,atom_run_family,42
42:22307,B4-B6,42,-2.3334481379305885,atom_run_family,42
42:22649,B4-B6,42,-5.830709296703343,atom_run_family,42
42:22925,B4-B6,42,-6.473128605127329,atom_run_family,42
42:2429,B4-B6,42,-4.089954118669027,atom_run_family,42
42:24344,B4-B6,42,-5.2798603060245455,atom_run_family,42
42:26038,B4-B6,42,-3.297176170587541,atom_run_family,42
42:26794,B4-B6,42,-1.3396551790237439,atom_run_family,42
42:26929,B4-B6,42,-1.6630649151802004,atom_run_family,42
42:27290,B4-B6,42,-3.9319403054714144,atom_run_family,42
42:28405,B4-B6,42,-5.859812158584589,atom_run_family,42
42:28810,B4-B6,42,-4.558151620864862,atom_run_family,42
42:28878,B4-B6,42,-6.301526320591563,atom_run_family,42
42:29338,B4-B6,42,-6.184634524822229,atom_run_family,42
42:29582,B4-B6,42,-2.3771830978393496,atom_run_family,42
42:29588,B4-B6,42,-1.5191217842102063,atom_run_family,42
42:30318,B4-B6,42,-2.90374341928959,atom_run_family,42
42:31268,B4-B6,42,-5.048156339168543,atom_run_family,42
42:31748,B4-B6,42,-4.342931169509889,atom_run_family,42
42:31887,B4-B6,42,-5.460565346717836,atom_run_family,42
42:32112,B4-B6,42,-3.7856858553886354,atom_run_family,42
42:32704,B4-B6,42,-5.482057440519327,atom_run_family,42
42:32936,B4-B6,42,-4.640254187822336,atom_run_family,42
42:33796,B4-B6,42,-6.175318467855458,atom_run_family,42
42:4436,B4-B6,42,-5.145932692527765,atom_run_family,42
42:4846,B4-B6,42,-5.227141562342638,atom_run_family,42
42:5183,B4-B6,42,-2.6133113684654248,atom_run_family,42
42:557,B4-B6,42,-5.8200287404060305,atom_run_family,42
42:5667,B4-B6,42,-3.9951280089616787,atom_run_family,42
42:6401,B4-B6,42,-6.193410414695741,atom_run_family,42
42:6851,B4-B6,42,-7.173470515251161,atom_run_family,42
