run,group,events_total,events_with_selected,selected_pulses,A1,A3
31,sample_i_calib,39994,900,1172,296,876
32,sample_i_calib,41913,964,1291,348,943
33,sample_i_calib,57167,54,61,28,33
34,sample_i_calib,39721,52,68,23,45
35,sample_i_calib,27764,1111,1481,396,1085
36,sample_i_calib,21755,844,1119,294,825
37,sample_i_calib,50511,1973,2647,715,1932
39,sample_i_calib,30336,1297,1786,524,1262
40,sample_i_calib,32645,1313,1786,502,1284
41,sample_i_calib,34021,1330,1814,524,1290
42,sample_i_calib,33976,1229,1658,461,1197
44,sample_i_analysis,4299,188,257,76,181
45,sample_i_analysis,48208,1906,2578,728,1850
46,sample_i_analysis,1444,37,46,9,37
47,sample_i_analysis,10982,384,487,109,378
48,sample_i_analysis,31671,1315,1825,550,1275
49,sample_i_analysis,32325,1308,1797,524,1273
50,sample_i_analysis,44824,221,281,75,206
51,sample_i_analysis,20566,60,67,19,48
52,sample_i_analysis,10010,20,26,8,18
53,sample_i_analysis,39621,43,47,24,23
54,sample_i_analysis,37385,54,59,37,22
55,sample_i_analysis,24409,62,68,22,46
56,sample_i_analysis,51829,296,387,105,282
57,sample_i_analysis,31275,1274,1757,513,1244
58,sample_ii_analysis,34178,146,171,31,140
59,sample_ii_analysis,42314,52,63,16,47
60,sample_ii_analysis,36089,66,77,15,62
61,sample_ii_analysis,36550,68,86,23,63
62,sample_ii_analysis,37589,54,61,12,49
63,sample_ii_analysis,37040,200,228,34,194
64,sample_ii_calib,35985,161,177,20,157
65,sample_ii_analysis,38429,181,208,36,172
