run,method,n,rmse,mae,spearman_pred_target
44,ml_domain_residualized_ridge,1911,0.08678761155911104,0.027400290921457574,0.3119794022717589
44,shuffled_target_control,1911,0.10171215178015958,0.0432485824193295,-0.0190235967949396
45,ml_domain_residualized_ridge,22999,0.08757958996882899,0.027162546722920528,0.2715697717261883
45,shuffled_target_control,22999,0.10010849252224115,0.04180324569291924,0.015373027329090681
46,ml_domain_residualized_ridge,676,0.12685674732930216,0.10260357913187068,0.11180983230241323
46,shuffled_target_control,676,0.12759251228075558,0.09816520067956494,0.02319608779150559
47,ml_domain_residualized_ridge,5160,0.13487924666058207,0.10621070715905635,0.16096178332310396
47,shuffled_target_control,5160,0.1364675704657597,0.10338797970119254,0.0006453794630834747
48,ml_domain_residualized_ridge,13175,0.090437827597357,0.02871081803918282,0.28215819104844764
48,shuffled_target_control,13175,0.1034120118568766,0.04360151320873677,-0.009885524126235787
49,ml_domain_residualized_ridge,13921,0.08768649837148464,0.02758582554024583,0.286595520501837
49,shuffled_target_control,13921,0.10132023084307655,0.04274841513889277,-0.006318175801225776
50,ml_domain_residualized_ridge,34254,0.031456743148475644,0.010959126770368866,0.250777160071789
50,shuffled_target_control,34254,0.04629728335311105,0.023091953887608315,0.0899156249223887
51,ml_domain_residualized_ridge,14294,0.024096073268401873,0.01030690120916507,0.26855321045936986
51,shuffled_target_control,14294,0.04431861019633393,0.022875366100844695,0.0561934232404812
52,ml_domain_residualized_ridge,6933,0.01929444887765023,0.009726520791601601,0.2745277615866304
52,shuffled_target_control,6933,0.04235064130912686,0.022355867573605324,0.07351674947004445
53,ml_domain_residualized_ridge,31382,0.01566017501700946,0.009306558709968155,0.2522473877401298
53,shuffled_target_control,31382,0.03736742121990294,0.02124419604443497,0.09299475402539867
54,ml_domain_residualized_ridge,29664,0.016539509999544285,0.009431981448595002,0.2595861218152803
54,shuffled_target_control,29664,0.03778647841448772,0.021441136286446304,0.08287198694739809
55,ml_domain_residualized_ridge,16836,0.023057924074214704,0.010248589553235389,0.2764166265581264
55,shuffled_target_control,16836,0.04393165458786522,0.02287438185773145,0.08813192300725736
56,ml_domain_residualized_ridge,38925,0.03393896898174442,0.011383966640343877,0.2570327048235891
56,shuffled_target_control,38925,0.04960511550261865,0.02388284834584887,0.08956538884769953
57,ml_domain_residualized_ridge,12928,0.08931920138251322,0.028250358874925965,0.305022937173554
57,shuffled_target_control,12928,0.10553569871926273,0.0443406494182809,0.012305353233050365
58,ml_domain_residualized_ridge,15919,0.03056806054398498,0.011781066476016708,0.3327604419767534
58,shuffled_target_control,15919,0.05598540199461991,0.026618570496934533,-0.010438856061522372
59,ml_domain_residualized_ridge,13861,0.02274759054311817,0.011632944394618313,0.8419835496468605
59,shuffled_target_control,13861,0.1500008632435553,0.09039851069658789,-0.030144947603122193
60,ml_domain_residualized_ridge,10133,0.023412878821434682,0.01083466611059137,0.8859376241950057
60,shuffled_target_control,10133,0.17116733391875913,0.10943976800046486,0.09077403741728163
61,ml_domain_residualized_ridge,11287,0.02445979774719167,0.010919665830837562,0.8818966615664826
61,shuffled_target_control,11287,0.17292604106069553,0.10961982186820649,0.07463259612406464
62,ml_domain_residualized_ridge,11911,0.022106424445352362,0.010912712630793317,0.8587629296929776
62,shuffled_target_control,11911,0.16104536753173943,0.09891629256094754,0.03845712983169872
63,ml_domain_residualized_ridge,14779,0.03471547300648681,0.01317414073384068,0.6729537599899478
63,shuffled_target_control,14779,0.10970857605956251,0.05604390726951063,-0.09449770767263595
65,ml_domain_residualized_ridge,11904,0.03338485575940362,0.013561035372817363,0.4481661834475081
65,shuffled_target_control,11904,0.06804466661036317,0.032508430225524416,-0.1159749770406453
