proxy,target,observed_energy_proxy_stratum,n,n_runs,target_mean,proxy_median,traditional_energy_proxy_stratum,ml_energy_proxy_stratum
observed_energy_proxy,A_any_selected,0.0,85561,21,0.015930155094026482,27.630973491483154,,
observed_energy_proxy,A_any_selected,1.0,68515,21,0.014376413923958256,36.2025936273746,,
observed_energy_proxy,A_any_selected,2.0,71376,21,0.008196032279757902,45.16591776405615,,
observed_energy_proxy,A_any_selected,3.0,107400,21,0.0068808193668528864,54.53444140720156,,
observed_energy_proxy,A_both_selected,0.0,85561,21,0.005364593681700775,27.630973491483154,,
observed_energy_proxy,A_both_selected,1.0,68515,21,0.0047580821717872,36.2025936273746,,
observed_energy_proxy,A_both_selected,2.0,71376,21,0.002367742658596727,45.16591776405615,,
observed_energy_proxy,A_both_selected,3.0,107400,21,0.0019925512104283054,54.53444140720156,,
observed_energy_proxy,A_depth_idx,0.0,1363,21,0.9633162142333089,27.894113821066696,,
observed_energy_proxy,A_depth_idx,1.0,985,21,0.9604060913705583,35.81508267828092,,
observed_energy_proxy,A_depth_idx,2.0,585,20,0.935042735042735,44.96622710581337,,
observed_energy_proxy,A_depth_idx,3.0,739,21,0.9418132611637348,54.96362759098165,,
observed_energy_proxy,B_downstream_multiplicity,0.0,85561,21,0.0,27.630973491483154,,
observed_energy_proxy,B_downstream_multiplicity,1.0,68515,21,0.0,36.2025936273746,,
observed_energy_proxy,B_downstream_multiplicity,2.0,71376,21,0.0,45.16591776405615,,
observed_energy_proxy,B_downstream_multiplicity,3.0,107400,21,0.444366852886406,54.53444140720156,,
observed_energy_proxy,B_downstream_all3,0.0,85561,21,0.0,27.630973491483154,,
observed_energy_proxy,B_downstream_all3,1.0,68515,21,0.0,36.2025936273746,,
observed_energy_proxy,B_downstream_all3,2.0,71376,21,0.0,45.16591776405615,,
observed_energy_proxy,B_downstream_all3,3.0,107400,21,0.04162011173184357,54.53444140720156,,
observed_energy_proxy,is_low_current_run,0.0,46099,14,0.04520705438295842,27.86024384073215,,
