method,target,n,n_runs,rmse,rmse_ci95,mae,mae_ci95,spearman_pred_target,spearman_ci95
ml_domain_residualized_ridge,composite_external_score,332852,21,0.0489980463446326,"[0.035284964718799196, 0.06422535331495642]",0.015825639301560727,"[0.012259280147865037, 0.020904573047955358]",0.4590482018709907,"[0.3494335855031999, 0.5573899625937712]"
shuffled_target_control,composite_external_score,332852,21,0.08925451142205786,"[0.07012540675005673, 0.10696385876290326]",0.04114013096200983,"[0.03321293547181453, 0.056052069674518375]",-0.013406239998505449,"[-0.035728122564274434, 0.010819197271418472]"
