n,event_rate,auc,average_precision,brier,ece,support_coverage_at_risk10,failure_rate_at_risk10,auc_ci95,average_precision_ci95,brier_ci95,ece_ci95,support_coverage_at_risk10_ci95,failure_rate_at_risk10_ci95,method,family,split
125096,0.07488648717784742,0.9904390056470055,0.9224994456044711,0.01694002621604303,0.0031860603117175646,0.8826101554006524,0.00403945259077447,"[0.987996183628281, 0.9930296956379074]","[0.910964385976701, 0.9324559645627238]","[0.01174991772058091, 0.020424904315331036]","[0.00212040409498573, 0.005222242107887179]","[0.8578301123277958, 0.9181614168126295]","[0.00275874869541708, 0.005295956168528332]",mlp,nn,train_non_sample_ii_runs_eval_sample_ii_analysis_runs
125096,0.07488648717784742,0.9889302667896265,0.9044208062966713,0.019820644629292006,0.007866396751589799,0.8855998593080514,0.004197319131651397,"[0.9859989981602924, 0.9919704419679637]","[0.8903516908671252, 0.918283334415269]","[0.015057454698973361, 0.023450907700940046]","[0.004976696861564045, 0.010987966156557262]","[0.8626030293983113, 0.9126358794335713]","[0.002949376982293048, 0.0055396106900253]",gradient_boosted_trees,ml,train_non_sample_ii_runs_eval_sample_ii_analysis_runs
125096,0.07488648717784742,0.8980722122741827,0.48646568925288236,0.05173043625684506,0.01700894247931313,0.8668462620707297,0.028633609679174468,"[0.880639653450252, 0.9178406518659825]","[0.4607375697901828, 0.5205285565367794]","[0.03810941785510169, 0.06348238580968425]","[0.010621038175984638, 0.02601991302876508]","[0.8413373870437361, 0.9011467169948612]","[0.020751042336475675, 0.03758077209414898]",empirical_bayes_support,traditional,train_non_sample_ii_runs_eval_sample_ii_analysis_runs
125096,0.07488648717784742,0.9131213954467632,0.4677328722526749,0.13997512453891298,0.24537587641333897,0.34728528490119587,0.0012659976061136175,"[0.8955629288056827, 0.931880182109943]","[0.44496998872128984, 0.5029909708732242]","[0.11585315061246913, 0.16079498850030438]","[0.21678916902539805, 0.2689444024892904]","[0.2821132602264961, 0.4236060433956594]","[0.0005425980450210116, 0.0025043042729691657]",tensor_prior_residual_cnn_new_arch,new_architecture,train_non_sample_ii_runs_eval_sample_ii_analysis_runs
125096,0.07488648717784742,0.9205511791585157,0.5303486949560768,0.14342240815214402,0.2278439685831741,0.46282055381467035,0.0038343955645370226,"[0.9061013186910235, 0.9384957628784459]","[0.5123520314766595, 0.5598477666556226]","[0.11730960290841635, 0.1618012754180305]","[0.203018602441926, 0.24769728620180564]","[0.41032672867579284, 0.5352904354898183]","[0.0016235344894124611, 0.007072510858854113]",ridge,ml,train_non_sample_ii_runs_eval_sample_ii_analysis_runs
125096,0.07488648717784742,0.8504852764832832,0.3557550565000943,0.19757016817816025,0.3424294525991571,0.0,,"[0.8277875066755642, 0.871992268292501]","[0.3350783558265367, 0.3793685597192591]","[0.16878323512032528, 0.2261228883705027]","[0.3164598977834937, 0.36571355437891223]","[0.0, 0.0]","[None, None]",1d_cnn,nn,train_non_sample_ii_runs_eval_sample_ii_analysis_runs
