n,event_rate,auc,average_precision,brier,ece,support_coverage_at_risk10,failure_rate_at_risk10,run,method,family
16781,0.02169119837911924,0.9153171933140868,0.36496732026070783,0.017054852011260533,0.01069981728528635,0.9544127286812466,0.01048951048951049,58,empirical_bayes_support,traditional
16781,0.02169119837911924,0.9474978028002333,0.5177661361243897,0.08556054726225935,0.17593239435278152,0.6204040283654133,0.00048026126212659685,58,ridge,ml
16781,0.02169119837911924,0.9950086080697642,0.904853926902987,0.005562536389584169,0.002234937948967271,0.9682974792920565,0.0020924364576281615,58,gradient_boosted_trees,ml
16781,0.02169119837911924,0.991759245809925,0.9011702661417823,0.005445094538967465,0.0022530510263414176,0.9646624158274238,0.0018532246108228317,58,mlp,nn
16781,0.02169119837911924,0.8869002715625119,0.23206467905289585,0.10314918435064867,0.2622668126298562,0.0,,58,1d_cnn,nn
16781,0.02169119837911924,0.9366958801081966,0.3531852659210838,0.0669939647879131,0.1674939194720468,0.5621834217269531,0.00052999788000848,58,tensor_prior_residual_cnn_new_arch,new_architecture
21377,0.08513823267998316,0.8827632330853684,0.4602024487353097,0.05967724266604001,0.01891519510720145,0.8406230995930205,0.032387312186978295,59,empirical_bayes_support,traditional
21377,0.08513823267998316,0.9131545041347157,0.5068403132342834,0.16258407963868568,0.2489525212055374,0.41207840202086354,0.003292087637643319,59,ridge,ml
21377,0.08513823267998316,0.9832075949310188,0.8784885505095558,0.025787498536594435,0.0080789838679972,0.8671001543715208,0.007013379369874838,59,gradient_boosted_trees,ml
21377,0.08513823267998316,0.9848494145318811,0.8994040941206224,0.022066343135676444,0.0059090301074127966,0.8661177901482903,0.00707534431541993,59,mlp,nn
21377,0.08513823267998316,0.8339067487709919,0.35595004963788596,0.22564623117137023,0.3705662354389867,0.0,,59,1d_cnn,nn
21377,0.08513823267998316,0.9009738791146984,0.45495545886596694,0.1638045152670375,0.2751742600081557,0.2785704261589559,0.0010075566750629723,59,tensor_prior_residual_cnn_new_arch,new_architecture
17029,0.09595396089024605,0.8956132532816969,0.5480898976665595,0.06293620532505641,0.025977647510126038,0.8342826942274942,0.03385654958823115,60,empirical_bayes_support,traditional
17029,0.09595396089024605,0.9182498967419757,0.5650116846228334,0.1727936856069969,0.263122121508466,0.3737741499794468,0.003927729772191673,60,ridge,ml
17029,0.09595396089024605,0.9897364505397046,0.9236319778385949,0.022787124026091447,0.010645258035076698,0.853837571202067,0.0034387895460797797,60,gradient_boosted_trees,ml
17029,0.09595396089024605,0.991807613704079,0.9399977315426987,0.01942596233111108,0.008205661226333375,0.8462035351459275,0.002845246356696738,60,mlp,nn
17029,0.09595396089024605,0.8305406824689541,0.37903958102302165,0.2302605817181026,0.3667092244001776,0.0,,60,1d_cnn,nn
17029,0.09595396089024605,0.9062700379202424,0.5041255826699325,0.16681899812071363,0.277719525767896,0.26202360678841974,0.0015688032272523531,60,tensor_prior_residual_cnn_new_arch,new_architecture
18965,0.09992090693382547,0.8634549805009017,0.4751445477239189,0.07093695558538489,0.03380632156687047,0.8438702873714737,0.04642589352661834,61,empirical_bayes_support,traditional
18965,0.09992090693382547,0.8862566523379596,0.5260615010520173,0.16296716014735724,0.2385785153515202,0.4030582652254152,0.012951334379905808,61,ridge,ml
18965,0.09992090693382547,0.9900453510533223,0.9209432274908925,0.024530084264046518,0.016316109903470634,0.8526759820722384,0.003153793828458351,61,gradient_boosted_trees,ml
18965,0.09992090693382547,0.9898723091167365,0.9264137236562536,0.022159499649934765,0.0017976618032102569,0.8517268652781439,0.004457376338760602,61,mlp,nn
18965,0.09992090693382547,0.8152546166413943,0.3361216881560511,0.22303717020710007,0.3537157215089779,0.0,,61,1d_cnn,nn
18965,0.09992090693382547,0.8772349768839467,0.44074779411315146,0.1655178228922569,0.2652110464335056,0.2590561560769839,0.00508854060655404,61,tensor_prior_residual_cnn_new_arch,new_architecture
19089,0.08455131227408455,0.8883215001781621,0.4711318184875934,0.05912563116338991,0.01989990343619388,0.845041647021845,0.0326080218213378,62,empirical_bayes_support,traditional
19089,0.08455131227408455,0.9132823842876973,0.5120806614628556,0.16320779750926273,0.2510545207699912,0.40316412593640316,0.004287941787941788,62,ridge,ml
19089,0.08455131227408455,0.9863436348261723,0.9003638936555158,0.02262431026984245,0.009000077306094707,0.8666771439048667,0.004352030947775629,62,gradient_boosted_trees,ml
19089,0.08455131227408455,0.9899468704628492,0.9247842476756019,0.01881756132548965,0.005108410911998976,0.8633244276808634,0.0035800970873786407,62,mlp,nn
19089,0.08455131227408455,0.8234862159253882,0.3553400540086321,0.22943566965649032,0.37261326336284084,0.0,,62,1d_cnn,nn
19089,0.08455131227408455,0.9032073257423866,0.4657230884707455,0.16292297148762339,0.2755333481601574,0.27434648226727437,0.0003818980332251289,62,tensor_prior_residual_cnn_new_arch,new_architecture
18817,0.06828931285539672,0.9002237598219509,0.4719927950145076,0.047275036319383415,0.012086006792582968,0.8717648934474146,0.025359668373567422,63,empirical_bayes_support,traditional
18817,0.06828931285539672,0.9232244584888022,0.5210925796554092,0.13723919750849886,0.21807608376728974,0.49641281819631183,0.0021410983834707206,63,ridge,ml
18817,0.06828931285539672,0.9859917296310206,0.882784495211403,0.020010000834441488,0.004250789446539959,0.8931285539671574,0.005414732833511841,63,gradient_boosted_trees,ml
18817,0.06828931285539672,0.989007049699449,0.912867926926207,0.016513972674266183,0.005256974130429949,0.8911091034702663,0.005069179389312977,63,mlp,nn
18817,0.06828931285539672,0.8611180134424568,0.3590950547871712,0.18758781071315234,0.33560392102999664,0.0,,63,1d_cnn,nn
18817,0.06828931285539672,0.9163777896737572,0.46540058868167694,0.13361334121630622,0.23607515948458582,0.39129510548971674,0.0012223278554936846,63,tensor_prior_residual_cnn_new_arch,new_architecture
