method,run,n_records,mean_bias_adc,mae_adc,rmse_adc
median4_pre,57,734832,16.37615128355869,32.86995394865765,197.88282911198428
median4_pre,65,1148952,2.73940599781366,19.833453442789605,54.959553523633026
mean4_pre,57,734832,15.999860512334791,32.23191559431272,194.055356252053
mean4_pre,65,1148952,2.7111672202145956,19.532303351227903,53.90723584447041
median4_plus_train_offset,57,734832,14.760079854987262,32.801866957345354,197.69938356230162
median4_plus_train_offset,65,1148952,1.1233345692422312,19.792011328584657,54.90058524634513
adaptive_pc_excluding_target,57,734832,-9.29582203823459,19.840199528599733,98.57212568211419
adaptive_pc_excluding_target,65,1148952,-4.92743430534957,15.472910530640096,32.03473350246167
ml_pretrigger_hgbr_calibrated,57,734832,-3.1475565530609684,16.605794596609492,43.455382662544025
ml_pretrigger_hgbr_calibrated,65,1148952,-0.7533066572632562,14.958345557181717,21.78023491629076
