file,entries,branch_count,metadata_branches,trigger_summary,non_beam_trigger_entries,filename_forced_random_match
hrda_run_0000.root,0,7,TRIGGER;EVENTNO;EVT,empty,0,False
hrda_run_0001.root,0,7,TRIGGER;EVENTNO;EVT,empty,0,False
hrda_run_0002.root,0,7,TRIGGER;EVENTNO;EVT,empty,0,False
hrda_run_0003.root,0,7,TRIGGER;EVENTNO;EVT,empty,0,False
hrda_run_0012.root,15043,7,TRIGGER;EVENTNO;EVT,1:15043,0,False
hrda_run_0013.root,51109,7,TRIGGER;EVENTNO;EVT,1:51109,0,False
hrda_run_0014.root,3495,7,TRIGGER;EVENTNO;EVT,1:3495,0,False
hrda_run_0015.root,103882,7,TRIGGER;EVENTNO;EVT,1:103882,0,False
hrda_run_0016.root,11984,7,TRIGGER;EVENTNO;EVT,1:11984,0,False
hrda_run_0017.root,5670,7,TRIGGER;EVENTNO;EVT,1:5670,0,False
hrda_run_0018.root,75391,7,TRIGGER;EVENTNO;EVT,1:75391,0,False
hrda_run_0019.root,73816,7,TRIGGER;EVENTNO;EVT,1:73816,0,False
hrda_run_0020.root,57759,7,TRIGGER;EVENTNO;EVT,1:57759,0,False
hrda_run_0021.root,0,7,TRIGGER;EVENTNO;EVT,empty,0,False
hrda_run_0022.root,0,7,TRIGGER;EVENTNO;EVT,empty,0,False
hrda_run_0023.root,3815,7,TRIGGER;EVENTNO;EVT,1:3815,0,False
hrda_run_0024.root,24988,7,TRIGGER;EVENTNO;EVT,1:24988,0,False
hrda_run_0025.root,3315,7,TRIGGER;EVENTNO;EVT,1:3315,0,False
hrda_run_0026.root,54079,7,TRIGGER;EVENTNO;EVT,1:54079,0,False
hrda_run_0027.root,34986,7,TRIGGER;EVENTNO;EVT,1:34986,0,False
hrda_run_0028.root,5222,7,TRIGGER;EVENTNO;EVT,1:5222,0,False
hrda_run_0029.root,25873,7,TRIGGER;EVENTNO;EVT,1:25873,0,False
hrda_run_0030.root,5243,7,TRIGGER;EVENTNO;EVT,1:5243,0,False
hrda_run_0031.root,39994,7,TRIGGER;EVENTNO;EVT,1:39994,0,False
