path,bytes,forced_random_filename_tokens,is_root_or_archive
/home/billy/ccb-data/extracted/root/root/hrda_run_0000.root,5508,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0001.root,5508,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0002.root,5508,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0003.root,5508,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0012.root,3578244,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0013.root,12145402,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0014.root,837346,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0015.root,24746939,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0016.root,2874850,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0017.root,1365754,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0018.root,18111007,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0019.root,17810450,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0020.root,13971057,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0021.root,5508,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0022.root,5508,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0023.root,944893,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0024.root,6184513,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0025.root,828833,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0026.root,13404039,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0027.root,8618874,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0028.root,1292921,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0029.root,6393883,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0030.root,1303672,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0031.root,9888079,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0032.root,10365191,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0033.root,13980468,,True
/home/billy/ccb-data/extracted/root/root/hrda_run_0034.root,9685894,,True
