endpoint,primary_metric,metric_direction,winner,traditional_baseline,traditional_metric,traditional_ci_low,traditional_ci_high,ridge_metric,ridge_ci_low,ridge_ci_high,gradient_boosted_trees_metric,gradient_boosted_trees_ci_low,gradient_boosted_trees_ci_high,mlp_metric,mlp_ci_low,mlp_ci_high,cnn1d_metric,cnn1d_ci_low,cnn1d_ci_high,new_architecture,new_architecture_metric,new_architecture_ci_low,new_architecture_ci_high,n_evaluation,source_artifact
timing,sigma68_ns,lower,gradient_boosted_trees,analytic_timewalk,1.49464,1.297661,1.672839,1.442842,1.188857,1.644803,1.126633,0.834468,1.406165,1.266989,1.101247,1.562786,1.359663,1.067247,1.623857,tcn,1.360207,1.065165,1.620629,198.0,reports/0000000002.1.bakeoff01/timing_head_to_head.csv
energy,res68_frac,lower,geant4_birks_lookup,geant4_birks_lookup,0.040244,0.038857,0.041606,0.096673,0.088716,0.117206,0.056685,0.048804,0.067197,0.692347,0.684237,0.699646,0.265704,0.249266,0.289079,physics_residual_mlp,0.05868,0.049025,0.077882,332852.0,reports/TB-9_energy_regression/result.json
truth_pileup,average_precision,higher,gradient_boosted_trees,traditional_topology,0.266627,0.262247,0.273875,0.940266,0.930352,0.946693,0.983139,0.982529,0.985,0.916238,0.897241,0.940407,0.043205,0.041677,0.045876,deepsets_layer_pool,0.053436,0.043581,0.05375,,reports/0000000014.1.truthpileup/method_summary.csv
saturation_action_gate,utility,higher,NN_1d_cnn,traditional_run_family_duplicate_gate,0.666913,,,0.325645,,,0.393352,,,0.380114,,,0.852606,,,NN_residual_gated_cnn_new,0.757785,,,177508.0,reports/1781052602.655.4be6114e__p07j_saturation_knee_family_action_bands/benchmark_summary.csv
pedestal,mae_adc,lower,ml_hgbr_calibrated,mean3,260.701055,236.254777,287.988704,,,,48.879367,43.822284,55.285716,,,,,,,,,,,3761.0,reports/1780997954.15337.77205a71__s16_pedestal_baseline_validation/heldout_benchmark.csv
pid,balanced_accuracy,higher,gradient_boosted_trees,traditional_bands,0.806095,0.772959,0.829445,0.908518,0.892242,0.926267,0.909196,0.886478,0.932754,0.725917,0.691434,0.767087,0.301476,0.253433,0.400574,hybrid_cnn_tabular,0.851155,0.843887,0.860187,3108.0,reports/0000000009.1.pidfull/method_metrics.csv
