stave,bin,n_train_pulses,amp_low_adc,amp_high_adc,seed_cfd20_median_samples,seed_iqr_samples,aligned_cfd20_sigma68_samples,table,method,base_method,fold,heldout_runs,sigma68_ns,n_pair_residuals,heldout_run,n,pred_mean_ns,target_mean_ns,feature,coefficient,train_pulses,heldout_pulses,model,mask,n_features,feature_set_sha256,alpha,max_iter,hidden,channels
B4,0.0,937.0,,1931.75,3.8101995565410203,3.3555915502083153,0.06648030681911846,alignment,,,,,,,58,,,,,,,,,,,,,,,
B4,1.0,936.0,1931.75,2368.0,5.0156495328394515,2.0758888482745252,0.0052602290516777115,alignment,,,,,,,58,,,,,,,,,,,,,,,
B4,2.0,937.0,2368.0,2709.25,5.061538461538461,1.3582751204251764,0.01257230874448048,alignment,,,,,,,58,,,,,,,,,,,,,,,
B4,3.0,937.0,2709.25,,4.956291390728477,1.3749547078076407,0.023072755699364633,alignment,,,,,,,58,,,,,,,,,,,,,,,
B6,0.0,937.0,,2045.75,5.334426229508197,3.52584800343495,0.05580804048912846,alignment,,,,,,,58,,,,,,,,,,,,,,,
B6,1.0,934.0,2045.75,2467.0,5.367448527082674,2.368607478129834,0.05856773033282343,alignment,,,,,,,58,,,,,,,,,,,,,,,
B6,2.0,939.0,2467.0,2821.25,5.426477541371159,1.780335500806645,0.06907701150981074,alignment,,,,,,,58,,,,,,,,,,,,,,,
B6,3.0,937.0,2821.25,,5.344501718213058,1.6533447556409158,0.06753049071571138,alignment,,,,,,,58,,,,,,,,,,,,,,,
B8,0.0,935.0,,2806.0,5.237220259128386,3.433818698162229,0.0400041224608817,alignment,,,,,,,58,,,,,,,,,,,,,,,
B8,1.0,938.0,2806.0,3346.5,5.394426679623059,2.0777514336643987,0.07211712089232902,alignment,,,,,,,58,,,,,,,,,,,,,,,
B8,2.0,935.0,3346.5,4106.5,5.383889980353635,1.5928250455827073,0.08203124611149268,alignment,,,,,,,58,,,,,,,,,,,,,,,
B8,3.0,939.0,4106.5,,5.213811986613933,1.7449338368227552,0.06355465029889187,alignment,,,,,,,58,,,,,,,,,,,,,,,
,,,,,,,,timewalk_cv,template_phase_timewalk,template_phase,0.0,61 65,2.1563360964592846,2997.0,58,,,,,,,,,,,,,,,
,,,,,,,,timewalk_cv,template_phase_timewalk,template_phase,1.0,60 63,1.5203552617821816,3534.0,58,,,,,,,,,,,,,,,
,,,,,,,,timewalk_cv,template_phase_timewalk,template_phase,2.0,59 62,1.5754128675005348,4710.0,58,,,,,,,,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,37.0,-7.430450596206829,-8.335991681735733,,,,,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,36.0,-3.2294085599671445,-3.5490308132635318,,,,,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,37.0,1.2140450474721494,1.263780814826872,,,,,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,36.0,2.282341010432164,2.8404869824016674,,,,,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,36.0,3.148503570594629,2.8236279841904275,,,,,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,37.0,4.735506767448132,5.014291150156743,,,,,,,,,,,,
,,,,,,,,,template_phase_timewalk,template_phase,,,,,58,37.0,-4.360469198566743,-4.906445441602827,,,,,,,,,,,,
,,,,,,,,,template_phase_timewalk,template_phase,,,,,58,36.0,-3.386069863964352,-4.038920480766592,,,,,,,,,,,,
,,,,,,,,,template_phase_timewalk,template_phase,,,,,58,37.0,1.2712623759391515,1.3930848155330913,,,,,,,,,,,,
,,,,,,,,,template_phase_timewalk,template_phase,,,,,58,36.0,2.395743427204596,2.4953951608172735,,,,,,,,,,,,
,,,,,,,,,template_phase_timewalk,template_phase,,,,,58,36.0,2.588823764325782,2.9311052159229445,,,,,,,,,,,,
,,,,,,,,,template_phase_timewalk,template_phase,,,,,58,37.0,3.0008488518763747,2.163282889446754,,,,,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,,,,intercept,0.0,11241.0,219.0,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,,,,B4_intercept,-86.04006202118387,11241.0,219.0,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,,,,B4_log_amp,151.41565634968939,11241.0,219.0,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,,,,B4_log_amp2,-79.15038951238641,11241.0,219.0,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,,,,B4_inv_amp,-4.003068175850981,11241.0,219.0,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,,,,B4_peak_sample,0.5412142266592331,11241.0,219.0,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,,,,B4_area_over_amp,3.1950195347982344,11241.0,219.0,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,,,,B4_template_sse,0.7869996680891168,11241.0,219.0,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,,,,B6_intercept,43.96655896950133,11241.0,219.0,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,,,,B6_log_amp,-73.42350086138198,11241.0,219.0,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,,,,B6_log_amp2,22.900661959012208,11241.0,219.0,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,,,,B6_inv_amp,-1.930799024650476,11241.0,219.0,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,,,,B6_peak_sample,-0.7705191647567975,11241.0,219.0,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,,,,B6_area_over_amp,-0.615486573228629,11241.0,219.0,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,,,,B6_template_sse,0.30921051167607805,11241.0,219.0,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,,,,B8_intercept,42.07349713347029,11241.0,219.0,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,,,,B8_log_amp,-63.09801315404866,11241.0,219.0,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,,,,B8_log_amp2,15.306211272230918,11241.0,219.0,,,,,,,,
,,,,,,,,,s02b_template_timewalk,s02b_template,,,,,58,,,,B8_inv_amp,-2.8762378913438953,11241.0,219.0,,,,,,,,
