method,family,baseline,n_heldout_runs,n_pair_residuals,sigma68_ns,full_rms_ns,abs_residual_p95_ns,tail_frac_vs_traditional_p95,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high
hgb_no_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.1706765959085075,2.138993260273799,2.791717247752716,0.0237347294938918,1.1350220629355572,1.2167889413544808,-0.5216816540715992,-0.8321343404333404,-0.3245112811429654
hgb_full,ml,s02b_global_template_timewalk,7,11460,1.1748920307678556,2.148204356750649,2.7916000159141316,0.023909249563699827,1.1433268448323288,1.2240921973616739,-0.517466219212251,-0.8303023300207713,-0.3221756290045516
hgb_only_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.2005752086342878,2.155159385687641,2.8351839401689625,0.023385689354275742,1.1652382408528255,1.2378642336304935,-0.49178304134581885,-0.8100421142512133,-0.29588957659984483
hgb_run_family_control,run_family_control,s02b_global_template_timewalk,7,11460,1.2089532275674904,2.1599561379257466,2.830133532749456,0.023211169284467714,1.1531107901077366,1.2635220324152907,-0.4834050224126163,-0.8153179202553766,-0.2696405112348601
mlp_full,ml,s02b_global_template_timewalk,7,11460,1.2930237005455285,2.326211973575051,2.9490850294174313,0.02600349040139616,1.2450401218890026,1.3451880174471744,-0.39933454943457813,-0.7294177405469218,-0.20080440921501955
mlp_no_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.3266963768760605,2.304823161474311,2.9328070466890748,0.025218150087260034,1.2558087789329828,1.3999024716250803,-0.3656618731040462,-0.7165700586988946,-0.12747823981251952
ridge_no_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.3613118232451822,2.3331517030455378,3.0155068257187394,0.027050610820244327,1.2967981488134646,1.4194479186013296,-0.33104642673492446,-0.6923556391853456,-0.11684801512879188
ridge_full,ml,s02b_global_template_timewalk,7,11460,1.3638563353726727,2.33689076749038,3.012708795044478,0.027399650959860383,1.2910742855925332,1.4125389398925685,-0.32850191460743394,-0.6969852586347011,-0.11786771118365579
early_late_gated_no_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.367028176006758,2.3337907993967946,3.0762314040186802,0.027050610820244327,1.3240511682054734,1.428026173981559,-0.3253300739733487,-0.6332311653930798,-0.12195130262185613
ridge_run_family_control,run_family_control,s02b_global_template_timewalk,7,11460,1.377843822635826,2.36068969234766,3.1398859626243643,0.02975567190226876,1.3164632739892386,1.4237631291321011,-0.3145144273442806,-0.6778653576578104,-0.1286011514263056
ridge_only_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.3824398958810538,2.3644128539169964,3.1161468696959314,0.02905759162303665,1.3303039037294722,1.4376600585535542,-0.3099183540990529,-0.65831574155676,-0.11567609738379586
cnn1d_full,ml,s02b_global_template_timewalk,7,11460,1.3873412211331955,2.368574746796878,3.127548983553701,0.028883071553228622,1.2966533752532086,1.4465920232613212,-0.3050170288469112,-0.6937534823981096,-0.10350021670417223
early_late_gated_full,ml,s02b_global_template_timewalk,7,11460,1.4198807743632518,2.3829848214306177,3.1740960685442534,0.030541012216404886,1.3398641974330308,1.4729121754661165,-0.27247747561685487,-0.6507058008683827,-0.07113034779154913
mlp_only_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.4258350267644562,2.4067440733632606,3.1918429902154624,0.03193717277486911,1.3271444345095387,1.5372955328331865,-0.2665232232156505,-0.6496912305884529,-0.01075689267967451
early_late_gated_only_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.4471475473803614,2.393725876405565,3.229886034286944,0.031675392670157065,1.341131442798389,1.5471744017378726,-0.2452107025997452,-0.6430072651274762,0.01530114844357405
cnn1d_only_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.4523705543597691,2.4035354264791127,3.2428393741373656,0.03237347294938918,1.3558958553456233,1.5161946371296906,-0.2399876956203375,-0.62605900679212,-0.01736743507075417
cnn1d_no_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.4794774655373704,2.3990401920370474,3.2668982431160183,0.033769633507853405,1.3371457509898654,1.5798900357477008,-0.21288078444273628,-0.6482518826617913,0.033727652193757916
cnn1d_only_samples_0_3_shuffled,shuffled_target_control,s02b_global_template_timewalk,7,11460,1.6651714950952192,2.579910355743543,3.61419613630411,0.048603839441535776,1.4823846823452678,1.9711102702984862,-0.02718675488488742,-0.07756016354294956,0.026657533592608765
mlp_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,7,11460,1.6730085033808328,2.582844377234365,3.6363732174024377,0.049738219895287955,1.5037076288662827,1.986469877605318,-0.019349746599273798,-0.06969014777778475,0.025994201951377603
s02b_global_template_timewalk,traditional,s02b_global_template_timewalk,7,11460,1.6923582499801066,2.5915073163614184,3.643939028060713,0.05,1.5220783972539336,2.001359233945447,0.0,0.0,0.0
ridge_only_samples_0_3_shuffled,shuffled_target_control,s02b_global_template_timewalk,7,11460,1.6939397216452987,2.596464985814043,3.6524040780010534,0.0506108202443281,1.48851143354204,1.9950969580872073,0.001581471665192069,-0.05046814227545004,0.04399175227787599
cnn1d_no_samples_0_3_shuffled,shuffled_target_control,s02b_global_template_timewalk,7,11460,1.697456613787127,2.58908525985213,3.6214334166536695,0.04877835951134381,1.5509305023093416,1.9269625666843169,0.005098363807020334,-0.08366562092224106,0.05285883009457325
early_late_gated_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,7,11460,1.6989451728201952,2.588740320995451,3.6508703247799668,0.05034904013961605,1.5289894991602249,1.9798677658496826,0.006586922840088549,-0.054160859025802595,0.05276099841050657
early_late_gated_only_samples_0_3_shuffled,shuffled_target_control,s02b_global_template_timewalk,7,11460,1.7014513716891406,2.59411228145512,3.6760286462308063,0.051919720767888304,1.494851882324398,2.0235464714236775,0.00909312170903398,-0.04106169461735111,0.06791168775569661
ridge_no_samples_0_3_shuffled,shuffled_target_control,s02b_global_template_timewalk,7,11460,1.7051249569954656,2.597380978383386,3.669008054210602,0.05148342059336824,1.5387632656471844,2.021931832221599,0.01276670701535898,-0.04153634355465119,0.05764437326009421
early_late_gated_no_samples_0_3_shuffled,shuffled_target_control,s02b_global_template_timewalk,7,11460,1.7085771352932901,2.5995296363187945,3.669990642300594,0.051047120418848166,1.5184773442746762,2.01471891483444,0.016218885313183495,-0.032153891979080036,0.06725617539115751
ridge_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,7,11460,1.7102879413072947,2.5961102664972384,3.67580260813442,0.05139616055846422,1.5334041203414275,2.0524563108676754,0.017929691327188024,-0.03219020189674216,0.07583871464425741
mlp_only_samples_0_3_shuffled,shuffled_target_control,s02b_global_template_timewalk,7,11460,1.7126871739276572,2.597954534767413,3.675195350248257,0.05130890052356021,1.500446826405747,2.0186583742895254,0.020328923947550592,-0.046957080142827734,0.07103254954576635
mlp_no_samples_0_3_shuffled,shuffled_target_control,s02b_global_template_timewalk,7,11460,1.7209532923034612,2.6026281404401765,3.6872104775073913,0.05200698080279232,1.5458338183254552,2.0360168352790833,0.028595042323354525,-0.01566053034660151,0.0741206360810931
hgb_no_samples_0_3_shuffled,shuffled_target_control,s02b_global_template_timewalk,7,11460,1.7266199562767195,2.619718042124083,3.681779391943424,0.05200698080279232,1.5471426625338605,2.0551971962663966,0.03426170629661285,-0.012992365761378554,0.0746882139111514
cnn1d_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,7,11460,1.7305344767175654,2.6125661074651902,3.6964815265609037,0.05287958115183246,1.546052494818158,2.1034014129079845,0.038176226737458796,-0.007556123790192434,0.11323486086658698
hgb_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,7,11460,1.73574639995099,2.614961126536514,3.739937742497124,0.05410122164048865,1.566781527312154,2.0747506585112867,0.04338814997088325,-0.017237013516558944,0.09875406890149117
hgb_only_samples_0_3_shuffled,shuffled_target_control,s02b_global_template_timewalk,7,11460,1.7507130181404424,2.622280856375211,3.7857781961437307,0.056980802792321116,1.5578395099556261,2.084562863445769,0.0583547681603358,0.005192362510794569,0.11078102030925971
